verde,izquierda,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
25,,0/25,30.86,13.61,1.01,1757.33,239.6,0.38,1001-1003
25,,0/20,32.66,15.16,1.1,1758.0,241.87,0.77,1001-1003
25,,0/30,33.08,14.6,1.06,1754.67,243.47,4.25,1001-1003
25,,0/15,35.05,17.33,1.16,1757.67,245.73,0.23,1001-1003
25,,0/35,35.26,15.97,1.19,1753.33,246.6,6.18,1001-1003
25,,0/40,36.08,16.9,1.26,1753.0,248.3,0.88,1001-1003
25,,0/10,38.36,19.64,1.24,1755.0,250.93,0.92,1001-1003
25,,0/5,40.71,21.36,1.27,1757.0,255.43,0.12,1001-1003
25,,0/0,42.53,22.37,1.36,1756.67,258.97,0.27,1001-1003
30,,0/30,59.01,30.87,1.8,1717.33,284.67,0.11,1001-1003
30,,0/25,59.03,31.76,1.73,1719.0,284.9,0.09,1001-1003
30,,0/35,59.89,31.61,1.86,1715.33,285.7,0.27,1001-1003
30,,0/20,60.13,32.76,1.76,1717.67,285.97,0.21,1001-1003
30,,0/15,61.55,34.24,1.89,1717.67,288.73,0.54,1001-1003
20,,0/25,62.08,27.95,2.24,1704.0,287.03,4.56,1001-1003
30,,0/40,62.16,33.94,1.95,1713.0,289.23,0.24,1001-1003
20,,0/30,62.34,27.54,2.26,1703.33,287.3,5.29,1001-1003
15,,0/20,63.27,26.67,2.7,1715.0,290.2,1.47,1001-1003
30,,0/10,63.31,36.38,1.92,1717.0,292.17,0.44,1001-1003
15,,0/15,63.92,26.69,2.73,1715.33,291.1,0.72,1001-1003
15,,0/5,64.29,26.21,2.74,1714.0,291.37,3.06,1001-1003
30,,0/5,64.38,37.7,1.93,1716.67,293.73,0.53,1001-1003
30,,0/0,65.28,38.28,1.96,1715.0,294.93,0.35,1001-1003
20,,0/35,66.02,29.85,2.44,1699.0,292.73,4.53,1001-1003
20,,0/20,66.16,31.96,2.28,1700.0,294.33,4.19,1001-1003
15,,0/30,66.64,26.11,2.85,1710.67,295.33,0.62,1001-1003
15,,0/25,67.65,28.19,2.84,1709.67,297.47,3.7,1001-1003
15,,0/0,67.79,26.93,2.93,1711.0,296.4,2.19,1001-1003
15,,0/10,68.2,29.05,2.87,1707.0,297.27,1.87,1001-1003
15,,0/35,69.11,27.44,2.97,1710.0,298.8,0.61,1001-1003
20,,0/40,70.71,32.34,2.65,1695.33,299.9,1.86,1001-1003
20,,0/15,70.97,34.24,2.57,1693.67,301.37,2.01,1001-1003
20,,0/10,71.03,34.91,2.63,1696.0,302.0,1.63,1001-1003
20,,0/5,73.87,36.31,2.73,1692.0,306.23,0.82,1001-1003
20,,0/0,73.91,36.59,2.7,1687.0,305.97,6.08,1001-1003
35,,0/25,93.15,52.28,2.68,1666.33,334.57,0.2,1001-1003
35,,0/30,93.55,52.5,2.77,1665.67,335.7,0.19,1001-1003
35,,0/20,94.37,53.94,2.71,1665.33,337.27,0.28,1001-1003
35,,0/15,96.66,55.73,2.83,1662.33,341.5,1.3,1001-1003
35,,0/5,96.94,61.15,2.74,1663.67,343.77,0.59,1001-1003
35,,0/0,97.06,61.38,2.74,1662.67,343.93,0.33,1001-1003
35,,0/10,97.86,57.08,2.9,1660.67,343.87,0.93,1001-1003
35,,0/35,99.06,59.01,2.84,1653.33,345.03,3.99,1001-1003
35,,0/40,131.7,91.17,2.97,1594.0,394.37,1.57,1001-1003
