verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
25,,15,0/25,152.13,61.41,6.22,2930.0,430.07,4.73,2001-2003
25,,15,0/20,153.16,62.19,6.26,2925.33,431.37,2.77,2001-2003
25,,15,0/10,153.97,63.31,6.34,2931.0,431.93,2.94,2001-2003
30,,15,0/25,160.58,66.93,6.14,2883.0,439.43,0.77,2001-2003
30,,15,0/20,161.67,66.72,6.18,2886.0,440.97,0.78,2001-2003
30,,15,0/30,161.71,67.17,6.16,2883.33,440.23,0.53,2001-2003
30,,25,0/30,162.01,77.72,5.21,2877.33,441.33,1.63,2001-2003
30,,25,0/25,163.91,78.9,5.32,2879.0,444.43,2.11,2001-2003
30,,15,0/10,164.19,73.24,6.42,2882.0,446.93,1.18,2001-2003
30,,25,0/20,164.36,80.39,5.36,2886.67,446.0,2.02,2001-2003
30,,25,0/0,164.78,89.47,5.35,2886.67,453.43,4.65,2001-2003
25,,20,0/20,164.9,75.24,6.19,2860.33,448.57,2.32,2001-2003
25,,20,0/30,168.95,78.12,6.33,2836.33,455.0,6.15,2001-2003
30,,20,0/30,171.27,76.16,6.05,2815.67,453.23,0.2,2001-2003
25,,20,0/25,171.91,79.78,6.4,2818.67,459.03,1.15,2001-2003
30,,20,0/25,172.05,77.12,6.11,2807.33,455.43,1.2,2001-2003
25,,20,0/10,172.26,82.28,6.48,2836.33,459.83,4.34,2001-2003
30,,20,0/20,174.08,77.39,6.25,2803.33,458.13,0.67,2001-2003
25,,25,0/25,174.38,91.08,5.88,2772.0,463.37,2.08,2001-2003
25,,15,0/30,175.63,75.0,7.18,2905.33,465.57,4.36,2001-2003
25,,25,0/20,176.26,91.03,6.02,2784.67,465.83,8.25,2001-2003
25,,25,0/30,177.49,92.84,5.93,2758.0,468.67,5.87,2001-2003
40,,20,0/30,181.49,94.92,5.71,2787.67,470.33,0.28,2001-2003
40,,25,0/0,181.98,103.49,5.51,2769.33,477.2,2.57,2001-2003
40,,20,0/25,182.91,90.24,6.29,2784.33,471.33,0.28,2001-2003
35,,25,0/0,182.94,101.42,5.92,2821.33,478.93,2.58,2001-2003
35,,25,0/30,186.63,91.22,6.15,2818.0,475.9,1.67,2001-2003
35,,20,0/30,188.05,86.76,6.66,2762.0,476.87,0.16,2001-2003
35,,20,0/25,188.34,86.01,6.64,2762.33,475.77,0.27,2001-2003
35,,20,0/20,188.36,88.02,6.67,2763.67,478.13,0.42,2001-2003
35,,20,0/0,188.65,98.73,6.55,2763.0,484.97,0.51,2001-2003
35,,25,0/25,191.5,94.78,6.29,2807.33,482.83,2.66,2001-2003
40,,25,0/10,193.02,102.33,6.2,2767.33,491.07,4.76,2001-2003
40,,20,0/0,194.28,108.5,6.21,2771.67,496.07,4.07,2001-2003
35,,15,0/25,195.6,88.24,6.97,2831.67,489.5,1.24,2001-2003
35,,15,0/30,195.61,89.01,7.02,2834.0,490.33,0.9,2001-2003
40,,25,0/30,195.87,112.03,5.88,2759.33,493.33,1.79,2001-2003
35,,15,0/20,198.93,91.34,7.13,2832.0,496.1,2.61,2001-2003
30,,15,0/0,207.62,98.1,7.7,2823.33,509.93,1.28,2001-2003
30,,20,0/0,217.77,114.55,7.91,2743.67,529.97,4.19,2001-2003
30,,20,0/10,220.71,114.76,7.83,2704.67,533.07,3.44,2001-2003
25,,10,0/0,221.37,93.89,8.17,2835.67,526.47,2.5,2001-2003
40,,15,0/20,221.86,114.08,7.21,2812.0,531.17,2.85,2001-2003
25,,15,0/0,222.33,103.14,8.7,2715.33,531.47,8.92,2001-2003
40,,20,0/10,222.86,119.03,7.31,2698.33,534.67,0.46,2001-2003
25,,20,0/0,223.8,107.19,8.15,2705.0,535.4,4.86,2001-2003
40,,15,0/25,224.71,114.99,7.43,2800.33,535.8,3.39,2001-2003
30,,25,0/10,225.01,119.2,7.65,2684.33,539.77,3.0,2001-2003
40,,20,0/20,225.43,118.97,7.4,2691.33,535.97,3.17,2001-2003
40,,15,0/30,226.43,119.22,7.18,2786.33,539.03,4.44,2001-2003
35,,20,0/10,227.38,115.29,7.9,2693.33,540.47,1.23,2001-2003
40,,25,0/25,228.53,128.0,7.16,2653.33,541.93,0.71,2001-2003
40,,25,0/20,230.46,122.99,7.5,2658.33,543.23,1.19,2001-2003
35,,25,0/10,230.5,125.37,7.61,2691.0,547.9,0.54,2001-2003
35,,25,0/20,233.54,125.1,7.67,2688.0,548.83,7.68,2001-2003
35,,15,0/10,233.55,115.96,8.34,2722.33,549.43,6.37,2001-2003
35,,15,0/0,234.15,122.94,8.05,2741.67,551.6,3.45,2001-2003
25,,10,0/10,235.51,101.91,9.09,2784.67,549.5,5.24,2001-2003
25,,25,0/10,235.98,133.39,7.87,2607.33,559.3,6.8,2001-2003
40,,15,0/0,237.02,133.98,7.23,2744.67,558.2,9.35,2001-2003
40,,15,0/10,239.65,127.08,7.74,2735.33,558.5,2.58,2001-2003
30,,10,0/20,240.39,112.91,8.33,2794.67,555.0,4.03,2001-2003
25,,10,0/20,241.19,106.76,9.04,2752.0,557.23,1.84,2001-2003
25,,10,0/30,241.74,107.71,9.12,2717.33,558.4,4.94,2001-2003
30,,10,0/25,241.97,114.34,8.47,2787.0,557.3,1.95,2001-2003
25,,10,0/25,246.21,109.37,9.24,2726.33,564.87,6.12,2001-2003
25,,25,0/0,247.69,138.45,8.35,2616.67,576.37,2.35,2001-2003
