verde,izquierda,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
24,,,23.09,9.53,0.69,1806.0,196.0,0.55,1001-1003
25,,,23.3,9.73,0.69,1801.67,196.23,0.35,1001-1003
27,,,23.59,10.1,0.67,1799.67,196.6,0.33,1001-1003
21,,,24.06,10.04,0.76,1804.33,197.37,0.8,1001-1003
18,,,24.4,9.86,0.82,1805.0,198.93,1.46,1001-1003
30,,,24.77,11.08,0.68,1807.0,198.63,0.17,1001-1003
33,,,25.38,11.69,0.66,1798.0,199.57,0.23,1001-1003
36,,,26.64,12.82,0.67,1802.33,201.77,0.13,1001-1003
39,,,28.01,13.97,0.68,1795.33,204.2,0.2,1001-1003
42,,,28.27,14.38,0.67,1797.67,204.83,0.04,1001-1003
15,,,58.11,24.82,2.39,1771.33,255.73,1.36,1001-1003
