verde,izquierda,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
20,6,,27.5,15.61,0.88,1840.67,199.8,0.16,1001-1003
21,6,,27.67,15.8,0.87,1842.33,199.9,0.15,1001-1003
18,6,,27.94,15.8,0.9,1836.67,200.97,0.22,1001-1003
24,6,,28.88,16.95,0.88,1836.0,201.7,0.07,1001-1003
20,8,,29.55,17.48,0.87,1835.33,203.23,0.47,1001-1003
27,6,,29.91,17.97,0.87,1841.0,203.07,0.16,1001-1003
21,8,,30.39,18.22,0.9,1840.33,204.57,0.28,1001-1003
24,8,,30.93,18.82,0.89,1842.0,205.07,0.38,1001-1003
30,6,,31.14,19.09,0.88,1834.0,205.03,0.27,1001-1003
33,6,,32.03,20.0,0.88,1835.67,206.17,0.16,1001-1003
27,8,,32.05,19.92,0.89,1831.67,206.6,0.26,1001-1003
30,8,,32.33,20.23,0.87,1831.67,207.0,0.2,1001-1003
24,10,,33.28,20.94,0.9,1832.0,209.23,0.11,1001-1003
36,6,,33.59,21.34,0.89,1845.33,208.5,0.1,1001-1003
33,8,,34.16,21.9,0.88,1842.33,209.57,0.18,1001-1003
27,10,,34.17,21.84,0.9,1830.67,210.23,0.14,1001-1003
39,6,,34.63,22.3,0.9,1841.67,210.03,0.24,1001-1003
36,8,,35.23,22.94,0.9,1834.0,211.23,0.14,1001-1003
21,10,,35.82,22.92,0.98,1839.67,213.8,1.67,1001-1003
42,6,,35.82,23.4,0.92,1838.67,211.73,0.5,1001-1003
27,12,,36.05,23.67,0.91,1832.0,213.37,0.34,1001-1003
30,10,,36.09,23.56,0.92,1839.67,213.2,0.22,1001-1003
33,10,,36.16,23.78,0.9,1834.0,212.97,0.12,1001-1003
39,8,,36.31,23.96,0.9,1832.33,212.77,0.14,1001-1003
30,12,,37.28,24.79,0.91,1842.67,215.23,0.22,1001-1003
36,10,,37.53,25.05,0.9,1836.67,215.13,0.13,1001-1003
24,12,,37.69,24.84,0.96,1831.67,216.6,0.46,1001-1003
33,12,,38.5,25.87,0.92,1838.33,216.97,0.07,1001-1003
39,10,,38.57,26.01,0.91,1828.67,216.63,0.14,1001-1003
42,8,,38.6,25.94,0.92,1839.67,216.5,0.14,1001-1003
36,12,,38.94,26.38,0.91,1836.0,217.37,0.07,1001-1003
42,10,,39.67,27.02,0.92,1837.67,218.17,0.29,1001-1003
42,12,,40.0,27.46,0.88,1835.33,218.83,0.21,1001-1003
39,12,,40.53,27.82,0.92,1836.0,219.83,0.16,1001-1003
15,6,,45.5,28.79,1.37,1822.0,230.43,1.59,1001-1003
20,10,,46.77,31.64,1.2,1821.0,232.0,0.79,1001-1003
18,8,,48.96,32.45,1.31,1821.67,235.9,1.92,1001-1003
21,12,,56.82,39.95,1.3,1817.33,248.27,2.02,1001-1003
20,12,,74.5,51.48,1.74,1808.67,275.6,1.15,1001-1003
18,10,,77.64,51.77,1.93,1792.33,280.17,2.3,1001-1003
15,8,,90.67,57.16,2.57,1786.33,299.57,5.21,1001-1003
18,12,,116.19,77.15,2.97,1764.67,338.53,5.97,1001-1003
15,10,,146.5,93.32,4.32,1755.33,382.47,2.73,1001-1003
15,12,,197.18,129.53,6.08,1719.0,458.23,5.44,1001-1003
