verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
25,,25,,22.78,9.28,0.67,1801.0,195.33,0.36,2001-2003
30,,30,,24.77,11.11,0.68,1806.33,198.7,0.39,2001-2003
35,,35,,26.52,12.67,0.68,1804.0,201.83,0.15,2001-2003
30,,35,,27.07,13.06,0.71,1803.67,202.6,0.86,2001-2003
40,,35,,27.82,13.93,0.69,1805.0,203.7,0.25,2001-2003
35,,40,,28.17,14.18,0.69,1806.67,204.3,0.25,2001-2003
40,,40,,28.52,14.49,0.68,1794.67,204.83,0.38,2001-2003
35,,30,,29.32,14.8,0.76,1797.0,206.37,2.96,2001-2003
20,,20,,29.97,13.83,0.97,1788.0,209.17,0.49,2001-2003
25,,30,,35.37,18.34,0.97,1798.67,217.13,1.88,2001-2003
30,,25,,38.09,20.07,1.05,1772.33,221.53,3.08,2001-2003
40,,30,,48.68,28.68,1.14,1757.0,238.47,1.4,2001-2003
30,,40,,52.08,30.99,1.22,1806.33,244.37,4.49,2001-2003
15,,15,,54.57,23.48,2.23,1773.33,249.3,3.16,2001-2003
20,,25,,60.68,30.63,1.91,1806.33,256.63,1.21,2001-2003
25,,20,,63.02,31.92,2.0,1728.33,259.87,0.64,2001-2003
35,,25,,64.6,37.38,1.66,1728.0,262.7,1.24,2001-2003
25,,35,,66.33,38.52,1.71,1806.67,265.6,0.78,2001-2003
20,,15,,75.0,32.52,2.85,1690.33,273.37,0.8,2001-2003
15,,20,,78.91,34.2,3.0,1808.0,280.0,0.64,2001-2003
40,,25,,80.64,49.67,1.89,1682.0,286.2,1.51,2001-2003
30,,20,,82.53,45.54,2.37,1662.0,287.9,0.47,2001-2003
25,,40,,84.45,52.17,1.99,1803.67,292.33,0.79,2001-2003
20,,30,,85.63,47.48,2.44,1805.0,293.57,0.38,2001-2003
25,,15,,93.28,46.85,3.1,1625.0,300.0,0.5,2001-2003
35,,20,,94.68,56.68,2.44,1622.33,306.4,0.33,2001-2003
20,,35,,103.29,61.85,2.65,1799.67,320.17,1.19,2001-2003
15,,25,,104.44,52.85,3.47,1803.33,317.03,1.35,2001-2003
40,,20,,106.23,67.11,2.47,1589.33,322.7,2.0,2001-2003
30,,15,,110.6,61.79,3.26,1575.33,325.23,0.49,2001-2003
20,,40,,121.62,77.24,2.83,1807.0,346.93,1.81,2001-2003
35,,15,,123.14,74.21,3.23,1533.0,343.93,0.56,2001-2003
15,,30,,128.89,72.53,3.76,1806.33,353.13,0.8,2001-2003
40,,15,,139.46,89.6,3.29,1495.67,368.27,0.53,2001-2003
15,,35,,154.86,94.3,4.08,1760.0,391.5,0.74,2001-2003
15,,40,,174.44,112.89,4.11,1691.33,420.73,0.76,2001-2003
