verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
25,,15,0/23/0,21.51,7.27,0.6,2094.33,249.63,0.28,2001-2003
25,,15,0/25/0,21.59,7.28,0.6,2095.0,250.37,0.25,2001-2003
25,,10,0/15/0,21.67,7.41,0.66,2094.67,250.87,0.35,2001-2003
25,,10,0/20/0,21.72,7.44,0.66,2093.33,250.23,0.35,2001-2003
25,,10,0/25/0,21.75,7.45,0.67,2092.0,251.1,0.26,2001-2003
25,,10,0/23/5,21.79,7.57,0.66,2092.0,250.4,0.31,2001-2003
25,,10,0/20/40,21.81,7.53,0.66,2093.0,250.3,0.45,2001-2003
20,,10,0/20/4,21.83,7.17,0.73,2094.0,251.83,0.21,2001-2003
25,,15,0/20/0,21.83,7.52,0.62,2095.33,250.5,0.41,2001-2003
25,,10,0/23/0,21.84,7.53,0.66,2092.33,250.73,0.42,2001-2003
30,,10,0/23/0,21.86,7.93,0.6,2091.33,249.43,0.23,2001-2003
30,,10,0/25/0,21.87,7.85,0.61,2091.33,250.07,0.12,2001-2003
25,,10,0/25/9,21.89,7.46,0.68,2092.0,252.0,0.18,2001-2003
30,,10,0/20/0,22.02,7.99,0.62,2091.0,250.3,0.25,2001-2003
25,,15,0/25/4,22.07,7.47,0.62,2093.67,252.0,0.19,2001-2003
20,,20,0/23/0,22.18,7.45,0.62,2094.67,251.67,0.38,2001-2003
20,,20,0/25/0,22.21,7.44,0.61,2095.33,252.37,0.27,2001-2003
30,,10,0/25/4,22.22,8.03,0.62,2091.33,251.27,0.26,2001-2003
20,,10,0/10/0,22.26,7.4,0.77,2093.0,254.37,0.3,2001-2003
20,,15,0/23/0,22.26,7.58,0.68,2094.0,252.03,0.37,2001-2003
20,,20,0/20/0,22.26,7.52,0.62,2095.33,251.93,0.43,2001-2003
20,,15,0/15/0,22.3,7.61,0.68,2093.67,252.63,0.23,2001-2003
20,,10,0/20/0,22.31,7.55,0.77,2093.67,252.9,0.27,2001-2003
20,,15,0/23/5,22.35,7.61,0.69,2094.33,252.2,0.35,2001-2003
20,,15,0/20/0,22.36,7.64,0.67,2093.0,251.93,0.44,2001-2003
20,,15,0/20/40,22.36,7.59,0.68,2092.67,252.07,0.42,2001-2003
30,,10,0/20/40,22.49,7.98,0.62,2092.67,252.87,0.18,2001-2003
20,,15,0/25/0,22.52,7.73,0.68,2093.33,253.03,0.32,2001-2003
20,,10,0/23/0,22.54,7.58,0.77,2092.33,253.8,0.29,2001-2003
25,,15,0/20/40,22.58,7.6,0.64,2094.67,253.93,0.32,2001-2003
15,,10,0/15/15,22.74,6.5,0.88,2093.33,258.63,0.28,2001-2003
20,,20,0/25/4,22.76,7.74,0.63,2094.33,253.87,0.38,2001-2003
25,,10,0/15/30,22.77,7.7,0.71,2093.33,254.93,0.31,2001-2003
20,,10,0/23/10,22.79,7.61,0.82,2091.0,255.13,0.2,2001-2003
20,,10,0/25/0,22.8,7.71,0.77,2091.67,255.1,0.24,2001-2003
20,,10,0/15/30,22.82,7.71,0.78,2094.67,254.4,0.32,2001-2003
20,,10,0/15/0,22.84,7.94,0.76,2094.33,254.3,0.21,2001-2003
30,,15,0/25/0,22.84,8.02,0.6,2091.67,254.23,0.32,2001-2003
30,,15,0/25/50,23.02,8.11,0.6,2092.0,254.97,0.37,2001-2003
20,,10,0/25/14,23.16,7.69,0.8,2091.33,257.53,0.21,2001-2003
25,,10,0/10/0,23.2,7.66,0.82,2093.67,256.27,0.15,2001-2003
30,,15,0/23/0,23.22,8.1,0.62,2092.33,255.1,0.24,2001-2003
25,,20,0/25/0,23.23,7.79,0.61,2093.0,256.4,0.26,2001-2003
25,,20,0/25/50,23.27,7.81,0.61,2093.33,256.73,0.18,2001-2003
25,,10,0/30/0,23.3,7.65,0.79,2092.67,257.47,0.25,2001-2003
20,,10,0/10/20,23.33,7.26,0.84,2094.33,259.03,0.19,2001-2003
20,,15,0/25/9,23.42,8.15,0.74,2092.0,255.97,0.26,2001-2003
25,,20,0/23/0,23.52,7.87,0.63,2092.33,256.93,0.22,2001-2003
30,,10,0/30/0,23.54,8.15,0.72,2090.67,256.13,0.18,2001-2003
30,,15,0/23/46,23.55,7.99,0.63,2092.0,256.67,0.09,2001-2003
25,,15,0/30/0,23.57,7.64,0.73,2095.0,257.77,0.24,2001-2003
15,,10,0/5/0,23.58,6.94,0.95,2091.33,262.47,0.24,2001-2003
25,,15,0/15/0,23.59,8.04,0.74,2093.67,256.7,0.2,2001-2003
30,,10,0/15/0,23.61,8.4,0.74,2090.0,255.9,0.26,2001-2003
15,,10,0/20/20,23.68,6.97,0.92,2091.0,261.57,0.13,2001-2003
20,,20,0/20/40,23.83,8.23,0.66,2093.33,257.47,0.28,2001-2003
20,,10,0/20/20,24.08,7.46,0.94,2093.0,260.7,0.11,2001-2003
25,,20,0/23/46,24.09,7.91,0.64,2093.33,258.93,0.17,2001-2003
30,,15,0/30/0,24.14,8.43,0.71,2091.33,257.63,0.23,2001-2003
15,,10,0/5/5,24.21,6.52,1.03,2092.0,265.67,0.28,2001-2003
15,,10,0/10/10,24.29,7.04,0.98,2093.0,263.2,0.49,2001-2003
30,,10,0/30/14,24.31,8.54,0.78,2091.67,258.8,0.27,2001-2003
30,,10,0/20/20,24.35,9.15,0.79,2092.33,257.8,0.37,2001-2003
25,,20,0/30/0,24.46,8.1,0.72,2089.0,259.6,0.17,2001-2003
30,,10,0/23/23,24.46,9.23,0.78,2091.67,257.37,0.25,2001-2003
20,,15,0/15/30,24.49,8.64,0.76,2091.67,259.57,0.48,2001-2003
30,,15,0/20/0,24.5,8.65,0.71,2093.33,258.43,0.31,2001-2003
15,,10,0/30/29,24.54,5.92,1.05,2091.67,267.93,0.28,2001-2003
