brazo,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace
rl,1001,34.67,12.7,6.6,23,1.62,1755,245.6,84.2,-3.326,468,0,132.96,50.0,59.74,2.369,0.291,0.0,0,0,10,24
rl,1002,32.54,11.89,6.22,19,1.456,1754,242.4,83.1,-3.14,467,0,129.63,46.65,54.75,2.1,0.341,0.0,0,0,12,23
rl,1003,32.83,11.86,6.21,20,1.493,1763,242.2,83.1,-3.132,464,0,129.9,47.11,56.03,2.153,0.334,0.0,0,0,11,25
rl,1004,35.63,12.88,6.68,25,1.648,1759,247.2,84.8,-3.365,467,0,135.46,52.57,63.78,2.445,0.321,0.0,0,0,11,26
rl,1005,38.25,13.41,6.91,25,1.718,1749,251.4,86.2,-3.522,458,0,139.38,56.37,67.8,2.56,0.309,0.0,0,0,12,30
rl,1006,35.65,12.72,6.48,25,1.613,1749,247.2,84.8,-3.285,462,0,134.88,51.96,62.76,2.378,0.301,0.0,0,0,14,30
rl,1007,30.54,11.21,5.91,21,1.371,1762,238.9,82.0,-2.967,458,0,126.48,43.43,50.14,1.946,0.32,0.0,0,0,11,18
rl,1008,30.96,11.36,5.97,22,1.408,1761,239.6,82.2,-3.007,457,0,126.58,43.56,50.93,1.984,0.346,0.0,0,0,10,22
rl,1009,33.76,12.43,6.51,24,1.552,1762,244.6,83.9,-3.275,466,0,132.15,49.02,58.03,2.287,0.309,0.0,0,0,9,21
rl,1010,33.73,12.2,6.35,20,1.548,1761,244.1,83.8,-3.202,460,0,130.7,48.04,56.17,2.216,0.331,0.0,0,0,9,23
ippo_local_s42,1001,20.64,7.03,3.87,15,0.749,1765,217.6,75.0,-1.928,363,0,103.78,20.83,21.77,0.719,0.912,0.0,0,0,6,12
ippo_local_s42,1002,20.45,6.83,3.77,16,0.724,1769,217.3,74.8,-1.851,361,0,103.71,20.75,22.07,0.7,0.92,0.0,0,0,7,11
ippo_local_s42,1003,20.01,6.62,3.67,15,0.708,1769,216.9,74.7,-1.798,369,0,102.88,20.07,21.26,0.673,0.936,0.0,0,0,7,11
ippo_local_s42,1004,20.62,6.89,3.78,17,0.746,1767,217.8,75.0,-1.869,367,0,104.24,21.35,22.8,0.746,0.894,0.0,0,0,7,12
ippo_local_s42,1005,21.24,7.19,3.93,17,0.763,1767,218.5,75.2,-1.957,365,0,104.74,21.75,23.09,0.755,0.892,0.0,0,0,8,14
ippo_local_s42,1006,20.5,7.04,3.79,15,0.734,1764,217.0,74.8,-1.869,372,0,103.49,20.57,21.52,0.691,0.918,0.0,0,0,7,12
ippo_local_s42,1007,20.75,7.18,3.94,16,0.752,1765,217.5,74.9,-1.939,365,0,104.05,20.99,21.81,0.728,0.902,0.0,0,0,6,12
ippo_local_s42,1008,20.63,6.84,3.73,15,0.746,1765,217.9,75.0,-1.834,372,0,104.44,21.43,22.77,0.738,0.908,0.0,0,0,7,12
ippo_local_s42,1009,21.19,7.14,3.86,16,0.763,1765,218.6,75.2,-1.911,369,0,104.75,21.62,22.77,0.753,0.899,0.0,0,0,7,11
ippo_local_s42,1010,20.34,6.83,3.77,15,0.725,1770,217.2,74.8,-1.851,365,0,103.18,20.5,21.56,0.699,0.919,0.0,0,0,7,13
ippo_local_s2042,1001,20.39,6.75,3.71,14,0.728,1766,217.6,74.9,-1.814,372,0,103.86,20.9,21.93,0.707,0.916,0.0,0,0,5,11
ippo_local_s2042,1002,21.81,7.57,4.12,16,0.793,1767,220.7,76.0,-2.03,365,0,105.51,22.55,24.13,0.824,0.873,0.0,0,0,6,11
ippo_local_s2042,1003,21.48,7.61,4.14,15,0.794,1770,219.8,75.7,-2.07,369,0,104.43,21.63,23.33,0.782,0.898,0.0,0,0,7,13
ippo_local_s2042,1004,21.26,7.37,4.01,15,0.784,1767,219.4,75.6,-1.989,370,0,104.72,21.83,22.93,0.786,0.882,0.0,0,0,6,11
ippo_local_s2042,1005,20.82,7.1,3.9,15,0.745,1769,218.1,75.1,-1.937,371,0,104.15,21.15,22.43,0.722,0.919,0.0,0,0,6,13
ippo_local_s2042,1006,21.15,7.35,3.96,14,0.767,1771,218.8,75.3,-1.959,375,0,104.18,21.27,22.56,0.735,0.911,0.0,0,0,7,12
ippo_local_s2042,1007,21.21,7.37,4.04,16,0.78,1765,219.2,75.5,-2.012,367,0,104.48,21.44,22.66,0.779,0.881,0.0,0,0,6,12
ippo_local_s2042,1008,21.98,7.78,4.22,16,0.798,1761,220.9,76.1,-2.104,367,0,105.21,22.19,23.78,0.786,0.885,0.0,0,0,7,12
ippo_local_s2042,1009,21.52,7.38,4.02,16,0.775,1768,219.6,75.6,-2.005,367,0,105.06,21.92,23.24,0.773,0.901,0.0,0,0,8,12
ippo_local_s2042,1010,21.12,7.42,4.01,15,0.778,1766,218.6,75.4,-2.0,368,0,103.89,21.21,21.92,0.765,0.896,0.0,0,0,7,11
ippo_local_s4042,1001,21.15,7.24,3.95,14,0.781,1766,218.9,75.4,-1.964,375,0,104.7,21.75,22.95,0.774,0.906,0.0,0,0,6,11
ippo_local_s4042,1002,20.59,6.8,3.75,14,0.731,1769,218.2,75.1,-1.859,373,0,104.16,21.19,22.66,0.714,0.914,0.0,0,0,6,12
ippo_local_s4042,1003,21.01,7.28,3.97,13,0.784,1770,218.8,75.3,-1.963,374,0,104.14,21.34,22.86,0.795,0.907,0.0,0,0,6,12
ippo_local_s4042,1004,20.53,6.91,3.78,16,0.766,1768,217.9,75.0,-1.859,373,0,104.09,21.19,22.14,0.766,0.901,0.0,0,0,6,11
ippo_local_s4042,1005,21.69,7.32,3.95,16,0.807,1766,220.1,75.7,-1.945,375,0,105.89,22.89,24.31,0.839,0.873,0.0,0,0,6,13
ippo_local_s4042,1006,21.12,7.36,3.97,15,0.797,1768,219.0,75.4,-1.968,381,0,104.86,21.94,23.22,0.818,0.899,0.0,0,0,6,11
ippo_local_s4042,1007,21.23,7.39,4.02,15,0.795,1763,219.4,75.5,-1.992,374,0,104.88,21.85,22.51,0.808,0.884,0.0,0,0,6,11
ippo_local_s4042,1008,21.61,7.55,4.04,16,0.807,1767,220.0,75.7,-2.013,373,0,105.59,22.58,23.96,0.832,0.887,0.0,0,0,7,13
ippo_local_s4042,1009,21.67,7.43,4.02,16,0.806,1766,219.9,75.7,-1.993,373,0,105.76,22.64,23.97,0.847,0.855,0.0,0,0,8,11
ippo_local_s4042,1010,21.18,7.35,4.01,18,0.785,1764,218.9,75.4,-1.995,372,0,104.58,21.9,22.89,0.798,0.882,0.0,0,0,7,14
ippo_vecinos_s42,1001,19.61,6.31,3.51,13,0.655,1769,215.7,74.3,-1.701,370,0,102.08,19.14,20.01,0.581,0.953,0.0,0,0,4,11
ippo_vecinos_s42,1002,20.02,6.46,3.59,14,0.672,1772,216.8,74.6,-1.774,373,0,102.86,19.89,21.2,0.605,0.958,0.0,0,0,9,13
ippo_vecinos_s42,1003,20.21,6.89,3.76,14,0.673,1769,217.5,74.9,-1.827,373,0,101.69,18.91,19.5,0.579,0.953,0.0,0,0,4,11
ippo_vecinos_s42,1004,19.16,6.16,3.44,13,0.65,1763,214.7,74.0,-1.685,374,0,101.69,18.8,20.09,0.566,0.968,0.0,0,0,4,11
ippo_vecinos_s42,1005,20.39,6.81,3.71,15,0.696,1764,217.5,74.9,-1.825,371,0,103.53,20.54,21.21,0.656,0.924,0.0,0,0,8,13
ippo_vecinos_s42,1006,19.46,6.38,3.52,15,0.666,1768,215.4,74.2,-1.72,370,0,102.38,19.47,20.32,0.604,0.956,0.0,0,0,5,12
ippo_vecinos_s42,1007,19.94,6.63,3.67,14,0.674,1770,216.6,74.6,-1.813,370,0,102.25,19.21,20.06,0.595,0.961,0.0,0,0,5,11
ippo_vecinos_s42,1008,19.07,5.96,3.31,14,0.64,1768,214.7,73.9,-1.613,372,0,102.2,19.18,20.21,0.588,0.956,0.0,0,0,5,11
ippo_vecinos_s42,1009,20.62,6.98,3.83,14,0.698,1772,217.4,74.9,-1.897,371,0,102.94,19.82,21.14,0.613,0.948,0.0,0,0,6,13
ippo_vecinos_s42,1010,19.88,6.61,3.64,15,0.68,1769,216.4,74.6,-1.778,372,0,101.9,19.21,19.71,0.609,0.946,0.0,0,0,5,12
ippo_vecinos_s2042,1001,20.37,6.65,3.67,14,0.718,1764,217.4,74.8,-1.801,380,0,103.4,20.46,21.87,0.656,0.919,0.0,0,0,7,11
