brazo,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace
fijo,1001,152.35,61.47,43.83,103,6.225,2931,430.2,150.5,-23.482,446,0,264.54,181.71,190.18,7.998,0.156,0.0,0,0,24,37
fijo,1002,158.04,65.13,45.86,113,6.457,2902,438.4,153.8,-24.634,451,0,271.65,188.85,199.16,8.359,0.159,0.0,0,0,25,37
fijo,1003,155.18,63.5,45.43,105,6.311,2932,434.2,152.1,-24.383,444,0,266.79,183.88,193.48,8.122,0.156,0.0,0,0,24,37
fijo,1004,151.68,61.78,43.92,103,6.192,2934,429.6,150.3,-23.555,448,0,261.74,178.77,186.56,7.958,0.159,0.0,0,0,24,37
fijo,1005,152.01,61.56,43.79,111,6.267,2921,429.5,150.3,-23.475,447,0,263.66,180.6,187.56,8.1,0.156,0.0,0,0,23,37
fijo,1006,158.32,64.98,46.06,105,6.469,2918,439.3,154.0,-24.735,448,0,270.84,188.04,199.13,8.319,0.163,0.0,0,0,25,37
fijo,1007,148.88,59.73,42.82,93,6.053,2933,425.1,148.5,-22.93,444,0,258.0,175.06,181.02,7.708,0.156,0.0,0,0,22,37
fijo,1008,153.09,61.88,43.89,108,6.276,2917,431.2,150.9,-23.545,448,0,265.24,182.21,190.26,8.08,0.162,0.0,0,0,23,37
fijo,1009,156.25,63.94,45.4,109,6.434,2918,435.8,152.7,-24.356,448,0,270.91,187.89,199.3,8.372,0.161,0.0,0,0,24,37
fijo,1010,153.01,61.96,44.38,109,6.257,2925,431.0,150.8,-23.804,444,0,263.31,180.54,187.47,8.01,0.162,0.0,0,0,24,37
actuado,1001,114.54,68.08,45.27,139,2.749,2879,374.3,132.5,-27.741,260,0,254.19,171.36,188.22,4.093,0.361,0.0178,64,6,38,38
actuado,1002,123.92,73.77,48.97,140,2.888,2846,388.4,137.7,-29.612,256,0,257.13,174.31,190.46,4.109,0.323,0.0117,42,5,38,38
actuado,1003,126.89,77.57,51.41,163,2.974,2847,394.0,140.0,-31.312,258,0,259.06,176.17,191.25,4.164,0.276,0.0208,75,5,38,38
actuado,1004,118.66,71.37,47.13,144,2.804,2857,380.7,134.9,-29.224,265,0,258.67,175.7,193.1,4.119,0.308,0.0125,45,4,38,38
actuado,1005,120.06,71.29,47.89,141,2.855,2888,382.7,135.5,-28.931,254,0,256.84,173.78,188.52,4.111,0.272,0.0186,67,5,38,38
actuado,1006,128.45,79.8,52.68,169,2.998,2821,396.1,141.1,-32.91,260,0,259.8,177.0,194.5,4.266,0.259,0.0428,154,12,38,38
actuado,1007,128.41,78.55,51.41,171,3.001,2821,394.7,140.5,-32.132,270,0,259.89,176.95,193.11,4.261,0.297,0.0294,106,10,38,38
actuado,1008,118.1,72.5,47.94,140,2.731,2860,380.1,134.8,-29.345,265,0,257.76,174.74,192.37,3.996,0.284,0.0172,62,8,38,38
actuado,1009,121.42,72.85,48.14,139,2.914,2857,384.6,136.3,-29.645,262,0,261.24,178.21,195.51,4.279,0.273,0.0111,40,6,38,38
actuado,1010,129.22,82.41,54.88,171,2.796,2841,397.1,141.5,-35.18,264,0,251.7,168.93,182.83,3.682,0.335,0.0381,137,12,38,38
rl,1001,226.76,117.21,74.99,183,6.604,2654,535.4,191.2,-44.642,484,0,275.73,192.9,232.37,7.059,0.114,0.0,0,0,33,37
rl,1002,229.17,109.19,65.35,161,7.415,2647,532.7,189.6,-38.383,614,85,346.6,266.33,326.75,9.387,0.043,0.0042,208,16,38,38
rl,1003,199.36,64.35,40.29,119,7.571,2687,484.5,169.1,-22.085,639,0,346.35,263.45,307.11,10.169,0.046,0.0011,4,2,35,37
rl,1004,190.84,71.47,46.0,180,6.815,2736,476.3,166.9,-26.087,588,0,325.03,242.07,278.05,9.299,0.097,0.0,0,0,27,37
rl,1005,179.31,56.43,35.94,166,7.127,2754,458.4,159.6,-19.571,650,0,329.82,246.76,283.43,9.784,0.046,0.0044,22,3,35,38
rl,1006,198.91,64.54,39.92,147,7.903,2690,485.2,169.7,-21.832,668,0,350.78,267.99,309.2,10.682,0.061,0.005,18,2,37,38
rl,1007,262.28,142.1,86.04,196,7.503,2471,587.2,211.5,-52.253,505,4,296.09,213.15,261.45,7.738,0.099,0.0,0,0,33,37
rl,1008,183.33,58.98,38.11,105,7.282,2764,464.7,162.0,-20.625,638,0,322.38,239.35,274.98,9.585,0.079,0.0,4,2,34,37
rl,1009,260.19,140.06,87.47,199,7.548,2493,583.7,210.1,-52.236,486,0,289.09,206.08,250.51,7.386,0.106,0.0061,36,2,37,37
rl,1010,181.01,58.5,37.58,128,7.273,2777,462.6,161.2,-20.263,636,0,326.06,243.3,275.42,9.768,0.059,0.0,0,0,28,37
ippo_local,1001,119.98,61.61,42.81,125,3.669,2942,381.8,134.3,-24.215,301,0,257.12,174.27,187.88,5.439,0.221,0.0,0,0,31,37
ippo_local,1002,121.02,62.4,42.93,125,3.753,2933,383.8,135.0,-24.574,301,0,259.91,177.11,193.24,5.655,0.203,0.0,0,0,31,38
ippo_local,1003,121.79,64.78,44.72,129,3.79,2938,386.2,136.1,-25.266,301,0,261.2,178.31,193.07,5.614,0.186,0.0,0,0,29,37
ippo_local,1004,118.67,61.05,42.46,123,3.737,2943,380.0,133.6,-24.187,299,0,255.03,172.07,188.28,5.609,0.221,0.0,0,0,32,37
ippo_local,1005,123.84,65.75,44.7,122,3.688,2915,387.5,136.6,-25.853,306,0,260.58,177.52,193.41,5.338,0.248,0.0,0,0,32,37
ippo_local,1006,122.53,63.84,43.88,145,3.793,2916,385.8,135.9,-25.243,302,0,256.18,173.38,189.4,5.51,0.236,0.0,0,0,31,37
ippo_local,1007,123.06,64.02,43.76,132,3.736,2923,386.0,136.0,-24.785,302,0,261.28,178.34,192.81,5.506,0.202,0.0,0,0,31,37
ippo_local,1008,124.29,67.52,46.35,129,3.72,2925,388.9,137.2,-26.515,294,0,258.53,175.5,192.12,5.336,0.199,0.0,0,0,31,38
ippo_local,1009,122.61,64.96,44.72,130,3.633,2916,385.3,135.7,-26.218,299,0,256.48,173.46,189.46,5.248,0.249,0.0,0,0,32,37
ippo_local,1010,121.96,64.08,43.83,119,3.775,2928,384.7,135.6,-24.755,300,0,258.89,176.11,193.52,5.438,0.239,0.0,19,1,37,37
ippo_vecinos_s42,1001,119.7,63.45,43.67,118,3.575,2940,382.2,134.5,-24.894,300,0,251.22,168.39,186.9,5.155,0.231,0.0,0,0,33,37
ippo_vecinos_s42,1002,117.17,62.66,43.83,118,3.498,2962,379.5,133.4,-24.942,296,0,250.05,167.25,184.31,5.058,0.237,0.0,0,0,31,37
ippo_vecinos_s42,1003,123.03,67.0,45.72,117,3.641,2917,387.5,136.6,-26.141,303,0,257.94,175.03,192.23,5.247,0.218,0.0,0,0,31,37
ippo_vecinos_s42,1004,121.29,64.61,44.36,121,3.619,2934,384.2,135.3,-25.222,301,0,249.77,166.81,184.7,5.054,0.277,0.0,0,0,31,37
ippo_vecinos_s42,1005,122.66,63.19,43.41,120,3.786,2925,386.7,136.0,-24.577,301,0,258.69,175.62,192.95,5.565,0.256,0.0,0,0,30,37
ippo_vecinos_s42,1006,120.47,63.21,43.69,127,3.586,2939,382.9,134.7,-24.794,300,0,253.1,170.3,188.52,5.199,0.254,0.0,0,0,33,37
