brazo,metrica,n,media,sd,ic95,delta_pct,delta_ic95,p_wilcoxon,p_mannwhitney,cliff,delta_pct_act,delta_ic95_act,p_wilcoxon_act,p_mannwhitney_act,cliff_act,delta_pct_rl,delta_ic95_rl,p_wilcoxon_rl,p_mannwhitney_rl,cliff_rl
fijo,timeloss_prom,10,153.881,3.007,2.151,,,,,,,,,,,,,,,
fijo,espera_prom,10,62.593,1.728,1.236,,,,,,,,,,,,,,,
fijo,cola_prom,10,44.538,1.077,0.771,,,,,,,,,,,,,,,
fijo,cola_max,10,105.9,5.626,4.025,,,,,,,,,,,,,,,
fijo,paradas_prom,10,6.294,0.13,0.093,,,,,,,,,,,,,,,
fijo,throughput,10,2923.1,10.005,7.157,,,,,,,,,,,,,,,
fijo,co2_prom,10,432.43,4.424,3.165,,,,,,,,,,,,,,,
fijo,nox_prom,10,151.39,1.73,1.238,,,,,,,,,,,,,,,
fijo,recompensa_decision,10,-23.89,0.599,0.428,,,,,,,,,,,,,,,
fijo,cambios_fase,10,446.8,2.3,1.645,,,,,,,,,,,,,,,
fijo,no_terminados,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,viaje_corredor_prom,10,265.668,4.429,3.168,,,,,,,,,,,,,,,
fijo,retraso_corredor_prom,10,182.755,4.457,3.188,,,,,,,,,,,,,,,
fijo,retraso_corredor_punta,10,191.412,6.244,4.466,,,,,,,,,,,,,,,
fijo,paradas_corredor,10,8.103,0.206,0.147,,,,,,,,,,,,,,,
fijo,paradas_corredor_le1,10,0.159,0.003,0.002,,,,,,,,,,,,,,,
fijo,spillback_tasa,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,spillback_seg,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,spillback_eventos,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,cola_max_enlace,10,23.8,0.919,0.657,,,,,,,,,,,,,,,
fijo,veh_max_enlace,10,37.0,0.0,0.0,,,,,,,,,,,,,,,
actuado,timeloss_prom,10,122.967,5.155,3.688,-20.1,"[-22.0, -18.0]",0.00195,0.000183,-1.0,,,,,,,,,,
actuado,espera_prom,10,74.819,4.522,3.235,19.5,"[15.4, 24.3]",0.00195,0.000183,1.0,,,,,,,,,,
actuado,cola_prom,10,49.572,2.924,2.092,11.3,"[7.8, 15.3]",0.00195,0.00058,0.92,,,,,,,,,,
actuado,cola_max,10,151.7,14.69,10.508,43.2,"[33.1, 55.0]",0.00195,0.000177,1.0,,,,,,,,,,
actuado,paradas_prom,10,2.871,0.1,0.072,-54.4,"[-55.3, -53.3]",0.00195,0.000183,-1.0,,,,,,,,,,
actuado,throughput,10,2851.7,21.71,15.531,-2.4,"[-2.9, -2.0]",0.00195,0.00018,-1.0,,,,,,,,,,
actuado,co2_prom,10,387.27,7.939,5.679,-10.4,"[-11.5, -9.3]",0.00195,0.000183,-1.0,,,,,,,,,,
