brazo,metrica,n,media,sd,ic95,delta_pct,delta_ic95,p_wilcoxon,p_mannwhitney,cliff,delta_pct_act,delta_ic95_act,p_wilcoxon_act,p_mannwhitney_act,cliff_act,delta_pct_rl,delta_ic95_rl,p_wilcoxon_rl,p_mannwhitney_rl,cliff_rl
fijo,timeloss_prom,10,21.151,0.571,0.408,,,,,,,,,,,,,,,
fijo,espera_prom,10,6.974,0.246,0.176,,,,,,,,,,,,,,,
fijo,cola_prom,10,3.811,0.112,0.08,,,,,,,,,,,,,,,
fijo,cola_max,10,16.1,2.132,1.525,,,,,,,,,,,,,,,
fijo,paradas_prom,10,0.797,0.03,0.021,,,,,,,,,,,,,,,
fijo,throughput,10,1769.7,2.003,1.433,,,,,,,,,,,,,,,
fijo,co2_prom,10,219.76,1.146,0.82,,,,,,,,,,,,,,,
fijo,nox_prom,10,75.59,0.378,0.271,,,,,,,,,,,,,,,
fijo,recompensa_decision,10,-1.868,0.061,0.043,,,,,,,,,,,,,,,
fijo,cambios_fase,10,410.4,0.516,0.369,,,,,,,,,,,,,,,
fijo,no_terminados,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,viaje_corredor_prom,10,105.823,1.153,0.825,,,,,,,,,,,,,,,
fijo,retraso_corredor_prom,10,22.883,1.07,0.766,,,,,,,,,,,,,,,
fijo,retraso_corredor_punta,10,24.395,1.624,1.162,,,,,,,,,,,,,,,
fijo,paradas_corredor,10,0.815,0.057,0.041,,,,,,,,,,,,,,,
fijo,paradas_corredor_le1,10,0.91,0.02,0.014,,,,,,,,,,,,,,,
fijo,spillback_tasa,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,spillback_seg,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,spillback_eventos,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,cola_max_enlace,10,7.9,1.287,0.92,,,,,,,,,,,,,,,
fijo,veh_max_enlace,10,14.6,2.066,1.478,,,,,,,,,,,,,,,
actuado,timeloss_prom,10,20.911,0.348,0.249,-1.1,"[-2.5, 0.5]",0.131,0.273,-0.3,,,,,,,,,,
actuado,espera_prom,10,5.903,0.201,0.144,-15.4,"[-17.2, -13.2]",0.00195,0.000181,-1.0,,,,,,,,,,
actuado,cola_prom,10,3.316,0.097,0.07,-13.0,"[-14.7, -11.1]",0.00195,0.000181,-1.0,,,,,,,,,,
actuado,cola_max,10,16.7,1.418,1.014,3.7,"[-4.1, 13.4]",0.438,0.784,0.08,,,,,,,,,,
actuado,paradas_prom,10,0.829,0.025,0.018,4.0,"[1.0, 7.0]",0.0391,0.0493,0.53,,,,,,,,,,
actuado,throughput,10,1766.5,1.78,1.273,-0.2,"[-0.3, -0.1]",0.00977,0.00219,-0.81,,,,,,,,,,
actuado,co2_prom,10,221.59,0.824,0.589,0.8,"[0.4, 1.2]",0.00586,0.00112,0.87,,,,,,,,,,
actuado,nox_prom,10,75.94,0.259,0.185,0.5,"[0.1, 0.8]",0.0391,0.0785,0.47,,,,,,,,,,
actuado,recompensa_decision,10,-1.577,0.052,0.037,-15.6,"[-17.4, -13.6]",0.00195,0.000183,1.0,,,,,,,,,,
actuado,cambios_fase,10,459.3,5.832,4.172,11.9,"[11.1, 12.7]",0.00195,0.00014,1.0,,,,,,,,,,
actuado,no_terminados,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
actuado,viaje_corredor_prom,10,108.215,0.701,0.501,2.3,"[1.6, 2.9]",0.00391,0.000504,0.93,,,,,,,,,,
actuado,retraso_corredor_prom,10,25.268,0.615,0.44,10.4,"[7.2, 13.5]",0.00391,0.000243,0.98,,,,,,,,,,
actuado,retraso_corredor_punta,10,26.489,0.777,0.556,8.6,"[3.8, 13.1]",0.0273,0.00457,0.76,,,,,,,,,,
