brazo,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase
fijo,1001,27.35,15.44,7.43,23,0.876,1840,199.6,69.3,-8.034,230
fijo,1002,27.49,15.62,7.53,23,0.877,1841,199.8,69.3,-8.173,230
fijo,1003,27.67,15.76,7.52,23,0.88,1841,200.0,69.4,-8.169,232
fijo,1004,27.45,15.57,7.47,22,0.873,1842,199.8,69.3,-8.125,230
fijo,1005,27.28,15.41,7.34,22,0.861,1842,199.2,69.1,-7.94,232
fijo,1006,27.45,15.57,7.48,22,0.87,1840,199.6,69.3,-8.129,230
fijo,1007,27.89,15.92,7.67,22,0.877,1840,200.4,69.5,-8.318,230
fijo,1008,27.49,15.56,7.5,22,0.874,1839,199.6,69.2,-8.145,230
fijo,1009,27.52,15.58,7.4,24,0.875,1840,199.7,69.3,-8.04,232
fijo,1010,27.82,15.88,7.57,22,0.89,1841,200.3,69.5,-8.209,232
actuado,1001,23.33,11.82,5.82,19,0.834,1844,193.2,66.8,-6.084,289
actuado,1002,23.13,11.69,5.73,17,0.837,1846,192.6,66.6,-5.971,285
actuado,1003,22.86,11.38,5.6,17,0.837,1845,192.4,66.4,-5.834,290
actuado,1004,23.47,11.96,5.86,18,0.847,1844,193.3,66.8,-6.14,285
actuado,1005,23.26,11.77,5.8,19,0.846,1843,192.9,66.7,-6.05,286
actuado,1006,23.16,11.65,5.74,18,0.833,1845,192.9,66.6,-5.975,286
actuado,1007,23.5,11.86,5.78,18,0.842,1842,193.2,66.7,-6.038,289
actuado,1008,23.08,11.49,5.68,17,0.832,1844,192.9,66.6,-5.897,293
actuado,1009,22.95,11.41,5.64,17,0.834,1845,192.3,66.4,-5.876,286
actuado,1010,23.41,11.82,5.81,19,0.85,1846,193.4,66.8,-6.086,294
rl,1001,36.58,21.77,10.82,41,1.211,1844,215.5,75.0,-11.881,285
rl,1002,29.79,16.91,8.48,26,1.01,1844,204.0,70.8,-9.209,279
rl,1003,30.2,17.23,8.56,26,1.026,1842,204.6,71.0,-9.324,281
rl,1004,29.44,16.61,8.18,26,1.014,1842,203.5,70.6,-8.863,281
rl,1005,29.95,16.98,8.42,25,1.021,1841,204.3,70.9,-9.148,281
rl,1006,29.82,17.02,8.48,28,1.003,1842,203.9,70.7,-9.215,275
rl,1007,30.56,17.37,8.62,28,1.027,1843,205.3,71.2,-9.407,281
rl,1008,32.25,18.59,9.25,28,1.073,1841,208.1,72.2,-10.111,281
rl,1009,32.22,18.57,9.22,30,1.09,1844,208.1,72.3,-10.039,285
rl,1010,40.69,24.06,12.1,41,1.333,1842,221.5,77.2,-13.257,279
