brazo,metrica,n,media,sd,ic95,delta_pct,delta_ic95,p_wilcoxon,p_mannwhitney,cliff
fijo,timeloss_prom,10,27.541,0.195,0.14,,,,,
fijo,espera_prom,10,15.631,0.171,0.122,,,,,
fijo,cola_prom,10,7.491,0.092,0.066,,,,,
fijo,cola_max,10,22.5,0.707,0.506,,,,,
fijo,paradas_prom,10,0.875,0.007,0.005,,,,,
fijo,throughput,10,1840.6,0.966,0.691,,,,,
fijo,co2_prom,10,199.8,0.356,0.255,,,,,
fijo,nox_prom,10,69.32,0.123,0.088,,,,,
fijo,recompensa_decision,10,-8.128,0.105,0.075,,,,,
fijo,cambios_fase,10,230.8,1.033,0.739,,,,,
actuado,timeloss_prom,10,23.215,0.217,0.155,-15.7,"[-16.2, -15.2]",0.00195,0.000181,-1.0
actuado,espera_prom,10,11.685,0.199,0.143,-25.2,"[-26.1, -24.4]",0.00195,0.000181,-1.0
actuado,cola_prom,10,5.746,0.084,0.06,-23.3,"[-24.1, -22.4]",0.00195,0.000183,-1.0
actuado,cola_max,10,17.9,0.876,0.626,-20.4,"[-23.7, -17.2]",0.00195,0.000131,-1.0
actuado,paradas_prom,10,0.839,0.007,0.005,-4.1,"[-4.6, -3.5]",0.00195,0.00018,-1.0
actuado,throughput,10,1844.4,1.265,0.905,0.2,"[0.2, 0.2]",0.00195,0.000212,0.98
actuado,co2_prom,10,192.91,0.378,0.271,-3.4,"[-3.6, -3.3]",0.00195,0.000173,-1.0
actuado,nox_prom,10,66.64,0.151,0.108,-3.9,"[-4.0, -3.7]",0.00195,0.000153,-1.0
actuado,recompensa_decision,10,-5.995,0.102,0.073,-26.2,"[-27.1, -25.3]",0.00195,0.000183,1.0
actuado,cambios_fase,10,288.3,3.268,2.338,24.9,"[24.1, 25.8]",0.00195,0.000136,1.0
rl,timeloss_prom,10,32.15,3.683,2.635,16.7,"[9.9, 25.4]",0.00195,0.000181,1.0
rl,espera_prom,10,18.511,2.475,1.77,18.4,"[10.2, 28.7]",0.00195,0.000182,1.0
rl,cola_prom,10,9.213,1.268,0.907,23.0,"[14.3, 34.0]",0.00195,0.000182,1.0
rl,cola_max,10,29.9,6.027,4.311,32.9,"[19.1, 50.9]",0.00195,0.000138,1.0
rl,paradas_prom,10,1.081,0.108,0.078,23.5,"[17.5, 31.2]",0.00195,0.000182,1.0
rl,throughput,10,1842.5,1.179,0.843,0.1,"[0.0, 0.2]",0.0156,0.0028,0.78
rl,co2_prom,10,207.88,6.0,4.292,4.0,"[2.5, 6.0]",0.00195,0.000177,1.0
rl,nox_prom,10,72.19,2.205,1.577,4.1,"[2.5, 6.2]",0.00195,0.000162,1.0
rl,recompensa_decision,10,-10.045,1.422,1.018,23.6,"[14.5, 35.1]",0.00195,0.000183,-1.0
rl,cambios_fase,10,280.8,2.898,2.073,21.7,"[20.9, 22.4]",0.00195,0.000123,1.0
