brazo,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace
rl,1001,25.56,7.91,4.35,18,1.097,2095,266.1,91.1,-1.509,767,0,167.44,35.39,37.44,1.51,0.509,0.0,0,0,4,8
rl,1002,25.54,7.79,4.38,18,1.092,2086,266.1,91.1,-1.517,755,0,168.07,35.93,37.88,1.521,0.481,0.0,0,0,5,9
rl,1003,25.02,7.63,4.14,18,1.078,2091,265.1,90.8,-1.427,765,0,166.55,34.41,36.19,1.503,0.507,0.0,0,0,5,9
rl,1004,24.88,7.73,4.13,17,1.051,2091,264.3,90.6,-1.428,770,0,165.09,33.41,34.95,1.394,0.56,0.0,0,0,4,9
rl,1005,24.57,7.53,4.17,18,1.031,2090,263.6,90.4,-1.434,761,0,164.61,33.12,34.54,1.347,0.578,0.0,0,0,5,9
rl,1006,24.63,7.4,4.09,17,1.041,2090,264.2,90.5,-1.411,766,0,165.54,33.72,35.3,1.4,0.549,0.0,0,0,5,8
rl,1007,25.75,8.15,4.58,18,1.107,2090,266.6,91.3,-1.587,759,0,167.94,35.98,37.93,1.539,0.492,0.0,0,0,5,8
rl,1008,24.91,7.6,4.25,17,1.074,2094,264.7,90.7,-1.457,763,0,166.12,34.18,36.31,1.459,0.537,0.0,0,0,5,9
rl,1009,25.54,7.77,4.32,20,1.092,2092,265.9,91.0,-1.488,763,0,168.27,35.92,38.21,1.539,0.49,0.0,0,0,5,9
rl,1010,24.81,7.55,4.2,21,1.059,2089,264.3,90.6,-1.455,764,0,165.56,33.89,36.17,1.426,0.543,0.0,0,0,5,9
ippo_local_s42,1001,25.1,9.08,4.96,24,0.895,2091,260.3,89.6,-1.761,544,0,160.3,28.24,29.04,1.01,0.788,0.0,0,0,5,9
ippo_local_s42,1002,24.35,8.78,4.67,18,0.839,2090,258.2,88.9,-1.649,550,0,159.09,26.94,28.38,0.887,0.848,0.0,0,0,4,8
ippo_local_s42,1003,23.96,8.69,4.69,17,0.833,2089,257.4,88.7,-1.667,553,0,158.3,26.18,27.46,0.868,0.851,0.0,0,0,5,8
ippo_local_s42,1004,24.52,9.18,4.69,16,0.855,2092,258.3,89.0,-1.662,550,0,158.24,26.57,27.28,0.92,0.835,0.0,0,0,4,8
ippo_local_s42,1005,23.7,8.44,4.62,16,0.83,2092,256.8,88.5,-1.642,564,0,157.44,25.94,27.16,0.855,0.86,0.0,0,0,5,9
ippo_local_s42,1006,23.89,8.55,4.6,17,0.829,2095,257.3,88.6,-1.628,556,0,158.35,26.53,27.43,0.888,0.853,0.0,0,0,6,8
ippo_local_s42,1007,24.42,8.71,4.78,16,0.862,2092,258.7,89.1,-1.704,549,0,159.41,27.46,28.0,0.943,0.812,0.0,0,0,5,8
ippo_local_s42,1008,23.39,8.11,4.49,17,0.807,2093,256.3,88.3,-1.59,565,0,157.84,25.89,26.69,0.827,0.866,0.0,0,0,4,8
ippo_local_s42,1009,23.88,8.44,4.67,17,0.824,2093,257.0,88.5,-1.657,556,0,159.09,26.75,27.74,0.889,0.839,0.0,0,0,5,9
ippo_local_s42,1010,24.75,9.03,4.96,16,0.88,2093,259.6,89.4,-1.771,539,0,159.63,27.97,28.83,0.971,0.806,0.0,0,0,5,9
ippo_local_s2042,1001,22.53,7.39,4.21,20,0.758,2093,253.9,87.5,-1.488,581,0,158.3,26.23,26.12,0.775,0.878,0.0,0,0,5,9
ippo_local_s2042,1002,22.15,7.23,4.02,14,0.717,2092,253.4,87.3,-1.422,583,0,157.18,25.01,25.37,0.7,0.905,0.0,0,0,5,8
ippo_local_s2042,1003,22.34,7.44,3.85,15,0.717,2092,254.0,87.5,-1.362,585,0,156.22,24.06,23.97,0.683,0.898,0.0,0,0,5,9
ippo_local_s2042,1004,21.7,7.02,3.78,15,0.707,2092,252.4,87.0,-1.342,581,0,155.79,24.12,24.17,0.662,0.929,0.0,0,0,4,8
ippo_local_s2042,1005,22.45,7.51,4.03,18,0.739,2096,254.3,87.6,-1.434,581,0,156.28,24.79,24.51,0.726,0.892,0.0,0,0,4,8
ippo_local_s2042,1006,21.85,7.05,3.88,15,0.719,2093,252.9,87.1,-1.375,584,0,156.58,24.77,24.5,0.717,0.897,0.0,0,0,5,8
ippo_local_s2042,1007,22.11,7.17,3.88,16,0.745,2092,253.8,87.4,-1.365,584,0,157.0,25.02,24.84,0.728,0.891,0.0,0,0,5,8
ippo_local_s2042,1008,22.64,7.55,4.18,17,0.764,2093,254.5,87.7,-1.471,578,0,157.76,25.82,25.55,0.809,0.853,0.0,0,0,4,8
ippo_local_s2042,1009,22.22,7.12,3.98,16,0.728,2093,253.8,87.4,-1.395,583,0,157.61,25.29,25.53,0.732,0.882,0.0,0,0,4,9
ippo_local_s2042,1010,21.75,7.04,3.9,16,0.719,2093,252.3,86.9,-1.378,583,0,156.27,24.61,24.41,0.703,0.904,0.0,0,0,4,9
ippo_local_s4042,1001,22.07,7.11,4.0,18,0.726,2091,253.6,87.3,-1.423,583,0,157.31,25.26,25.01,0.715,0.898,0.0,0,0,4,8
ippo_local_s4042,1002,21.96,7.13,3.81,16,0.72,2096,252.9,87.1,-1.347,581,0,156.58,24.42,24.2,0.682,0.916,0.0,0,0,4,8
ippo_local_s4042,1003,21.8,7.22,3.91,14,0.711,2095,252.5,87.0,-1.381,583,0,156.17,24.04,23.82,0.656,0.918,0.0,0,0,3,9
ippo_local_s4042,1004,22.17,7.24,3.87,19,0.722,2092,253.8,87.4,-1.364,580,0,156.68,25.01,25.0,0.711,0.902,0.0,0,0,5,8
ippo_local_s4042,1005,22.31,7.34,4.02,15,0.734,2094,254.1,87.6,-1.414,582,0,156.74,25.23,24.9,0.756,0.885,0.0,0,0,3,9
ippo_local_s4042,1006,21.97,7.23,3.92,14,0.726,2093,253.0,87.2,-1.386,580,0,156.2,24.38,23.67,0.693,0.901,0.0,0,0,3,9
ippo_local_s4042,1007,22.37,7.2,3.92,16,0.718,2093,254.7,87.7,-1.381,580,0,157.03,25.07,24.9,0.694,0.876,0.0,0,0,4,7
ippo_local_s4042,1008,22.15,6.98,3.92,17,0.726,2096,255.0,87.7,-1.386,581,0,157.39,25.44,25.68,0.739,0.875,0.0,0,0,5,8
ippo_local_s4042,1009,22.49,7.27,4.09,17,0.756,2094,254.7,87.7,-1.449,582,0,158.32,26.0,25.87,0.764,0.877,0.0,0,0,4,8
ippo_local_s4042,1010,21.57,6.94,3.85,14,0.699,2093,252.2,86.9,-1.364,582,0,155.94,24.29,23.71,0.669,0.909,0.0,0,0,5,8
ippo_vecinos_s42,1001,21.53,7.22,4.01,13,0.663,2094,249.8,86.2,-1.435,560,0,154.56,22.5,23.26,0.531,0.983,0.0,0,0,3,9
ippo_vecinos_s42,1002,21.82,7.43,4.14,13,0.674,2094,250.6,86.5,-1.476,561,0,154.72,22.58,23.24,0.544,0.979,0.0,0,0,3,9
ippo_vecinos_s42,1003,21.26,7.14,3.88,13,0.644,2093,249.5,86.1,-1.374,563,0,154.42,22.26,22.91,0.529,0.988,0.0,0,0,3,9
ippo_vecinos_s42,1004,21.79,7.45,4.02,14,0.665,2093,250.9,86.6,-1.431,563,0,154.37,22.7,23.64,0.55,0.987,0.0,0,0,3,9
