brazo,metrica,n,media,sd,ic95,delta_pct,delta_ic95,p_wilcoxon,p_mannwhitney,cliff,delta_pct_act,delta_ic95_act,p_wilcoxon_act,p_mannwhitney_act,cliff_act,delta_pct_rl,delta_ic95_rl,p_wilcoxon_rl,p_mannwhitney_rl,cliff_rl
fijo,timeloss_prom,10,21.782,0.309,0.221,,,,,,,,,,,,,,,
fijo,espera_prom,10,7.413,0.219,0.156,,,,,,,,,,,,,,,
fijo,cola_prom,10,4.013,0.072,0.052,,,,,,,,,,,,,,,
fijo,cola_max,10,14.9,0.876,0.626,,,,,,,,,,,,,,,
fijo,paradas_prom,10,0.611,0.01,0.007,,,,,,,,,,,,,,,
fijo,throughput,10,2095.1,1.595,1.141,,,,,,,,,,,,,,,
fijo,co2_prom,10,250.39,0.651,0.465,,,,,,,,,,,,,,,
fijo,nox_prom,10,86.46,0.212,0.152,,,,,,,,,,,,,,,
fijo,recompensa_decision,10,-1.43,0.028,0.02,,,,,,,,,,,,,,,
fijo,cambios_fase,10,489.6,1.265,0.905,,,,,,,,,,,,,,,
fijo,no_terminados,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,viaje_corredor_prom,10,155.369,0.639,0.457,,,,,,,,,,,,,,,
fijo,retraso_corredor_prom,10,23.447,0.437,0.312,,,,,,,,,,,,,,,
fijo,retraso_corredor_punta,10,24.536,0.489,0.349,,,,,,,,,,,,,,,
fijo,paradas_corredor,10,0.482,0.014,0.01,,,,,,,,,,,,,,,
fijo,paradas_corredor_le1,10,0.986,0.004,0.003,,,,,,,,,,,,,,,
fijo,spillback_tasa,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,spillback_seg,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,spillback_eventos,10,0.0,0.0,0.0,,,,,,,,,,,,,,,
fijo,cola_max_enlace,10,1.9,0.316,0.226,,,,,,,,,,,,,,,
fijo,veh_max_enlace,10,9.5,0.527,0.377,,,,,,,,,,,,,,,
actuado,timeloss_prom,10,21.422,0.326,0.233,-1.7,"[-2.6, -0.6]",0.0195,0.0376,-0.56,,,,,,,,,,
actuado,espera_prom,10,5.446,0.263,0.188,-26.5,"[-28.0, -24.8]",0.00195,0.000183,-1.0,,,,,,,,,,
actuado,cola_prom,10,2.927,0.115,0.082,-27.1,"[-28.6, -25.3]",0.00195,0.000182,-1.0,,,,,,,,,,
actuado,cola_max,10,15.7,1.703,1.218,5.4,"[-2.0, 13.6]",0.297,0.523,0.17,,,,,,,,,,
actuado,paradas_prom,10,0.803,0.022,0.015,31.5,"[29.5, 33.7]",0.00195,0.000179,1.0,,,,,,,,,,
