t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,3,3
25,3,3
26,3,3
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,1,0
38,1,0
39,1,1
40,2,1
41,2,1
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,3,2
51,3,2
52,3,3
53,0,3
54,0,3
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,1,0
64,1,0
65,1,1
66,2,1
67,2,1
68,2,2
69,2,2
70,2,2
71,2,2
72,2,2
73,2,2
74,2,2
75,2,2
76,2,2
77,2,2
78,3,2
79,3,2
80,3,3
81,0,3
82,0,3
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,1,0
92,1,0
93,1,0
94,2,0
95,2,0
96,2,0
97,2,1
98,2,1
99,2,1
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,3,2
106,3,2
107,3,2
108,0,2
109,0,2
110,0,2
111,0,2
112,0,2
113,0,2
114,0,3
115,0,3
116,0,3
117,0,0
118,1,0
119,1,0
120,1,0
121,2,0
122,2,0
123,2,0
124,2,0
125,2,0
126,2,0
127,2,1
128,2,1
129,2,1
130,2,2
131,2,2
132,2,2
133,3,2
134,3,2
135,3,2
136,0,2
137,0,2
138,0,2
139,0,2
140,0,2
141,0,2
142,0,2
143,0,3
144,0,3
145,0,3
146,1,0
147,1,0
148,1,0
149,2,0
150,2,0
151,2,0
152,2,0
153,2,0
154,2,0
155,2,0
156,2,0
157,2,0
158,2,0
159,2,1
160,2,1
161,2,1
162,2,2
163,2,2
164,3,2
165,3,2
166,3,2
167,0,2
168,0,2
169,0,2
170,0,2
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,1,2
178,1,2
179,1,2
180,2,2
181,2,2
182,2,2
183,2,2
184,2,2
185,2,2
186,2,2
187,2,2
188,2,3
189,2,3
190,2,3
191,2,0
192,2,0
193,2,0
194,2,0
195,3,0
196,3,0
197,3,0
198,0,0
199,0,0
200,0,0
201,0,1
202,0,1
203,0,1
204,0,2
205,0,2
206,0,2
207,0,2
208,1,2
209,1,2
210,1,2
211,2,2
212,2,2
213,2,2
214,2,2
215,2,2
216,2,2
217,2,2
218,2,3
219,2,3
220,2,3
221,2,0
222,2,0
223,3,0
224,3,0
225,3,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,1
232,0,1
233,0,1
234,0,2
235,0,2
236,0,2
237,1,2
238,1,2
239,1,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,3
245,2,3
