t,semaforo_C1,semaforo_C2
1,0,2
2,0,2
3,0,2
4,0,2
5,0,2
6,0,2
7,0,2
8,0,2
9,0,2
10,0,2
11,1,2
12,1,2
13,1,3
14,2,3
15,2,3
16,2,0
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,0
24,2,0
25,2,0
26,2,1
27,2,1
28,2,1
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,3,2
35,3,2
36,3,2
37,0,2
38,0,2
39,0,2
40,0,2
41,0,2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,2
47,1,2
48,1,2
49,1,3
50,2,3
51,2,3
52,2,0
53,2,0
54,2,0
55,2,0
56,2,0
57,2,0
58,2,0
59,2,0
60,2,0
61,2,0
62,2,1
63,2,1
64,2,1
65,2,2
66,2,2
67,2,2
68,2,2
69,2,2
70,3,2
71,3,2
72,3,2
73,0,2
74,0,2
75,0,2
76,0,2
77,0,2
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,1,2
84,1,2
85,1,3
86,2,3
87,2,3
88,2,0
89,2,0
90,2,0
91,2,0
92,2,0
93,2,0
94,2,0
95,2,0
96,2,0
97,2,0
98,2,1
99,2,1
100,2,1
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,3,2
107,3,2
108,3,2
109,0,2
110,0,2
111,0,2
112,0,2
113,0,2
114,0,2
115,0,2
116,0,2
117,0,2
118,0,2
119,1,2
120,1,2
121,1,3
122,2,3
123,2,3
124,2,0
125,2,0
126,2,0
127,2,0
128,2,0
129,2,0
130,2,0
131,2,0
132,2,0
133,2,0
134,2,1
135,2,1
136,2,1
137,2,2
138,2,2
139,2,2
140,2,2
141,2,2
142,3,2
143,3,2
144,3,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
150,0,2
151,0,2
152,0,2
153,0,2
154,0,2
155,1,2
156,1,2
157,1,3
158,2,3
159,2,3
160,2,0
161,2,0
162,2,0
163,2,0
164,2,0
165,2,0
166,2,0
167,2,0
168,2,0
169,2,0
170,2,1
171,2,1
172,2,1
173,2,2
174,2,2
175,2,2
176,2,2
177,2,2
178,3,2
179,3,2
180,3,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,2
187,0,2
188,0,2
189,0,2
190,0,2
191,1,2
192,1,2
193,1,3
194,2,3
195,2,3
196,2,0
197,2,0
198,2,0
199,2,0
200,2,0
201,2,0
202,2,0
203,2,0
204,2,0
205,2,0
206,2,1
207,2,1
208,2,1
209,2,2
210,2,2
211,2,2
212,2,2
213,2,2
214,3,2
215,3,2
216,3,2
217,0,2
218,0,2
219,0,2
220,0,2
221,0,2
222,0,2
223,0,2
224,0,2
225,0,2
226,0,2
227,1,2
228,1,2
229,1,3
230,2,3
231,2,3
232,2,0
