t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,2,3
25,2,3
26,2,3
27,2,0
28,2,0
29,3,0
30,3,0
31,3,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,1
38,0,1
39,0,1
40,0,2
41,0,2
42,1,2
43,1,2
44,1,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,3
51,2,3
52,2,3
53,2,0
54,2,0
55,2,0
56,2,0
57,2,0
58,2,0
59,2,0
60,2,0
61,2,0
62,2,0
63,2,1
64,2,1
65,3,1
66,3,2
67,3,2
68,0,2
69,0,2
70,0,2
71,0,2
72,0,2
73,0,2
74,0,2
75,0,2
76,0,2
77,0,2
78,1,2
79,1,2
80,1,2
81,2,2
82,2,2
83,2,2
84,2,2
85,2,2
86,2,3
87,2,3
88,2,3
89,2,0
90,2,0
91,3,0
92,3,0
93,3,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,1
100,0,1
101,0,1
102,0,2
103,0,2
104,1,2
105,1,2
106,1,2
107,2,2
108,2,2
109,2,2
110,2,2
111,2,2
112,2,2
113,2,2
114,2,2
115,2,2
116,2,2
117,2,2
118,2,2
119,2,2
120,2,2
121,2,2
122,3,3
123,3,3
124,3,3
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,1,1
136,1,1
137,1,1
138,2,2
139,2,2
140,2,2
141,2,2
142,2,2
143,2,2
144,2,2
145,2,2
146,2,2
147,2,2
148,2,2
149,2,2
150,2,2
151,2,2
152,2,2
153,3,3
154,3,3
155,3,3
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,1,1
167,1,1
168,1,1
169,2,2
170,2,2
171,2,2
172,2,2
173,2,2
174,2,2
175,2,2
176,2,2
177,2,2
178,2,2
179,2,2
180,2,2
181,2,2
182,2,2
183,2,2
184,3,2
185,3,2
186,3,2
187,0,2
188,0,2
189,0,3
190,0,3
191,0,3
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,1,0
198,1,0
199,1,0
200,2,0
201,2,0
202,2,1
203,2,1
204,2,1
205,2,2
206,2,2
207,2,2
208,2,2
209,2,2
210,2,2
211,2,2
212,2,2
213,2,2
214,2,2
215,2,2
216,2,2
217,2,2
218,2,2
219,2,2
220,3,3
221,3,3
222,3,3
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,1,1
234,1,1
235,1,1
236,2,2
237,2,2
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
