t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,2,3
40,2,3
41,2,3
42,2,0
43,2,0
44,3,0
45,3,0
46,3,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,1
53,0,1
54,0,1
55,0,2
56,0,2
57,0,2
58,0,2
59,0,2
60,0,2
61,0,2
62,1,2
63,1,2
64,1,2
65,2,3
66,2,3
67,2,3
68,2,0
69,2,0
70,2,0
71,2,0
72,2,0
73,2,0
74,2,0
75,2,0
76,2,0
77,2,0
78,2,1
79,2,1
80,3,1
81,3,2
82,3,2
83,0,2
84,0,2
85,0,2
86,0,2
87,0,2
88,0,2
89,0,2
90,0,2
91,0,2
92,0,2
93,0,2
94,0,2
95,0,2
96,0,2
97,0,2
98,1,2
99,1,2
100,1,2
101,2,3
102,2,3
103,2,3
104,2,0
105,2,0
106,2,0
107,2,0
108,2,0
109,2,0
110,2,0
111,2,0
112,2,0
113,2,0
114,2,1
115,2,1
116,2,1
117,2,2
118,2,2
119,2,2
120,2,2
121,3,2
122,3,2
123,3,2
124,0,2
125,0,2
126,0,2
127,0,2
128,0,2
129,0,2
130,0,2
131,0,2
132,0,2
133,0,2
134,0,2
135,0,2
136,0,2
137,0,2
138,0,2
139,0,2
140,0,2
141,0,2
142,0,3
143,0,3
144,1,3
145,1,0
146,1,0
147,2,0
148,2,0
149,2,0
150,2,0
151,2,0
152,2,0
153,2,0
154,2,0
155,2,1
156,2,1
157,3,1
158,3,2
159,3,2
160,0,2
161,0,2
162,0,2
163,0,2
164,0,2
165,0,2
166,0,2
167,0,2
168,0,3
169,0,3
170,1,3
171,1,0
172,1,0
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,0
179,2,0
180,2,0
181,2,1
182,2,1
183,3,1
184,3,2
185,3,2
186,0,2
187,0,2
188,0,2
189,0,2
190,0,2
191,0,2
192,0,2
193,0,2
194,0,2
195,0,2
196,1,2
197,1,2
198,1,2
199,2,3
200,2,3
201,2,3
202,2,0
203,2,0
204,2,0
205,2,0
206,2,0
207,2,0
208,2,0
209,2,0
210,2,0
211,2,0
212,2,1
213,2,1
214,2,1
215,2,2
216,2,2
217,2,2
218,2,2
219,3,2
220,3,2
221,3,2
222,0,2
223,0,2
224,0,2
225,0,3
226,0,3
227,0,3
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,1
239,0,1
240,0,1
241,0,2
242,1,2
243,1,2
244,1,2
245,2,2
