t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,1,0,0
24,2,0,0
25,2,0,0
26,2,1,1
27,2,1,1
28,2,1,1
29,2,2,2
30,2,2,2
31,2,2,2
32,2,2,2
33,2,2,2
34,3,2,2
35,3,2,2
36,3,2,2
37,0,2,2
38,0,2,2
39,0,3,3
40,0,3,3
41,0,3,3
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,1,0,0
63,1,0,0
64,1,0,0
65,2,0,0
66,2,0,0
67,2,1,1
68,2,1,1
69,2,1,1
70,2,2,2
71,2,2,2
72,2,2,2
73,2,2,2
74,2,2,2
75,3,2,2
76,3,2,2
77,3,2,2
78,0,2,2
79,0,2,2
80,0,3,3
81,0,3,3
82,0,3,3
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,1,0,0
99,1,0,0
100,1,0,0
101,2,0,0
102,2,0,0
103,2,0,0
104,2,0,0
105,2,0,0
106,2,0,0
107,2,0,0
108,2,1,1
109,2,1,1
110,2,1,1
111,3,2,2
112,3,2,2
113,3,2,2
114,0,2,2
115,0,2,2
116,0,2,2
117,0,2,2
118,0,2,2
119,0,2,2
120,0,2,2
121,0,3,3
122,0,3,3
123,0,3,3
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
