t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,1,1,1
17,1,1,1
18,1,1,1
19,2,2,2
20,2,2,2
21,2,2,2
22,2,2,2
23,2,2,2
24,2,2,2
25,2,2,2
26,2,2,2
27,2,2,2
28,2,2,2
29,3,3,3
30,3,3,3
31,3,3,3
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,1,0
43,0,1,0
44,0,1,0
45,0,2,0
46,0,2,0
47,0,2,0
48,0,2,0
49,0,2,0
50,0,2,0
51,0,2,0
52,0,2,0
53,0,2,0
54,0,2,0
55,0,3,0
56,0,3,0
57,0,3,1
58,0,0,1
59,0,0,1
60,0,0,2
61,0,0,2
62,1,0,2
63,1,0,2
64,1,0,2
65,2,0,2
66,2,0,2
67,2,0,2
68,2,0,2
69,2,0,2
70,2,0,3
71,2,0,3
72,2,0,3
73,2,0,0
74,2,0,0
75,3,0,0
76,3,0,0
77,3,0,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,2,0
82,0,2,0
83,0,2,0
84,0,2,0
85,0,2,0
86,0,2,0
87,0,2,0
88,0,2,0
89,0,2,0
90,0,2,0
91,0,3,0
92,0,3,0
93,0,3,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,1,0,1
99,1,0,1
100,1,0,1
101,2,0,2
102,2,0,2
103,2,0,2
104,2,0,2
105,2,0,2
106,2,0,2
107,2,0,2
108,2,0,2
109,2,0,2
110,2,0,2
111,3,0,3
112,3,0,3
113,3,0,3
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,1,0
120,0,1,0
121,0,1,0
122,0,2,0
123,0,2,0
124,0,2,0
125,0,2,0
126,0,2,0
127,0,2,0
128,0,2,0
129,0,2,0
130,0,2,0
131,0,2,0
