t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,1,0
12,0,1,0
13,0,1,0
14,0,2,0
15,0,2,0
16,1,2,0
17,1,2,0
18,1,2,0
19,2,2,0
20,2,2,0
21,2,2,0
22,2,2,0
23,2,2,0
24,2,3,0
25,2,3,0
26,2,3,0
27,2,0,0
28,2,0,0
29,3,0,0
30,3,0,0
31,3,0,1
32,0,0,1
33,0,0,1
34,0,0,2
35,0,0,2
36,0,0,2
37,0,1,2
38,0,1,2
39,0,1,2
40,0,2,2
41,0,2,2
42,1,2,2
43,1,2,2
44,1,2,3
45,2,2,3
46,2,2,3
47,2,2,0
48,2,2,0
49,2,2,0
50,2,3,0
51,2,3,0
52,2,3,0
53,2,0,0
54,2,0,0
55,3,0,0
56,3,0,0
57,3,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,1
63,0,1,1
64,0,1,1
65,0,1,2
66,0,2,2
67,0,2,2
68,0,2,2
69,0,2,2
70,0,2,2
71,0,2,2
72,0,2,2
73,0,2,2
74,0,2,2
75,0,2,3
76,0,3,3
77,0,3,3
78,0,3,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,1,0,1
89,1,1,1
90,1,1,1
91,2,1,2
92,2,2,2
93,2,2,2
94,2,2,2
95,2,2,2
96,2,2,2
97,2,2,2
98,2,2,2
99,2,2,2
100,2,2,2
101,3,2,3
102,3,3,3
103,3,3,3
104,0,3,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,1
115,0,1,1
116,0,1,1
117,0,1,2
118,0,2,2
119,0,2,2
120,0,2,2
121,0,2,2
122,0,2,2
123,0,2,2
124,0,2,2
125,0,2,2
126,0,2,2
127,0,2,3
128,0,3,3
129,0,3,3
130,0,3,0
131,0,0,0
