t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,1,1
12,0,1,1
13,0,1,1
14,0,2,2
15,0,2,2
16,0,2,2
17,0,2,2
18,0,2,2
19,0,2,2
20,0,2,2
21,0,2,2
22,0,2,2
23,0,2,2
24,0,3,3
25,0,3,3
26,0,3,3
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,0,0
32,1,0,0
33,1,0,0
34,2,0,0
35,2,0,0
36,2,0,0
37,2,1,1
38,2,1,1
39,2,1,1
40,2,2,2
41,2,2,2
42,2,2,2
43,2,2,2
44,3,2,2
45,3,2,2
46,3,2,2
47,0,2,2
48,0,2,2
49,0,2,2
50,0,3,3
51,0,3,3
52,0,3,3
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,1,0,0
58,1,0,0
59,1,0,0
60,2,0,0
61,2,0,0
62,2,0,0
63,2,1,1
64,2,1,1
65,2,1,1
66,2,2,2
67,2,2,2
68,2,2,2
69,2,2,2
70,3,2,2
71,3,2,2
72,3,2,2
73,0,2,2
74,0,2,2
75,0,2,2
76,0,3,3
77,0,3,3
78,0,3,3
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,1,1
90,0,1,1
91,0,1,1
92,0,2,2
93,0,2,2
94,0,2,2
95,0,2,2
96,0,2,2
97,0,2,2
98,0,2,2
99,0,2,2
100,0,2,2
101,0,2,2
102,0,3,3
103,0,3,3
104,0,3,3
105,0,0,0
106,0,0,0
107,0,0,0
108,1,0,0
109,1,0,0
110,1,0,0
111,2,0,0
112,2,0,0
113,2,0,0
114,2,0,0
115,2,0,1
116,2,0,1
117,2,0,1
118,2,0,2
119,2,0,2
120,2,0,2
121,3,0,2
122,3,0,2
123,3,0,2
124,0,0,2
125,0,0,2
126,0,0,2
127,0,0,2
128,0,0,3
129,0,0,3
130,0,1,3
131,0,1,0
