t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,1,0
12,0,1,0
13,0,1,0
14,0,2,0
15,0,2,0
16,0,2,0
17,0,2,0
18,0,2,0
19,0,2,0
20,0,2,0
21,0,2,0
22,0,2,0
23,0,2,0
24,0,2,0
25,0,2,0
26,1,2,1
27,1,2,1
28,1,2,1
29,2,2,2
30,2,2,2
31,2,2,2
32,2,2,2
33,2,2,2
34,2,2,2
35,2,2,2
36,2,2,2
37,2,2,2
38,2,2,2
39,3,2,3
40,3,2,3
41,3,2,3
42,0,2,0
43,0,2,0
44,0,2,0
45,0,2,0
46,0,2,0
47,0,2,0
48,0,2,0
49,0,2,0
50,0,2,0
51,0,2,0
52,0,2,0
53,0,2,0
54,0,2,0
55,0,2,0
56,0,2,0
57,1,2,1
58,1,2,1
59,1,2,1
60,2,2,2
61,2,2,2
62,2,2,2
63,2,2,2
64,2,3,2
65,2,3,2
66,2,3,2
67,2,0,2
68,2,0,2
69,2,0,2
70,3,0,3
71,3,0,3
72,3,0,3
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,2,0
81,0,2,0
82,0,2,0
83,1,2,1
84,1,2,1
85,1,2,1
86,2,2,2
87,2,2,2
88,2,2,2
89,2,2,2
90,2,3,2
91,2,3,2
92,2,3,2
93,2,0,2
94,2,0,2
95,2,0,2
96,3,0,3
97,3,0,3
98,3,0,3
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,1,0
104,0,1,0
105,0,1,0
106,0,2,0
107,0,2,0
108,0,2,0
109,1,2,1
110,1,2,1
111,1,2,1
112,2,2,2
113,2,2,2
114,2,2,2
115,2,2,2
116,2,3,2
117,2,3,2
118,2,3,2
119,2,0,2
120,2,0,2
121,2,0,2
122,3,0,3
123,3,0,3
124,3,0,3
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,1,0
130,0,1,0
131,0,1,0
