variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val,algoritmo,recompensa_tipo
vecinos,42,1,43,5.00e-04,4.4,1844,25.95,63.35,12.79,57,-10813.7,-13.917,-36.508,649,432,215,2.344,1743,258.8,89.2,0,0.0,0,0,0,0,,,,,,0,0.0,1.0,,,0,649,,,-118468.39,-54347.83,-118468.39,,,dqn,retraso
vecinos,42,2,44,5.00e-04,5.5,1844,35.06,79.95,16.75,73,-14591.9,-18.378,-45.328,665,448,216,3.047,1723,286.7,99.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.9683,0.04878,-0.1289,315,1314,,,-150715.44,-72970.88,-150715.44,,,dqn,retraso
vecinos,42,3,45,5.00e-04,6.1,1844,21.98,52.22,11.18,48,-9150.6,-12.072,-30.535,635,425,207,2.102,1787,245.0,84.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.9367,0.00621,-0.2672,950,1949,,,-96949.0,-45907.83,-96949.0,,,dqn,retraso
vecinos,42,4,46,5.00e-04,6.4,1844,27.18,70.89,13.39,53,-11202.6,-14.436,-40.675,649,434,213,2.6,1713,269.6,92.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.905,0.00867,-0.7759,1599,2598,,,-131991.86,-56282.81,-131991.86,,,dqn,retraso
vecinos,42,5,47,5.00e-04,6.4,1844,35.23,79.8,17.5,69,-14818.2,-19.421,-46.606,650,456,190,2.838,1742,286.3,99.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.8733,0.00766,-1.1079,2249,3248,,,-151468.89,-74155.02,-151468.89,,,dqn,retraso
vecinos,42,6,48,5.00e-04,5.8,1844,17.19,40.45,9.1,33,-7173.4,-9.733,-24.078,615,408,205,1.613,1792,225.8,77.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.8417,0.00549,-1.4756,2864,3863,,,-74041.27,-36028.23,-74041.27,,,dqn,retraso
vecinos,42,7,49,5.00e-04,5.8,1844,16.63,42.74,8.8,46,-6959.5,-9.43,-25.24,620,418,199,1.695,1805,228.4,78.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.81,0.00948,-1.8315,3484,4483,,,-78245.26,-34969.5,-78245.26,,,dqn,retraso
vecinos,42,8,50,5.00e-04,5.4,1844,7.49,21.19,4.25,21,-3311.3,-4.499,-12.082,619,421,196,0.751,1811,191.3,65.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.7783,0.0099,-1.8647,4103,5102,,,-37393.42,-16729.25,-37393.42,,,dqn,retraso
vecinos,42,9,51,5.00e-04,5.2,1844,10.02,25.96,5.49,29,-4321.2,-5.839,-14.867,622,419,199,0.953,1809,200.2,68.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.7467,0.00986,-1.9866,4725,5724,,,-46236.96,-21789.22,-46236.96,,,dqn,retraso
vecinos,42,10,52,5.00e-04,5.4,1844,7.99,22.14,4.45,25,-3513.5,-4.716,-12.367,628,430,196,0.766,1794,193.8,66.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.715,0.01139,-1.9633,5353,6352,15.91,5.27,-38831.74,-17758.94,-38831.74,15.91,15.91,dqn,retraso
