variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
vecinos,42,1,43,1.00e-03,6.7,1810,46.09,110.42,20.82,55,-18294.0,-11.237,-30.109,1354,889,462,4.444,1683,360.7,125.8,0,0.0,0,0,30,38,272.0,189.3,246.1,7.612,0.161,0,0.0,-0.0054,3.8102,0.6821,0.0075,0.0762,,
vecinos,42,2,44,9.95e-04,5.9,1810,28.84,68.76,13.74,41,-11424.5,-7.314,-19.241,1305,867,433,2.825,1729,299.9,103.6,0,0.0,0,0,24,34,194.19,111.35,142.43,4.636,0.195,0,0.0,-0.0191,0.7599,0.6568,0.0116,0.2117,,
vecinos,42,3,45,9.90e-04,5.8,1810,22.51,55.84,10.65,45,-8915.1,-5.628,-15.214,1329,891,432,2.293,1714,277.0,95.7,0,0.0,0,0,20,35,168.24,85.47,110.49,3.578,0.333,0,0.0,-0.014,0.513,0.6274,0.0083,0.1414,,
vecinos,42,4,46,9.85e-04,7.0,1810,19.34,48.97,9.49,41,-7657.1,-4.985,-13.584,1298,889,402,2.03,1727,265.7,91.7,0,0.0,0,0,27,36,153.14,70.32,88.82,3.019,0.396,0,0.0,-0.0216,0.4776,0.5868,0.0091,0.1547,,
vecinos,42,1,43,1.00e-03,7.9,1810,46.09,110.42,20.82,55,-18294.0,-11.237,-30.109,1354,889,462,4.444,1683,360.7,125.8,0,0.0,0,0,30,38,272.0,189.3,246.1,7.612,0.161,0,0.0,-0.0054,3.8102,0.6821,0.0075,0.0762,,
vecinos,42,2,44,9.95e-04,6.0,1810,28.84,68.76,13.74,41,-11424.5,-7.314,-19.241,1305,867,433,2.825,1729,299.9,103.6,0,0.0,0,0,24,34,194.19,111.35,142.43,4.636,0.195,0,0.0,-0.0191,0.7599,0.6568,0.0116,0.2117,,
vecinos,42,3,45,9.90e-04,6.0,1810,22.51,55.84,10.65,45,-8915.1,-5.628,-15.214,1329,891,432,2.293,1714,277.0,95.7,0,0.0,0,0,20,35,168.24,85.47,110.49,3.578,0.333,0,0.0,-0.014,0.513,0.6274,0.0083,0.1414,,
vecinos,42,4,46,9.85e-04,5.9,1810,19.34,48.97,9.49,41,-7657.1,-4.985,-13.584,1298,889,402,2.03,1727,265.7,91.7,0,0.0,0,0,27,36,153.14,70.32,88.82,3.019,0.396,0,0.0,-0.0216,0.4776,0.5868,0.0091,0.1547,,
vecinos,42,5,47,9.80e-04,5.6,1810,10.1,26.5,5.34,21,-4049.3,-2.725,-7.427,1247,840,403,1.057,1755,231.1,79.5,0,0.0,0,0,10,19,114.01,31.51,34.89,1.334,0.625,0,0.0,-0.0119,0.1925,0.5321,0.0105,0.0986,,
vecinos,42,6,48,9.75e-04,5.6,1810,10.47,27.06,5.53,17,-4227.2,-2.849,-7.605,1251,851,394,1.039,1764,231.4,79.6,0,0.0,0,0,12,19,113.14,30.31,34.5,1.249,0.661,0,0.0,-0.0059,0.1192,0.5095,0.0075,0.0967,,
