variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,42,1,43,3.00e-04,3.5,1844,33.23,89.96,16.26,54,-13583.1,-17.504,-17.287,644,421,222,3.569,1739,299.6,103.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0083,174.3376,0.6914,-0.0008,0.0,,
local,42,2,44,2.95e-04,3.2,1844,20.66,55.44,10.48,36,-8460.0,-11.102,-10.94,630,408,221,2.336,1763,248.4,85.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0127,66.3446,0.6861,-0.0,0.0,,
local,42,3,45,2.90e-04,3.3,1844,30.36,82.62,15.03,50,-12370.3,-16.086,-15.836,635,408,225,3.301,1742,289.1,99.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0013,126.6403,0.6833,0.0003,0.0,,
local,42,4,46,2.85e-04,3.2,1844,25.16,70.94,12.47,49,-10248.2,-13.258,-13.085,633,397,235,2.883,1758,271.1,93.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.004,84.5714,0.6764,-0.0003,0.0,,
local,42,5,47,2.80e-04,3.2,1844,26.44,76.21,13.52,46,-10750.5,-14.372,-14.157,611,381,229,3.113,1781,277.4,95.4,0,0.0,0,0,0,0,,,,,,0,0.0,0.0006,97.2578,0.6701,-0.0002,0.0,,
local,42,6,48,2.75e-04,3.2,1844,23.79,71.27,11.93,38,-9631.1,-12.573,-12.415,622,378,242,3.004,1762,272.0,93.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0084,57.8143,0.6657,-0.0004,0.0,,
local,42,7,49,2.70e-04,3.5,1844,33.77,104.63,16.92,68,-13741.4,-18.128,-17.912,616,377,237,4.002,1749,317.1,109.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0068,135.9427,0.6562,0.0001,0.0,,
local,42,8,50,2.65e-04,3.4,1844,26.5,86.07,13.15,44,-10668.2,-13.837,-13.64,621,368,251,3.631,1754,293.7,100.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.008,66.0631,0.6226,-0.0005,0.0015,,
local,42,9,51,2.60e-04,3.5,1844,27.17,89.17,13.12,35,-10937.5,-13.827,-13.571,633,365,266,3.828,1708,294.1,100.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0009,58.3719,0.5843,-0.0003,0.0,,
local,42,10,52,2.55e-04,3.6,1844,28.67,106.35,14.15,43,-11535.4,-14.923,-14.667,615,350,264,4.331,1732,321.0,109.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,61.3883,0.5753,-0.0004,0.0,134.22,29.24
local,42,11,53,2.50e-04,3.5,1844,26.17,86.01,12.59,39,-10503.9,-13.212,-12.998,634,361,271,3.699,1700,290.5,99.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.0027,49.2727,0.5679,0.0001,0.0,,
local,42,12,54,2.45e-04,3.8,1844,32.96,122.29,15.85,42,-13212.1,-16.724,-16.498,631,364,266,4.836,1721,340.5,116.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0093,80.7644,0.5437,0.0021,0.0041,,
local,42,13,55,2.40e-04,3.6,1844,28.2,102.52,13.47,40,-11303.7,-14.147,-13.957,631,349,281,4.236,1719,313.2,107.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0059,47.7364,0.4831,0.0001,0.0,,
local,42,14,56,2.35e-04,3.9,1844,32.1,124.72,15.15,39,-12776.9,-15.872,-15.658,634,345,287,4.991,1698,341.2,117.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0052,63.7895,0.439,-0.0001,0.0062,,
local,42,15,57,2.30e-04,3.8,1844,28.85,116.16,13.82,31,-11515.4,-14.467,-14.258,622,329,291,4.775,1715,330.4,113.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0046,45.9363,0.3859,-0.0006,0.0,,
local,42,16,58,2.25e-04,3.8,1844,31.01,122.31,14.49,39,-12344.7,-15.165,-14.971,637,340,296,4.95,1695,338.0,115.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0052,50.876,0.3548,0.0003,0.0035,,
local,42,17,59,2.20e-04,3.7,1844,29.87,119.17,14.21,36,-11911.1,-14.87,-14.532,626,331,293,4.855,1697,333.2,114.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0018,46.4819,0.3002,0.0017,0.0024,,
