variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,42,1,43,3.00e-04,3.6,1844,33.23,89.96,16.26,54,-13583.1,-17.504,-17.287,644,421,222,3.569,1739,299.6,103.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0089,174.3376,0.6906,0.0016,0.0,,
local,42,2,44,2.95e-04,3.4,1844,22.39,60.41,11.12,41,-9175.3,-11.839,-11.583,641,414,225,2.477,1738,254.8,87.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.0029,78.2965,0.6813,0.0002,0.0,,
local,42,3,45,2.90e-04,3.4,1844,25.16,66.64,12.54,50,-10327.0,-13.429,-13.221,632,400,230,2.767,1749,265.3,91.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0058,95.5027,0.6713,0.0013,0.0,,
local,42,4,46,2.85e-04,3.8,1844,33.61,103.33,15.94,49,-13502.2,-16.878,-16.788,648,391,255,4.3,1707,315.0,108.4,0,0.0,0,0,0,0,,,,,,0,0.0,0.0026,144.2701,0.6157,0.0032,0.03,,
local,42,5,47,2.80e-04,3.8,1844,35.02,106.16,16.43,51,-14066.6,-17.409,-17.262,651,386,263,4.427,1713,320.7,110.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0104,134.9283,0.562,0.0031,0.0497,,
local,42,6,48,2.75e-04,3.4,1844,28.02,102.26,13.33,42,-11258.2,-14.038,-13.725,635,353,280,4.207,1690,312.8,107.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0028,70.0669,0.5075,0.0007,0.0053,,
local,42,7,49,2.70e-04,3.9,1844,30.63,112.45,14.53,38,-12262.2,-15.29,-15.095,634,351,281,4.541,1717,326.4,111.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0017,82.1101,0.4171,0.002,0.0313,,
local,42,8,50,2.65e-04,3.9,1844,29.33,118.56,13.82,38,-11693.3,-14.454,-14.19,632,335,296,4.675,1693,331.1,113.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0093,64.6942,0.408,0.0,0.0,,
local,42,9,51,2.60e-04,3.9,1844,30.06,122.15,14.07,34,-11987.3,-14.726,-14.454,636,337,298,4.931,1689,338.3,115.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0002,61.1618,0.3804,0.0006,0.0063,,
local,42,10,52,2.55e-04,3.8,1844,26.49,108.67,12.6,30,-10604.9,-13.19,-12.853,627,330,296,4.495,1697,319.7,109.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0025,44.0345,0.3671,0.0004,0.0051,134.22,29.24
local,42,11,53,2.50e-04,3.9,1844,28.79,111.55,13.58,32,-11457.6,-14.18,-14.015,634,340,292,4.605,1703,324.7,111.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0058,51.5973,0.3822,0.0003,0.0007,,
local,42,12,54,2.45e-04,3.9,1844,26.45,105.87,12.77,35,-10614.7,-13.386,-13.073,621,331,288,4.355,1715,316.8,108.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0002,40.8111,0.3352,0.0004,0.0,,
local,42,13,55,2.40e-04,4.0,1844,28.22,118.02,13.37,33,-11267.6,-13.997,-13.673,628,330,297,4.725,1703,332.4,113.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0041,41.6727,0.3284,0.0001,0.0,,
local,42,14,56,2.35e-04,3.9,1844,29.23,122.35,13.79,37,-11646.1,-14.413,-14.088,631,333,296,4.875,1684,337.9,115.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0052,44.1013,0.3251,0.0002,0.0016,,
local,42,15,57,2.30e-04,3.9,1844,30.28,120.87,14.11,37,-12050.5,-14.75,-14.559,637,334,302,4.965,1680,337.0,115.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.004,47.5369,0.2575,0.0017,0.0277,,
local,42,16,58,2.25e-04,3.9,1844,27.21,116.46,12.82,30,-10810.3,-13.33,-13.148,631,327,302,4.752,1687,330.3,112.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.002,32.2232,0.2321,0.0,0.0,,
local,42,17,59,2.20e-04,3.9,1844,28.16,118.11,13.25,31,-11218.7,-13.833,-13.514,631,327,302,4.784,1689,332.2,113.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.003,33.8277,0.2362,0.0002,0.0038,,
local,42,18,60,2.15e-04,4.0,1844,25.58,110.14,12.12,30,-10218.7,-12.647,-12.412,628,325,302,4.443,1693,321.1,109.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0028,25.2503,0.2529,0.0,0.0,,
local,42,19,61,2.10e-04,3.9,1844,26.66,113.46,12.71,32,-10595.0,-13.211,-12.918,625,326,297,4.528,1703,326.0,111.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0054,26.6323,0.2589,0.0002,0.0022,,
local,42,20,62,2.05e-04,3.7,1844,24.65,99.27,11.82,30,-9852.5,-12.316,-11.953,625,329,294,4.107,1702,307.2,104.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0063,21.8804,0.2875,0.0004,0.0062,134.22,29.24
local,42,21,63,2.00e-04,3.9,1844,27.18,114.92,12.93,31,-10806.8,-13.458,-13.264,626,327,297,4.61,1706,328.7,112.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0033,27.6331,0.3079,0.0005,0.0057,,
local,42,22,64,1.95e-04,3.6,1844,20.84,82.37,9.94,29,-8433.2,-10.411,-10.109,634,339,294,3.323,1695,281.0,96.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0015,12.8009,0.3263,0.0009,0.0131,,
local,42,23,65,1.90e-04,3.7,1844,23.78,94.48,11.26,31,-9550.8,-11.777,-11.486,635,338,295,3.9,1684,299.9,102.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.003,16.4821,0.3188,0.0003,0.0018,,
local,42,24,66,1.85e-04,3.7,1844,24.31,96.03,11.45,28,-9693.8,-11.894,-11.69,637,337,298,3.997,1688,302.2,103.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.001,14.8875,0.308,0.0009,0.0136,,
local,42,25,67,1.80e-04,3.5,1844,19.75,77.05,9.44,33,-7990.8,-9.865,-9.502,638,347,289,3.191,1690,272.6,93.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0079,17.7755,0.317,0.0009,0.0077,,
