variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,42,1,43,3.00e-04,3.7,1844,33.23,89.96,16.26,54,-13583.1,-17.504,-52.161,644,421,222,3.569,1739,299.6,103.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0065,62.7885,0.6917,0.001,0.0,,
local,42,2,44,2.95e-04,3.5,1844,31.27,77.5,15.46,51,-12865.2,-16.73,-44.755,648,442,204,2.832,1746,279.6,96.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0053,49.0824,0.6783,0.0025,0.0,,
local,42,3,45,2.90e-04,3.6,1844,40.93,86.78,20.12,78,-17162.9,-22.348,-50.254,660,475,181,2.901,1745,296.9,103.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0048,50.0159,0.638,0.0026,0.0,,
local,42,4,46,2.85e-04,3.3,1844,30.25,58.49,15.69,56,-12948.3,-17.641,-34.641,647,494,146,1.81,1796,255.6,88.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0005,20.3146,0.6188,0.0001,0.0,,
local,42,5,47,2.80e-04,3.5,1844,41.47,83.21,20.79,86,-17845.2,-23.699,-48.953,659,496,158,2.598,1756,292.8,101.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.002,40.7044,0.6544,0.0033,0.0425,,
local,42,6,48,2.75e-04,3.1,1844,17.31,38.67,8.87,44,-7397.8,-9.721,-21.822,653,470,181,1.371,1789,221.8,76.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0064,3.698,0.663,0.0009,0.0,,
local,42,7,49,2.70e-04,3.1,1844,19.74,43.0,10.3,42,-8391.6,-11.309,-24.97,641,467,171,1.499,1780,229.3,79.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0059,4.5875,0.6133,0.0044,0.0592,,
local,42,8,50,2.65e-04,3.3,1844,27.48,52.99,13.88,60,-11777.4,-15.579,-30.407,667,514,149,1.679,1748,245.7,85.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0003,7.3408,0.5879,0.0001,0.0,,
local,42,9,51,2.60e-04,3.5,1844,39.12,73.88,19.46,88,-16974.8,-22.335,-42.997,670,510,151,2.193,1733,277.5,96.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0036,23.9843,0.6002,0.0005,0.0,,
local,42,10,52,2.55e-04,3.3,1844,22.86,48.01,11.88,53,-9795.0,-13.237,-27.989,647,485,157,1.623,1796,237.9,82.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0042,4.9564,0.6138,0.0005,0.0,36.43,21.53
local,42,11,53,2.50e-04,3.3,1844,21.37,43.99,10.99,48,-9182.2,-12.243,-24.963,662,506,149,1.427,1793,231.4,79.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0019,3.712,0.5486,0.0041,0.0703,,
local,42,12,54,2.45e-04,3.4,1844,38.15,69.06,19.32,79,-16827.4,-22.527,-40.528,673,536,125,1.967,1799,271.0,94.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,14.8816,0.4871,0.0024,0.0405,,
local,42,13,55,2.40e-04,3.2,1844,28.25,48.46,14.54,69,-12617.0,-17.027,-28.115,679,558,106,1.182,1805,239.0,83.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0048,5.8217,0.4508,0.0004,0.0009,,
local,42,14,56,2.35e-04,3.2,1844,20.86,38.36,10.98,52,-9313.2,-12.688,-22.112,668,543,111,0.974,1806,222.1,76.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0035,2.8651,0.501,0.0009,0.0,,
local,42,15,57,2.30e-04,3.5,1844,41.59,71.66,20.87,84,-18430.5,-24.509,-41.941,680,543,122,1.876,1768,276.4,96.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0011,16.68,0.538,0.0005,0.0007,,
local,42,16,58,2.25e-04,3.7,1844,45.62,82.85,21.98,86,-19980.4,-25.55,-46.676,701,552,136,2.319,1736,291.3,102.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0017,23.3279,0.5479,0.0004,0.0,,
local,42,17,59,2.20e-04,3.4,1844,33.32,59.49,17.06,68,-14763.2,-19.923,-35.112,668,532,123,1.648,1807,256.7,89.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0004,7.8631,0.4975,0.001,0.0025,,
local,42,18,60,2.15e-04,3.4,1844,29.4,53.11,15.12,85,-12976.2,-17.512,-31.1,667,534,125,1.396,1804,244.5,85.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0025,14.3944,0.4741,0.0001,0.0,,
local,42,19,61,2.10e-04,3.7,1844,43.1,75.81,22.12,85,-19100.1,-25.987,-45.383,664,528,120,1.977,1806,280.5,98.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0036,24.891,0.5002,0.0003,0.0,,
local,42,20,62,2.05e-04,3.5,1844,45.26,78.11,22.69,84,-20059.2,-26.71,-46.375,673,529,132,2.105,1787,285.0,99.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0029,22.8132,0.5383,0.0016,0.0292,36.43,21.53
local,42,21,63,2.00e-04,3.2,1844,22.29,43.15,11.56,55,-9714.1,-13.074,-24.733,663,522,134,1.253,1787,229.2,79.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0004,5.0427,0.5698,0.0001,0.0,,
local,42,22,64,1.95e-04,3.5,1844,41.27,78.36,21.19,79,-17849.1,-24.285,-46.855,653,508,139,2.304,1792,282.4,98.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0006,28.3884,0.5509,0.001,0.0,,
local,42,23,65,1.90e-04,3.5,1844,48.74,85.82,24.38,89,-21613.2,-28.741,-50.824,675,535,129,2.198,1800,294.0,103.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0033,38.3393,0.4894,0.0014,0.0,,
local,42,24,66,1.85e-04,3.1,1844,20.07,39.24,10.52,57,-8824.9,-11.958,-22.377,667,531,120,1.085,1797,222.3,76.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.002,5.0255,0.4695,0.0002,0.0,,
local,42,25,67,1.80e-04,3.2,1844,34.96,59.41,17.63,79,-15623.0,-20.775,-34.85,681,544,119,1.492,1768,254.8,89.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0062,10.358,0.4615,0.0001,0.0,,
local,42,26,68,1.75e-04,2.9,1844,18.63,35.35,9.69,45,-8381.9,-11.221,-20.086,678,541,116,0.951,1802,216.2,74.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0005,2.8875,0.5008,0.0003,0.0,,
local,42,27,69,1.70e-04,3.2,1844,26.52,49.77,13.78,78,-11584.2,-15.739,-29.047,660,519,129,1.395,1803,240.2,83.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.004,7.9256,0.5093,0.0001,0.0,,
local,42,28,70,1.65e-04,3.2,1844,23.78,42.99,12.39,68,-10659.8,-14.464,-24.924,672,543,110,1.089,1797,229.3,79.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0029,3.9109,0.4911,0.0003,0.0,,
local,42,29,71,1.60e-04,3.2,1844,24.05,44.72,12.48,44,-10504.0,-14.195,-25.893,662,522,132,1.264,1785,232.2,80.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0065,3.0282,0.4895,0.0002,0.0,,
local,42,30,72,1.55e-04,3.2,1844,19.5,36.5,10.06,52,-8661.3,-11.533,-20.552,681,545,119,0.977,1777,217.9,75.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0055,1.7846,0.4932,0.0002,0.0,36.43,21.53
local,42,31,73,1.50e-04,3.3,1844,23.79,42.77,12.3,51,-10516.6,-14.154,-24.468,677,546,112,1.108,1802,229.1,79.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0027,2.2174,0.4701,0.0003,0.0,,
local,42,32,74,1.45e-04,3.4,1844,31.77,55.15,16.24,75,-14238.5,-19.138,-32.193,680,553,107,1.348,1774,248.5,86.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0011,11.0516,0.461,0.0001,0.0,,
local,42,33,75,1.40e-04,3.4,1844,34.66,60.92,17.8,84,-15391.1,-20.855,-36.003,672,542,112,1.533,1775,256.2,89.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.0041,16.7529,0.4731,0.0001,0.0,,
local,42,34,76,1.35e-04,3.4,1844,30.03,52.11,14.7,69,-13392.1,-17.214,-29.089,704,560,125,1.293,1750,242.8,84.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0057,8.549,0.4952,0.0007,0.0097,,
local,42,35,77,1.30e-04,3.3,1844,22.11,41.27,11.12,51,-9778.7,-12.766,-23.099,688,544,131,1.153,1795,225.4,78.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0017,2.51,0.5309,0.0003,0.0,,
local,42,36,78,1.25e-04,3.3,1844,22.72,42.16,11.57,60,-9970.1,-13.188,-24.025,674,523,138,1.195,1776,227.8,78.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0007,2.4954,0.5545,0.0006,0.0,,
local,42,37,79,1.20e-04,3.3,1844,22.59,45.56,11.69,83,-9838.2,-13.223,-26.136,663,518,137,1.331,1797,231.6,80.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0021,7.5138,0.5888,0.0009,0.0008,,
local,42,38,80,1.15e-04,3.2,1844,17.27,35.58,8.93,49,-7483.1,-9.925,-19.984,665,508,150,1.093,1786,217.0,74.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,1.728,0.6138,0.0003,0.0,,
local,42,39,81,1.10e-04,3.2,1844,14.68,31.57,7.83,41,-6361.8,-8.62,-18.093,643,477,160,1.021,1781,210.7,72.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.002,1.0153,0.6031,0.0007,0.0,,
local,42,40,82,1.05e-04,3.3,1844,26.0,49.6,13.06,65,-11159.6,-14.645,-28.0,675,526,147,1.514,1766,240.3,83.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,4.4056,0.5716,0.0005,0.0,36.43,21.53
local,42,41,83,1.00e-04,3.1,1844,17.51,34.59,9.28,37,-7657.6,-10.418,-19.861,654,515,136,1.013,1794,216.1,74.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0035,1.0616,0.5407,0.0006,0.0,,
local,42,42,84,9.50e-05,3.1,1844,22.4,41.69,11.64,72,-9888.4,-13.363,-23.963,668,534,123,1.125,1802,226.9,78.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.0048,3.4896,0.5144,0.0001,0.0,,
local,42,43,85,9.00e-05,3.1,1844,14.95,29.93,7.95,47,-6694.4,-9.047,-16.83,667,536,123,0.8,1806,206.6,71.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0029,1.3087,0.5318,0.0006,0.0,,
