variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,43,1,44,1.00e-03,4.3,1844,39.64,97.98,19.64,60,-16256.7,-21.306,-57.721,639,430,207,3.702,1745,313.6,108.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0055,27.9057,0.6792,0.0093,0.0527,,
local,43,2,45,9.83e-04,4.2,1844,40.14,87.67,19.99,86,-17153.3,-22.6,-52.158,647,455,188,3.12,1760,299.4,103.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0098,13.9649,0.6766,0.0049,0.0661,,
local,43,3,46,9.67e-04,3.8,1844,21.16,43.14,10.86,72,-9191.4,-12.223,-24.958,656,493,161,1.352,1768,228.8,79.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0088,2.6703,0.6545,0.0043,0.0455,,
local,43,4,47,9.50e-04,3.8,1844,21.03,46.93,10.93,47,-8849.4,-11.91,-27.341,641,464,171,1.668,1807,234.5,80.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0015,2.4903,0.6012,0.0098,0.12,,
local,43,5,48,9.33e-04,3.9,1844,20.29,42.43,10.46,44,-8630.6,-11.508,-24.136,652,480,164,1.434,1789,228.3,78.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0235,2.0846,0.5751,0.0079,0.1053,36.43,21.53
local,43,6,49,9.17e-04,3.4,1844,9.26,22.42,5.14,28,-4143.7,-5.63,-12.427,649,495,146,0.674,1799,193.1,66.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0293,0.6936,0.5225,0.0059,0.0891,,
local,43,7,50,9.00e-04,3.3,1844,7.14,18.96,4.07,20,-3307.6,-4.482,-10.32,656,505,137,0.518,1801,185.7,63.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0224,0.1903,0.5322,0.012,0.1281,,
local,43,8,51,8.83e-04,3.5,1844,7.52,19.96,4.27,21,-3436.3,-4.675,-10.911,648,491,146,0.568,1808,188.0,64.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0204,0.1816,0.4764,0.0071,0.1308,,
local,43,9,52,8.67e-04,3.5,1844,5.92,17.29,3.46,18,-2795.6,-3.793,-9.332,652,495,143,0.466,1805,182.1,62.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.0019,0.1001,0.4771,0.0066,0.0854,,
local,43,10,53,8.50e-04,3.5,1844,5.44,16.65,3.22,16,-2583.2,-3.51,-9.03,644,477,155,0.465,1809,181.3,62.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0195,0.085,0.4785,0.0056,0.0838,16.9,6.45
local,43,11,54,8.33e-04,3.5,1844,5.08,15.97,3.05,13,-2406.4,-3.27,-8.758,640,473,161,0.463,1809,179.6,61.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0051,0.0762,0.4646,0.0047,0.0612,,
local,43,12,55,8.17e-04,3.4,1844,5.32,16.67,3.17,15,-2511.4,-3.417,-8.995,640,479,160,0.477,1808,181.6,62.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0065,0.072,0.4418,0.0069,0.0808,,
local,43,13,56,8.00e-04,3.4,1844,5.41,16.77,3.21,17,-2533.5,-3.452,-9.09,641,479,157,0.489,1806,182.0,62.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0136,0.0757,0.3903,0.005,0.081,,
local,43,14,57,7.83e-04,3.5,1844,5.37,16.31,3.2,14,-2561.9,-3.49,-8.838,647,496,147,0.451,1805,180.2,61.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0207,0.0716,0.424,0.0145,0.1449,,
local,43,15,58,7.67e-04,3.3,1844,4.75,15.71,2.89,13,-2262.2,-3.082,-8.488,641,482,156,0.428,1806,179.3,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0009,0.0673,0.4079,0.0051,0.0625,15.38,4.87
local,43,16,59,7.50e-04,3.5,1844,4.75,15.79,2.87,12,-2247.6,-3.05,-8.545,636,461,171,0.47,1809,179.7,61.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0018,0.0663,0.3785,0.0039,0.0534,,
local,43,17,60,7.33e-04,3.3,1844,4.51,15.49,2.76,12,-2160.9,-2.936,-8.354,639,475,163,0.451,1806,178.6,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0013,0.0579,0.3745,0.0022,0.0293,,
local,43,18,61,7.17e-04,3.3,1844,4.65,15.64,2.83,13,-2214.9,-3.013,-8.375,644,489,153,0.439,1808,179.2,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0034,0.0685,0.3704,0.0043,0.0649,,
local,43,19,62,7.00e-04,3.3,1844,4.42,15.27,2.72,11,-2121.2,-2.886,-8.196,639,477,161,0.438,1808,178.3,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0004,0.0558,0.3536,0.0028,0.0385,,
local,43,20,63,6.83e-04,3.3,1844,4.61,15.85,2.81,13,-2179.8,-2.966,-8.453,637,470,166,0.457,1812,179.9,61.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0013,0.0594,0.3452,0.0033,0.0529,15.38,4.81
local,43,21,64,6.67e-04,3.4,1844,4.51,15.34,2.76,12,-2168.7,-2.951,-8.21,642,483,157,0.433,1805,178.5,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0174,0.057,0.3576,0.0054,0.0754,,
local,43,22,65,6.50e-04,3.4,1844,4.36,15.47,2.68,11,-2089.1,-2.838,-8.254,636,465,169,0.45,1809,179.2,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0025,0.0529,0.3199,0.0029,0.0448,,
local,43,23,66,6.33e-04,3.4,1844,4.57,15.65,2.79,14,-2172.5,-2.952,-8.348,638,471,165,0.446,1811,179.2,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,0.057,0.325,0.0023,0.034,,
local,43,24,67,6.17e-04,3.3,1844,4.4,15.37,2.71,11,-2110.7,-2.872,-8.269,638,473,163,0.444,1806,178.7,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0012,0.0582,0.2987,0.0028,0.0425,,
local,43,25,68,6.00e-04,3.3,1844,4.54,15.39,2.78,13,-2170.3,-2.949,-8.221,640,477,162,0.439,1804,179.0,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0014,0.0563,0.3078,0.0018,0.0238,15.31,4.71
local,43,26,69,5.83e-04,3.3,1844,4.43,15.35,2.73,10,-2135.1,-2.909,-8.132,645,494,150,0.406,1806,178.3,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0095,0.0571,0.3407,0.0088,0.1082,,
local,43,27,70,5.67e-04,3.3,1844,4.24,15.21,2.63,11,-2028.4,-2.764,-8.11,635,466,168,0.448,1807,179.0,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0009,0.0559,0.2969,0.0022,0.0326,,
local,43,28,71,5.50e-04,3.2,1844,4.25,15.19,2.63,11,-2052.7,-2.785,-8.082,640,475,163,0.441,1808,178.2,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0045,0.0508,0.2814,0.0034,0.0477,,
local,43,29,72,5.33e-04,3.3,1844,4.06,15.08,2.53,12,-1939.9,-2.632,-7.949,638,469,167,0.441,1807,178.7,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.001,0.0517,0.2682,0.0024,0.0377,,
local,43,30,73,5.17e-04,3.5,1844,4.18,15.1,2.6,12,-2010.1,-2.742,-8.05,638,475,161,0.422,1808,178.3,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,0.0572,0.2767,0.0017,0.0246,14.99,4.32
local,43,31,74,5.00e-04,3.2,1844,4.05,14.76,2.54,11,-1977.6,-2.694,-7.837,639,476,161,0.417,1809,177.5,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0005,0.0511,0.2557,0.0019,0.0263,,
local,43,32,75,4.83e-04,3.7,1844,4.41,15.02,2.71,11,-2127.5,-2.891,-8.104,641,478,161,0.433,1809,177.9,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0074,0.052,0.2533,0.0038,0.0528,,
local,43,33,76,4.67e-04,3.3,1844,4.29,15.35,2.65,13,-2062.4,-2.81,-8.136,639,478,160,0.42,1809,178.8,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0039,0.0512,0.285,0.0054,0.0767,,
local,43,34,77,4.50e-04,3.3,1844,4.52,15.42,2.76,10,-2150.1,-2.917,-8.249,640,475,164,0.448,1807,178.7,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0015,0.0445,0.3028,0.0045,0.0669,,
local,43,35,78,4.33e-04,3.3,1844,3.92,14.79,2.47,12,-1868.9,-2.543,-7.838,633,460,172,0.444,1808,178.4,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0003,0.0483,0.2702,0.0013,0.0159,14.99,4.03
local,43,36,79,4.17e-04,3.3,1844,4.23,15.39,2.62,11,-2017.9,-2.738,-8.248,630,450,179,0.464,1808,179.5,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0044,0.0529,0.2671,0.0025,0.037,,
local,43,37,80,4.00e-04,3.4,1844,3.8,14.67,2.4,10,-1848.9,-2.512,-7.817,632,455,175,0.432,1812,177.8,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0021,0.0409,0.284,0.003,0.0476,,
local,43,38,81,3.83e-04,3.4,1844,4.07,14.99,2.54,12,-1953.0,-2.654,-8.044,632,456,175,0.448,1806,178.4,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,0.0529,0.2689,0.0032,0.0432,,
local,43,39,82,3.67e-04,3.3,1844,4.16,15.46,2.59,10,-1998.5,-2.719,-8.22,632,456,174,0.45,1807,179.4,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0019,0.0506,0.2513,0.0031,0.0445,,
local,43,40,83,3.50e-04,3.4,1844,4.06,14.88,2.53,12,-1954.3,-2.655,-8.015,634,459,173,0.45,1805,178.1,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0028,0.0488,0.274,0.0034,0.0541,14.82,4.0
local,43,41,84,3.33e-04,3.5,1844,4.01,15.13,2.5,11,-1922.5,-2.605,-8.043,634,457,175,0.443,1805,179.0,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0022,0.0472,0.2284,0.0035,0.0422,,
local,43,42,85,3.17e-04,3.4,1844,4.19,15.12,2.61,12,-1992.5,-2.718,-8.103,635,467,166,0.447,1807,178.9,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0013,0.0549,0.2362,0.0015,0.0199,,
local,43,43,86,3.00e-04,3.4,1844,4.0,14.79,2.51,10,-1934.0,-2.628,-7.873,640,477,161,0.411,1808,177.6,60.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0024,0.0471,0.2541,0.0056,0.0714,,
local,43,44,87,2.83e-04,3.5,1844,4.27,15.33,2.64,11,-2038.8,-2.774,-8.147,636,469,166,0.443,1809,178.7,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0032,0.0569,0.2351,0.0023,0.0336,,
local,43,45,88,2.67e-04,3.4,1844,4.01,14.68,2.51,11,-1940.6,-2.633,-7.799,637,466,169,0.431,1808,177.6,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0014,0.0507,0.2274,0.0015,0.0199,15.16,4.23
local,43,46,89,2.50e-04,3.3,1844,4.06,14.96,2.53,11,-1958.7,-2.661,-7.911,640,475,163,0.433,1805,177.8,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0021,0.0445,0.2286,0.0024,0.0358,,
local,43,47,90,2.33e-04,3.3,1844,4.0,14.78,2.5,11,-1928.3,-2.62,-7.899,636,467,168,0.425,1808,177.5,60.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0029,0.0438,0.2254,0.0022,0.0306,,
local,43,48,91,2.17e-04,3.3,1844,4.15,14.82,2.58,11,-1973.6,-2.681,-7.955,638,471,165,0.437,1808,177.6,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0004,0.0509,0.2374,0.0012,0.0122,,
local,43,49,92,2.00e-04,3.3,1844,4.08,15.06,2.55,11,-1972.0,-2.683,-7.995,635,465,168,0.445,1809,178.7,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0066,0.0507,0.2206,0.0049,0.0698,,
local,43,50,93,1.83e-04,3.3,1844,3.94,14.75,2.48,12,-1920.3,-2.613,-7.857,635,465,168,0.429,1808,177.8,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0031,0.0526,0.2329,0.0018,0.0269,15.16,4.3
local,43,51,94,1.67e-04,3.3,1844,4.14,15.04,2.59,13,-1979.0,-2.7,-8.029,636,471,164,0.442,1807,178.4,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0017,0.0519,0.2282,0.0011,0.008,,
local,43,52,95,1.50e-04,3.4,1844,4.33,15.38,2.67,11,-2070.1,-2.816,-8.191,636,467,167,0.447,1804,179.3,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0004,0.044,0.243,0.0007,0.0093,,
local,43,53,96,1.33e-04,3.4,1844,4.3,15.18,2.65,11,-2057.5,-2.792,-8.161,636,465,169,0.456,1806,178.6,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0018,0.0504,0.222,0.002,0.034,,
local,43,54,97,1.17e-04,3.3,1844,4.2,15.05,2.61,11,-2017.6,-2.741,-7.987,640,478,161,0.437,1808,178.4,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0009,0.0471,0.2157,0.0009,0.0103,,
local,43,55,98,1.00e-04,3.6,1844,4.25,15.22,2.63,11,-2047.7,-2.786,-8.063,640,477,161,0.432,1803,178.6,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0018,0.044,0.2388,0.0022,0.0333,14.81,4.02
local,43,56,99,8.33e-05,3.3,1844,4.2,15.01,2.6,13,-1995.1,-2.711,-7.972,637,470,166,0.45,1812,178.0,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,0.0439,0.2318,0.0003,0.0008,,
local,43,57,100,6.67e-05,3.4,1844,4.17,15.14,2.59,11,-2007.4,-2.727,-7.991,638,471,165,0.429,1806,178.5,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0016,0.0481,0.2218,0.0012,0.0163,,
local,43,58,101,5.00e-05,3.2,1844,4.23,14.9,2.61,10,-2043.2,-2.772,-7.922,641,477,162,0.432,1806,177.6,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0293,0.0606,0.2288,0.0008,0.007,,
local,43,59,102,3.33e-05,3.2,1844,4.27,15.38,2.64,12,-2059.8,-2.803,-8.139,640,478,160,0.431,1806,179.1,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0011,0.047,0.2371,0.0012,0.0144,,
local,43,60,103,1.67e-05,3.3,1844,4.03,14.85,2.53,12,-1933.0,-2.634,-7.877,636,469,166,0.434,1807,178.0,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0022,0.0484,0.2152,0.0005,0.0057,14.75,3.97
