variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,44,1,45,3.00e-04,4.1,1844,37.52,94.07,17.91,79,-15497.5,-19.543,-53.819,659,433,224,3.649,1702,304.6,105.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0008,19.0906,0.6926,0.0003,0.0,,
local,44,2,46,2.95e-04,3.9,1844,29.66,78.03,14.7,51,-12165.8,-15.841,-45.239,642,429,212,3.098,1730,283.7,97.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0038,10.8654,0.6843,0.0025,0.0,,
local,44,3,47,2.90e-04,3.5,1844,15.23,33.47,7.81,42,-6507.1,-8.495,-18.82,654,466,187,1.138,1771,212.8,73.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0052,1.0378,0.6459,0.0031,0.0,,
local,44,4,48,2.85e-04,3.8,1844,31.36,67.86,15.7,64,-13293.6,-17.492,-38.714,665,500,160,2.252,1739,268.0,92.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0102,5.7386,0.5816,0.0061,0.1029,,
local,44,5,49,2.80e-04,3.9,1844,39.34,75.06,19.99,76,-17011.4,-22.865,-44.255,660,509,142,2.253,1762,280.8,97.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0048,5.8415,0.5741,0.0007,0.0,36.43,21.53
local,44,6,50,2.75e-04,3.4,1844,26.72,54.8,13.69,52,-11396.6,-15.277,-31.609,658,500,148,1.785,1806,249.2,86.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0035,1.795,0.549,0.0041,0.0697,,
local,44,7,51,2.70e-04,3.6,1844,40.03,68.6,19.72,80,-17747.3,-23.139,-39.341,693,557,124,1.781,1774,271.2,94.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0029,2.9825,0.524,0.0007,0.0005,,
local,44,8,52,2.65e-04,3.6,1844,26.27,50.36,13.56,66,-11451.2,-15.454,-29.379,658,511,141,1.47,1789,241.9,83.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0005,1.73,0.5595,0.0003,0.0,,
local,44,9,53,2.60e-04,3.5,1844,23.4,44.97,12.17,59,-10199.7,-13.802,-26.151,657,514,138,1.317,1781,233.1,80.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0,1.2263,0.5552,0.0001,0.0,,
local,44,10,54,2.55e-04,3.5,1844,29.5,53.16,14.98,71,-12875.5,-17.167,-31.004,669,522,137,1.503,1800,244.8,85.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0033,2.2119,0.5421,0.0002,0.0,36.43,21.53
local,44,11,55,2.50e-04,3.8,1844,35.18,66.77,17.39,86,-15405.8,-20.086,-37.969,685,537,137,1.875,1712,264.9,92.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0011,4.7386,0.4871,0.003,0.0474,,
local,44,12,56,2.45e-04,3.5,1844,32.59,57.9,16.72,78,-14549.8,-19.662,-34.229,670,533,118,1.518,1789,253.6,88.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0013,2.2725,0.4823,0.001,0.0005,,
local,44,13,57,2.40e-04,3.8,1844,48.62,83.52,24.88,85,-21635.5,-29.436,-50.151,669,540,111,2.106,1805,292.1,102.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0023,6.2033,0.4905,0.0006,0.0,,
local,44,14,58,2.35e-04,3.7,1844,48.32,82.9,24.12,87,-21377.5,-28.39,-48.673,681,541,123,2.148,1746,291.7,102.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0017,4.6358,0.4383,0.0008,0.0,,
local,44,15,59,2.30e-04,3.3,1844,22.51,39.49,11.66,60,-10110.1,-13.607,-22.616,682,557,103,0.966,1803,223.2,77.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0003,1.5981,0.41,0.0001,0.0,36.43,21.53
local,44,16,60,2.25e-04,3.6,1844,31.42,50.24,15.63,69,-14410.0,-18.837,-28.717,709,590,94,1.045,1786,241.1,84.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0044,1.1304,0.439,0.0018,0.0343,,
local,44,17,61,2.20e-04,3.4,1844,33.02,55.6,16.8,67,-14920.3,-20.0,-32.722,679,550,113,1.317,1807,250.2,87.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0048,1.4974,0.5215,0.0037,0.0722,,
local,44,18,62,2.15e-04,3.6,1844,40.18,71.58,19.11,87,-17681.2,-22.269,-39.995,707,553,147,1.994,1690,273.1,95.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0026,4.1134,0.5442,0.0001,0.0,,
local,44,19,63,2.10e-04,3.9,1844,49.17,86.21,22.43,84,-21478.9,-26.067,-46.758,731,569,157,2.339,1648,294.3,103.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.004,4.9463,0.5793,0.0017,0.0267,,
local,44,20,64,2.05e-04,3.4,1844,26.17,56.07,13.39,73,-11193.1,-14.964,-32.27,659,505,150,1.785,1795,249.2,86.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0025,2.0252,0.5699,0.0016,0.0048,36.43,21.53
local,44,21,65,2.00e-04,3.5,1844,27.74,51.25,14.35,61,-12216.5,-16.554,-29.846,664,527,126,1.429,1807,243.3,84.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0018,1.1396,0.5349,0.0001,0.0,,
local,44,22,66,1.95e-04,3.4,1844,24.49,47.21,12.77,65,-10690.6,-14.545,-27.581,656,514,134,1.348,1802,236.1,81.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0084,0.9948,0.5461,0.0007,0.0,,
local,44,23,67,1.90e-04,3.6,1844,32.28,62.37,16.25,75,-13967.7,-18.5,-36.162,667,513,148,1.922,1772,262.0,90.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0006,1.0896,0.5705,0.0001,0.0,,
local,44,24,68,1.85e-04,3.4,1844,26.15,47.17,13.35,61,-11591.0,-15.455,-27.099,679,546,120,1.261,1787,236.5,82.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0013,0.7111,0.5571,0.0002,0.0,,
local,44,25,69,1.80e-04,3.3,1844,19.63,38.29,10.2,53,-8553.7,-11.481,-21.864,662,517,140,1.112,1804,221.7,76.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.0004,0.4609,0.5425,0.0001,0.0,36.43,21.53
local,44,26,70,1.75e-04,3.3,1844,23.99,44.37,12.48,56,-10495.6,-14.222,-25.712,663,530,126,1.242,1804,232.3,80.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0025,0.5323,0.5343,0.0004,0.0,,
local,44,27,71,1.70e-04,3.3,1844,22.0,41.32,11.43,52,-9687.4,-13.056,-23.693,667,533,126,1.112,1795,226.7,78.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0056,0.6363,0.5066,0.0002,0.0,,
local,44,28,72,1.65e-04,3.4,1844,17.75,34.25,9.27,53,-7895.9,-10.598,-19.376,674,541,121,0.919,1800,212.9,73.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0023,0.4397,0.5346,0.0019,0.0372,,
local,44,29,73,1.60e-04,3.3,1844,14.64,30.34,7.76,42,-6499.1,-8.747,-17.005,663,521,135,0.862,1779,207.6,71.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0034,0.308,0.5561,0.0003,0.0,,
local,44,30,74,1.55e-04,3.2,1844,13.16,27.77,7.06,37,-5786.8,-7.841,-15.628,657,517,138,0.801,1807,202.9,69.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0075,0.2486,0.5863,0.0006,0.0,33.84,19.46
local,44,31,75,1.50e-04,3.5,1844,20.56,42.42,10.42,51,-8771.7,-11.496,-23.85,668,505,159,1.401,1766,227.3,78.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.003,0.603,0.5706,0.0024,0.0251,,
local,44,32,76,1.45e-04,3.1,1844,15.46,31.07,8.24,42,-6868.9,-9.333,-17.521,664,532,122,0.847,1809,208.5,72.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0088,0.3397,0.5509,0.0006,0.0005,,
local,44,33,77,1.40e-04,3.3,1844,15.07,31.22,8.05,42,-6619.2,-8.994,-17.736,654,512,138,0.911,1797,209.0,72.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0049,0.3385,0.5498,0.0001,0.0,,
local,44,34,78,1.35e-04,3.1,1844,11.24,25.53,6.13,40,-4970.2,-6.753,-14.244,652,507,142,0.765,1805,198.5,68.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0076,0.2176,0.5422,0.0024,0.0371,,
local,44,35,79,1.30e-04,3.2,1844,13.68,29.33,7.35,36,-6023.9,-8.185,-16.505,653,508,139,0.868,1804,206.1,71.0,0,0.0,0,0,0,0,,,,,,0,0.0,0.0042,0.2895,0.5063,0.0018,0.0069,33.4,19.02
local,44,36,80,1.25e-04,3.2,1844,11.64,25.21,6.29,30,-5188.6,-7.012,-13.823,671,550,117,0.69,1793,198.2,68.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0046,0.2268,0.5325,0.0029,0.0658,,
local,44,37,81,1.20e-04,3.3,1844,15.62,32.57,8.17,43,-6785.3,-9.059,-18.243,662,513,147,0.996,1780,211.7,73.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0051,0.3056,0.53,0.0008,0.0,,
local,44,38,82,1.15e-04,3.4,1844,16.62,35.6,8.79,51,-7176.6,-9.724,-20.004,658,515,136,1.072,1809,216.3,74.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0003,0.4984,0.5356,0.0001,0.0,,
local,44,39,83,1.10e-04,3.1,1844,10.5,23.99,5.77,35,-4651.7,-6.329,-13.197,659,525,129,0.689,1806,195.9,67.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0018,0.2021,0.565,0.0019,0.0233,,
local,44,40,84,1.05e-04,3.2,1844,10.58,24.99,5.78,31,-4630.6,-6.275,-13.812,651,501,148,0.772,1806,198.4,68.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0027,0.2084,0.5855,0.0013,0.0062,22.5,9.85
local,44,41,85,1.00e-04,3.3,1844,9.88,24.52,5.41,27,-4314.1,-5.814,-13.809,637,458,177,0.848,1800,197.8,67.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0042,0.1502,0.5937,0.0003,0.0,,
local,44,42,86,9.50e-05,3.2,1844,11.37,26.13,6.2,27,-4975.4,-6.769,-14.518,651,507,142,0.8,1799,200.8,69.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0124,0.1818,0.5995,0.0003,0.0,,
local,44,43,87,9.00e-05,3.3,1844,9.15,22.69,5.07,31,-4087.8,-5.546,-12.61,641,477,162,0.695,1806,194.6,66.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.013,0.1575,0.5932,0.0003,0.0,,
local,44,44,88,8.50e-05,3.2,1844,9.65,23.56,5.33,30,-4235.1,-5.746,-13.076,643,483,157,0.744,1796,196.0,67.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0066,0.1677,0.5854,0.0001,0.0,,
local,44,45,89,8.00e-05,3.1,1844,9.1,22.79,5.06,23,-4010.1,-5.448,-12.539,644,488,154,0.719,1804,194.5,66.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0014,0.1384,0.5828,0.0002,0.0,20.72,8.23
local,44,46,90,7.50e-05,3.1,1844,9.28,23.04,5.15,24,-4089.9,-5.565,-12.848,642,484,157,0.729,1805,195.2,67.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.004,0.1362,0.5891,0.0001,0.0,,
