variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,45,1,46,1.00e-03,4.3,1844,34.84,93.21,17.43,58,-14248.7,-18.798,-55.252,631,416,213,3.711,1773,306.7,105.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0134,4.572,0.6775,0.0106,0.1482,,
local,45,2,47,9.83e-04,4.4,1844,38.77,81.57,17.82,76,-16296.5,-19.801,-44.133,706,507,196,2.769,1672,285.7,99.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0518,1.466,0.6468,0.0108,0.2034,,
local,45,3,48,9.67e-04,4.0,1844,31.32,62.44,16.14,65,-13475.5,-18.259,-36.823,650,499,148,1.871,1808,259.0,89.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0103,0.7391,0.5618,0.0113,0.1691,,
local,45,4,49,9.50e-04,4.4,1844,52.06,90.59,26.39,87,-23088.8,-31.159,-54.474,667,526,124,2.403,1805,301.7,106.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0337,0.9973,0.5386,0.0143,0.1642,,
local,45,5,50,9.33e-04,3.8,1844,19.73,39.57,10.41,57,-8613.1,-11.734,-22.632,663,532,120,1.132,1806,222.4,76.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0424,0.4928,0.4954,0.0233,0.1656,29.39,15.75
local,45,6,51,9.17e-04,3.5,1844,9.39,21.86,5.2,27,-4316.5,-5.865,-11.967,666,528,119,0.562,1805,190.6,65.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0242,0.1573,0.4839,0.0101,0.1291,,
local,45,7,52,9.00e-04,3.6,1844,7.54,19.78,4.27,25,-3480.4,-4.722,-10.652,661,518,129,0.533,1802,187.6,64.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0174,0.0696,0.4361,0.0063,0.1121,,
local,45,8,53,8.83e-04,3.5,1844,7.27,19.07,4.14,20,-3364.2,-4.577,-10.304,659,511,129,0.51,1805,185.8,63.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0301,0.0448,0.3847,0.0073,0.1351,,
local,45,9,54,8.67e-04,3.5,1844,6.71,17.65,3.87,16,-3174.7,-4.319,-9.666,661,514,124,0.454,1804,182.0,62.6,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0167,0.0227,0.3651,0.0091,0.0916,,
local,45,10,55,8.50e-04,3.6,1844,5.98,16.8,3.5,14,-2837.3,-3.865,-9.052,660,519,125,0.427,1810,180.5,62.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0263,0.018,0.4328,0.0233,0.1373,17.37,7.09
local,45,11,56,8.33e-04,3.4,1844,5.68,16.54,3.35,15,-2712.6,-3.691,-8.915,656,512,134,0.409,1807,180.1,61.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0155,0.019,0.4368,0.0143,0.1403,,
local,45,12,57,8.17e-04,3.5,1844,4.99,15.72,3.0,14,-2401.7,-3.268,-8.502,644,483,153,0.431,1807,178.9,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0046,0.016,0.4117,0.0066,0.0652,,
local,45,13,58,8.00e-04,3.4,1844,5.04,16.14,3.02,12,-2385.4,-3.237,-8.783,643,478,159,0.454,1809,179.7,61.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0177,0.0172,0.3707,0.0038,0.053,,
local,45,14,59,7.83e-04,3.3,1844,4.86,15.56,2.94,12,-2328.6,-3.164,-8.352,646,487,152,0.445,1808,178.9,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0031,0.0152,0.3445,0.0027,0.0332,,
local,45,15,60,7.67e-04,3.4,1844,4.96,15.83,2.99,12,-2371.5,-3.231,-8.535,645,489,150,0.416,1809,178.9,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,0.0066,0.0122,0.3642,0.0068,0.0982,15.52,4.95
local,45,16,61,7.50e-04,3.5,1844,4.81,15.69,2.91,12,-2316.8,-3.152,-8.359,649,496,144,0.405,1809,178.7,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0181,0.0131,0.3691,0.0068,0.0817,,
local,45,17,62,7.33e-04,3.3,1844,4.48,15.29,2.74,11,-2149.1,-2.92,-8.219,641,480,160,0.441,1811,178.7,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0115,0.0142,0.339,0.0028,0.0349,,
local,45,18,63,7.17e-04,3.3,1844,4.5,15.51,2.75,12,-2167.5,-2.945,-8.222,642,482,157,0.427,1810,178.8,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0173,0.0154,0.3014,0.0032,0.0406,,
local,45,19,64,7.00e-04,3.3,1844,4.64,15.26,2.83,11,-2236.8,-3.039,-8.195,646,492,151,0.426,1809,177.8,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,0.0113,0.0119,0.3295,0.0098,0.0986,,
local,45,20,65,6.83e-04,3.3,1844,4.51,15.65,2.76,12,-2146.2,-2.916,-8.331,640,477,162,0.452,1809,179.3,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0034,0.0112,0.2885,0.0023,0.0298,15.09,4.43
local,45,21,66,6.67e-04,3.5,1844,4.51,15.28,2.76,10,-2147.1,-2.925,-8.175,643,489,153,0.417,1809,178.1,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0226,0.012,0.2921,0.003,0.042,,
local,45,22,67,6.50e-04,3.4,1844,4.34,15.05,2.68,11,-2081.9,-2.836,-8.054,642,485,155,0.426,1808,178.0,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0039,0.0127,0.2834,0.0066,0.0702,,
local,45,23,68,6.33e-04,3.4,1844,4.57,15.45,2.78,11,-2195.2,-2.975,-8.23,643,482,159,0.435,1803,178.9,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0255,0.0107,0.2603,0.0015,0.0186,,
local,45,24,69,6.17e-04,3.4,1844,4.27,15.17,2.64,11,-2064.9,-2.809,-8.015,642,483,157,0.406,1806,178.4,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0087,0.0102,0.2761,0.0038,0.0503,,
local,45,25,70,6.00e-04,3.3,1844,4.13,14.85,2.58,10,-1985.3,-2.708,-7.901,640,480,158,0.406,1807,177.5,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0,0.0115,0.2704,0.0038,0.0441,15.21,4.4
local,45,26,71,5.83e-04,3.2,1844,4.31,15.24,2.67,11,-2065.2,-2.814,-8.108,639,477,161,0.43,1809,178.7,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0004,0.011,0.2441,0.0016,0.0222,,
local,45,27,72,5.67e-04,3.3,1844,4.15,14.8,2.58,10,-1998.3,-2.719,-7.883,643,486,155,0.407,1810,177.1,60.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.003,0.0118,0.2581,0.0032,0.0456,,
local,45,28,73,5.50e-04,3.5,1844,4.87,15.94,2.94,11,-2324.6,-3.158,-8.539,643,485,156,0.453,1807,179.9,61.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0077,0.0105,0.2588,0.0041,0.0608,,
local,45,29,74,5.33e-04,3.4,1844,4.28,14.95,2.65,11,-2051.0,-2.794,-7.984,640,479,159,0.426,1808,177.7,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,0.0007,0.0102,0.2146,0.0019,0.0255,,
local,45,30,75,5.17e-04,3.3,1844,4.17,14.64,2.6,12,-2023.1,-2.756,-7.873,643,487,154,0.405,1808,177.1,60.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0039,0.0111,0.2395,0.0032,0.0461,14.74,4.03
local,45,31,76,5.00e-04,3.4,1844,3.97,14.93,2.49,11,-1928.7,-2.617,-7.885,643,484,158,0.411,1807,177.7,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0054,0.0106,0.2375,0.0025,0.0336,,
local,45,32,77,4.83e-04,3.2,1844,4.0,14.92,2.5,10,-1938.7,-2.634,-7.917,638,471,165,0.432,1806,178.4,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,0.0112,0.2508,0.0024,0.032,,
local,45,33,78,4.67e-04,3.3,1844,4.12,14.92,2.56,11,-1980.3,-2.691,-7.95,638,472,164,0.439,1807,178.0,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0029,0.0098,0.2265,0.0034,0.0453,,
local,45,34,79,4.50e-04,3.3,1844,4.02,15.05,2.52,12,-1942.9,-2.643,-7.975,635,465,169,0.44,1811,178.6,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0006,0.0116,0.2371,0.003,0.0348,,
local,45,35,80,4.33e-04,3.3,1844,4.02,14.87,2.51,11,-1925.3,-2.616,-7.934,638,470,166,0.438,1812,178.1,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0043,0.0103,0.2315,0.0046,0.056,14.88,4.03
local,45,36,81,4.17e-04,3.3,1844,4.17,15.09,2.6,12,-1995.7,-2.719,-8.046,636,470,164,0.45,1804,178.6,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0015,0.0116,0.2381,0.0029,0.0345,,
local,45,37,82,4.00e-04,3.4,1844,3.94,15.09,2.48,13,-1892.8,-2.575,-7.963,635,466,168,0.434,1806,178.7,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0,0.0105,0.2437,0.0019,0.0284,,
local,45,38,83,3.83e-04,3.4,1844,4.01,14.79,2.52,11,-1928.8,-2.628,-7.952,633,462,169,0.447,1809,178.0,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0017,0.0105,0.2386,0.0015,0.0215,,
local,45,39,84,3.67e-04,3.3,1844,4.12,15.37,2.57,11,-1978.5,-2.692,-8.151,632,457,173,0.46,1808,179.2,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0047,0.0125,0.215,0.004,0.0552,,
local,45,40,85,3.50e-04,3.4,1844,4.2,15.11,2.61,12,-2008.9,-2.737,-8.076,635,466,167,0.458,1810,178.9,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0083,0.012,0.2139,0.0032,0.0476,14.76,4.09
local,45,41,86,3.33e-04,3.5,1844,4.14,15.19,2.58,11,-2007.6,-2.731,-8.066,638,474,163,0.434,1810,178.7,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0005,0.0119,0.2198,0.0017,0.0232,,
local,45,42,87,3.17e-04,3.5,1844,4.22,15.03,2.61,10,-2027.1,-2.751,-7.975,642,481,160,0.422,1810,178.1,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0349,0.0103,0.2293,0.0022,0.0311,,
local,45,43,88,3.00e-04,3.3,1844,3.87,14.62,2.45,10,-1863.3,-2.542,-7.745,636,470,164,0.417,1807,177.4,60.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0011,0.0115,0.2149,0.0012,0.0121,,
local,45,44,89,2.83e-04,3.3,1844,3.88,14.8,2.45,11,-1876.2,-2.553,-7.808,636,467,167,0.434,1806,177.8,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0019,0.0117,0.2033,0.0014,0.0208,,
local,45,45,90,2.67e-04,3.3,1844,4.07,14.92,2.54,11,-1957.9,-2.66,-7.981,638,470,166,0.444,1810,178.0,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0047,0.0113,0.1919,0.0031,0.043,14.89,4.06
local,45,46,91,2.50e-04,3.3,1844,3.98,14.48,2.5,10,-1922.6,-2.616,-7.747,637,470,165,0.419,1809,177.2,60.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0004,0.0102,0.2105,0.0022,0.0325,,
local,45,47,92,2.33e-04,3.3,1844,4.12,15.07,2.57,11,-1977.7,-2.694,-7.999,636,469,165,0.449,1809,178.4,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0,0.0117,0.2064,0.0012,0.0156,,
local,45,48,93,2.17e-04,3.3,1844,4.05,14.86,2.53,10,-1952.3,-2.653,-7.873,639,474,164,0.432,1809,178.1,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0015,0.0107,0.2102,0.0019,0.0291,,
local,45,49,94,2.00e-04,3.3,1844,3.98,14.79,2.5,10,-1932.1,-2.636,-7.85,637,474,162,0.426,1807,177.8,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0018,0.0105,0.2122,0.0012,0.0171,,
local,45,50,95,1.83e-04,3.3,1844,4.19,15.15,2.61,11,-2000.1,-2.725,-8.082,635,467,166,0.45,1807,178.8,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.002,0.0098,0.2172,0.0016,0.0246,14.8,3.93
local,45,51,96,1.67e-04,3.4,1844,4.16,15.06,2.58,12,-1995.7,-2.708,-8.032,637,468,168,0.445,1808,178.5,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.004,0.011,0.2055,0.0026,0.0377,,
local,45,52,97,1.50e-04,3.3,1844,4.05,14.86,2.54,11,-1944.9,-2.653,-7.91,636,471,163,0.423,1807,178.1,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0013,0.0109,0.1971,0.0011,0.0143,,
local,45,53,98,1.33e-04,3.5,1844,4.0,14.9,2.51,11,-1911.2,-2.604,-7.839,637,473,162,0.416,1808,178.5,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,0.0111,0.1985,0.0008,0.008,,
local,45,54,99,1.17e-04,3.4,1844,4.07,14.81,2.55,11,-1945.5,-2.651,-7.865,637,472,163,0.446,1805,177.6,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0004,0.0109,0.2075,0.0009,0.0108,,
local,45,55,100,1.00e-04,3.3,1844,4.02,15.02,2.51,11,-1949.9,-2.649,-7.882,639,473,164,0.434,1806,178.3,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0033,0.0097,0.185,0.0016,0.0233,14.97,4.22
local,45,56,101,8.33e-05,3.2,1844,4.2,14.9,2.61,10,-2028.9,-2.764,-7.92,640,479,159,0.439,1807,177.8,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0019,0.0109,0.206,0.002,0.0303,,
local,45,57,102,6.67e-05,3.2,1844,4.22,15.39,2.62,10,-2030.9,-2.763,-8.11,642,483,157,0.437,1808,179.1,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0194,0.0099,0.2057,0.0009,0.0112,,
local,45,58,103,5.00e-05,3.3,1844,4.0,14.77,2.51,12,-1921.6,-2.614,-7.797,637,472,164,0.431,1810,177.6,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0018,0.0107,0.1882,0.0009,0.0086,,
local,45,59,104,3.33e-05,3.3,1844,4.05,14.92,2.54,11,-1964.0,-2.679,-7.872,640,481,157,0.415,1808,178.1,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0009,0.0108,0.2014,0.0006,0.0033,,
