verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
20,,10,0/15,20.5,6.77,0.76,1769.33,218.47,0.22,2001-2003
25,,10,0/20,20.71,7.27,0.7,1767.33,218.2,0.48,2001-2003
25,,10,0/25,20.92,7.28,0.71,1769.33,219.0,0.42,2001-2003
20,,10,0/10,21.14,6.98,0.79,1767.67,220.63,0.27,2001-2003
20,,10,0/20,21.25,7.14,0.8,1769.67,219.87,0.61,2001-2003
25,,10,0/15,21.25,7.48,0.72,1767.0,219.7,0.54,2001-2003
20,,10,0/25,21.4,7.08,0.8,1767.67,220.57,0.35,2001-2003
30,,10,0/25,21.87,8.4,0.68,1764.0,219.87,0.51,2001-2003
30,,10,0/20,21.89,8.33,0.68,1763.33,220.13,0.29,2001-2003
25,,10,0/30,22.21,7.7,0.8,1766.67,222.17,0.08,2001-2003
25,,10,0/10,22.27,7.72,0.82,1766.33,222.3,0.15,2001-2003
18,,10,0/10,22.39,7.5,0.89,1764.33,222.97,0.62,2001-2003
25,,15,0/20,22.41,8.12,0.75,1762.67,222.6,0.28,2001-2003
25,,15,0/25,22.41,8.15,0.74,1764.0,222.67,0.29,2001-2003
30,,10,0/30,22.92,8.79,0.75,1762.0,222.5,0.28,2001-2003
20,,10,0/5,22.95,7.47,0.94,1766.0,225.47,0.08,2001-2003
30,,15,0/25,23.09,8.74,0.72,1767.33,223.7,0.15,2001-2003
30,,10,0/15,23.2,8.82,0.79,1765.67,223.27,0.24,2001-2003
20,,10,0/30,23.28,7.72,0.93,1766.33,225.3,0.68,2001-2003
18,,10,0/15,23.5,7.98,0.97,1763.0,224.2,2.56,2001-2003
30,,15,0/30,23.52,8.86,0.77,1767.0,224.7,0.58,2001-2003
20,,10,0/0,23.64,7.67,1.03,1765.33,226.47,0.2,2001-2003
25,,10,0/5,23.65,8.55,0.93,1768.33,224.9,0.27,2001-2003
30,,10,0/35,23.68,9.19,0.83,1764.67,223.97,0.28,2001-2003
25,,10,0/35,23.71,8.63,0.93,1765.67,225.0,0.41,2001-2003
20,,10,0/35,23.84,7.86,1.04,1764.0,226.83,0.42,2001-2003
30,,10,0/10,23.95,9.34,0.87,1766.33,224.5,0.32,2001-2003
18,,10,0/30,24.01,7.69,1.02,1761.67,227.63,0.71,2001-2003
25,,15,0/15,24.03,8.85,0.86,1764.67,225.93,0.22,2001-2003
18,,10,0/0,24.05,7.52,1.08,1761.33,227.83,0.7,2001-2003
30,,15,0/20,24.05,9.18,0.81,1767.67,225.53,0.18,2001-2003
30,,15,0/35,24.47,9.43,0.86,1768.33,226.47,0.25,2001-2003
25,,15,0/30,24.55,9.0,0.86,1763.0,227.3,1.01,2001-2003
18,,10,0/25,24.57,8.25,1.01,1760.33,227.3,1.84,2001-2003
30,,10,0/5,24.65,9.9,0.9,1765.33,225.6,0.16,2001-2003
30,,10,0/40,24.75,10.0,0.9,1763.0,225.83,0.3,2001-2003
30,,10,0/0,24.87,10.1,0.9,1764.67,225.83,0.19,2001-2003
30,,15,0/15,25.14,9.88,0.9,1767.33,227.33,0.19,2001-2003
18,,10,0/5,25.23,8.4,1.09,1763.33,229.77,2.58,2001-2003
25,,10,0/0,25.25,9.55,1.01,1765.33,228.13,0.1,2001-2003
18,,10,0/20,25.4,8.53,1.07,1760.33,228.4,0.08,2001-2003
25,,10,0/40,25.5,9.71,1.03,1764.0,228.7,0.3,2001-2003
30,,15,0/40,25.58,10.33,0.92,1768.33,228.43,0.68,2001-2003
25,,20,0/25,25.88,10.14,0.84,1765.33,230.13,0.38,2001-2003
25,,15,0/35,25.99,9.93,0.98,1760.0,229.77,0.13,2001-2003
25,,15,0/10,26.09,10.31,1.01,1764.33,229.3,0.56,2001-2003
15,,10,0/30,26.28,8.0,1.15,1758.0,231.9,2.31,2001-2003
30,,20,0/30,26.48,10.44,0.85,1764.0,231.33,1.41,2001-2003
30,,15,0/10,26.69,11.2,0.99,1766.33,229.87,0.61,2001-2003
30,,20,0/25,26.93,10.83,0.9,1761.0,231.83,1.45,2001-2003
15,,10,0/5,27.13,8.78,1.23,1757.33,232.87,2.66,2001-2003
30,,20,0/35,27.2,11.11,0.93,1762.33,232.13,0.83,2001-2003
15,,10,0/25,27.67,8.87,1.2,1756.33,233.3,0.24,2001-2003
