verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
25,,15,0/25,152.13,61.41,6.22,2930.0,430.07,4.73,2001-2003
25,,15,0/20,153.16,62.19,6.26,2925.33,431.37,2.77,2001-2003
25,,15,0/10,153.97,63.31,6.34,2931.0,431.93,2.94,2001-2003
30,,15,0/25,160.58,66.93,6.14,2883.0,439.43,0.77,2001-2003
30,,15,0/20,161.67,66.72,6.18,2886.0,440.97,0.78,2001-2003
30,,15,0/30,161.71,67.17,6.16,2883.33,440.23,0.53,2001-2003
30,,25,0/30,162.01,77.72,5.21,2877.33,441.33,1.63,2001-2003
30,,25,0/25,163.91,78.9,5.32,2879.0,444.43,2.11,2001-2003
30,,15,0/10,164.19,73.24,6.42,2882.0,446.93,1.18,2001-2003
30,,25,0/20,164.36,80.39,5.36,2886.67,446.0,2.02,2001-2003
30,,25,0/0,164.78,89.47,5.35,2886.67,453.43,4.65,2001-2003
25,,20,0/20,164.9,75.24,6.19,2860.33,448.57,2.32,2001-2003
15,,10,0/30,166.18,42.56,6.94,2831.0,440.3,3.54,2001-2003
25,,20,0/30,168.95,78.12,6.33,2836.33,455.0,6.15,2001-2003
30,,20,0/30,171.27,76.16,6.05,2815.67,453.23,0.2,2001-2003
15,,10,0/0,171.62,45.48,7.24,2831.33,447.93,3.04,2001-2003
25,,20,0/25,171.91,79.78,6.4,2818.67,459.03,1.15,2001-2003
30,,20,0/25,172.05,77.12,6.11,2807.33,455.43,1.2,2001-2003
25,,20,0/10,172.26,82.28,6.48,2836.33,459.83,4.34,2001-2003
15,,10,0/20,172.94,44.5,7.31,2792.0,447.57,5.65,2001-2003
30,,20,0/20,174.08,77.39,6.25,2803.33,458.13,0.67,2001-2003
25,,25,0/25,174.38,91.08,5.88,2772.0,463.37,2.08,2001-2003
25,,15,0/30,175.63,75.0,7.18,2905.33,465.57,4.36,2001-2003
25,,25,0/20,176.26,91.03,6.02,2784.67,465.83,8.25,2001-2003
25,,25,0/30,177.49,92.84,5.93,2758.0,468.67,5.87,2001-2003
15,,10,0/25,178.58,48.0,7.45,2784.0,455.3,6.02,2001-2003
35,,25,0/0,182.94,101.42,5.92,2821.33,478.93,2.58,2001-2003
35,,25,0/30,186.63,91.22,6.15,2818.0,475.9,1.67,2001-2003
35,,20,0/30,188.05,86.76,6.66,2762.0,476.87,0.16,2001-2003
20,,15,0/10,188.22,76.13,8.43,2764.33,479.73,3.04,2001-2003
35,,20,0/25,188.34,86.01,6.64,2762.33,475.77,0.27,2001-2003
35,,20,0/20,188.36,88.02,6.67,2763.67,478.13,0.42,2001-2003
35,,20,0/0,188.65,98.73,6.55,2763.0,484.97,0.51,2001-2003
20,,15,0/20,190.22,80.58,8.35,2734.0,485.63,3.39,2001-2003
35,,25,0/25,191.5,94.78,6.29,2807.33,482.83,2.66,2001-2003
20,,15,0/0,192.7,78.64,8.51,2740.0,483.33,1.02,2001-2003
20,,15,0/25,193.95,78.27,8.73,2765.33,490.6,1.01,2001-2003
20,,10,0/0,194.07,67.72,7.98,2853.33,486.13,6.76,2001-2003
35,,15,0/25,195.6,88.24,6.97,2831.67,489.5,1.24,2001-2003
35,,15,0/30,195.61,89.01,7.02,2834.0,490.33,0.9,2001-2003
20,,10,0/30,198.48,68.94,8.1,2842.67,492.9,6.76,2001-2003
35,,15,0/20,198.93,91.34,7.13,2832.0,496.1,2.61,2001-2003
20,,20,0/10,199.24,97.71,7.91,2708.67,499.17,8.25,2001-2003
15,,15,0/0,200.26,69.86,9.0,2675.33,488.5,2.4,2001-2003
15,,15,0/30,200.31,70.35,8.94,2675.67,489.33,1.91,2001-2003
20,,20,0/30,200.9,95.78,7.95,2696.0,502.27,1.41,2001-2003
20,,15,0/30,204.06,82.62,8.87,2757.67,503.07,0.21,2001-2003
20,,20,0/20,207.11,100.93,8.06,2670.67,511.77,3.47,2001-2003
15,,10,0/10,207.12,61.19,9.01,2678.33,497.13,2.98,2001-2003
30,,15,0/0,207.62,98.1,7.7,2823.33,509.93,1.28,2001-2003
15,,15,0/20,209.69,80.35,9.43,2668.67,507.9,2.7,2001-2003
20,,20,0/25,212.7,97.99,8.7,2657.67,518.37,3.9,2001-2003
30,,20,0/0,217.77,114.55,7.91,2743.67,529.97,4.19,2001-2003
20,,10,0/10,219.39,81.5,9.12,2792.33,523.5,7.11,2001-2003
20,,25,0/20,219.69,122.78,7.44,2638.33,532.97,4.19,2001-2003
20,,25,0/25,220.26,116.83,7.91,2634.0,532.6,1.37,2001-2003
30,,20,0/10,220.71,114.76,7.83,2704.67,533.07,3.44,2001-2003
20,,25,0/30,221.01,117.64,7.69,2631.67,532.97,1.39,2001-2003
25,,10,0/0,221.37,93.89,8.17,2835.67,526.47,2.5,2001-2003
25,,15,0/0,222.33,103.14,8.7,2715.33,531.47,8.92,2001-2003
25,,20,0/0,223.8,107.19,8.15,2705.0,535.4,4.86,2001-2003
15,,20,0/20,224.96,107.56,8.7,2576.0,533.03,2.2,2001-2003
30,,25,0/10,225.01,119.2,7.65,2684.33,539.77,3.0,2001-2003
20,,25,0/10,226.05,127.31,7.83,2636.0,541.77,1.34,2001-2003
35,,20,0/10,227.38,115.29,7.9,2693.33,540.47,1.23,2001-2003
35,,25,0/10,230.5,125.37,7.61,2691.0,547.9,0.54,2001-2003
15,,15,0/25,231.46,88.46,10.27,2615.0,537.87,7.29,2001-2003
