verde,izquierda,verde_transversal,offsets,esquema,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
25,,15,0/23/0/23/0/23/0/23/0,ajedrez,20.81,7.42,0.69,4208.0,278.97,0.31,2001-2003
30,,10,0/23/0/23/0/23/0/23/0,ajedrez,20.88,7.81,0.66,4208.0,278.23,0.13,2001-2003
20,,20,0/23/0/23/0/23/0/23/0,ajedrez,22.14,8.25,0.74,4208.33,282.23,0.19,2001-2003
20,,15,0/20/0/20/0/20/0/20/0,ajedrez,22.32,8.51,0.8,4204.67,282.2,0.11,2001-2003
35,,10,0/25/0/25/0/25/0/25/0,ajedrez,22.86,8.43,0.68,4203.33,287.63,0.17,2001-2003
25,,10,0/20/0/20/0/20/0/20/0,ajedrez,22.95,9.36,0.79,4205.0,282.8,0.19,2001-2003
30,,15,0/25/0/25/0/25/0/25/0,ajedrez,23.03,8.2,0.72,4202.67,289.07,0.13,2001-2003
25,,20,0/25/0/25/0/25/0/25/0,ajedrez,23.91,8.62,0.76,4201.33,291.77,0.11,2001-2003
20,,25,0/25/0/25/0/25/0/25/0,ajedrez,25.3,9.52,0.79,4201.33,295.0,0.15,2001-2003
15,,25,0/23/0/23/0/23/0/23/0,ajedrez,25.6,10.74,0.83,4199.67,289.73,0.36,2001-2003
15,,20,0/20/0/20/0/20/0/20/0,ajedrez,26.32,11.44,0.94,4201.0,291.07,0.14,2001-2003
35,,15,0/28/0/28/0/28/0/28/0,ajedrez,26.63,9.07,0.86,4202.67,301.9,0.06,2001-2003
30,,20,0/28/0/28/0/28/0/28/0,ajedrez,27.53,9.35,0.89,4205.0,305.03,0.04,2001-2003
15,,15,0/18/0/18/0/18/0/18/0,ajedrez,28.18,12.48,1.15,4198.33,296.3,0.09,2001-2003
20,,10,0/22/7/0/22/7/0/22/7,onda_eo,28.3,11.15,1.44,4195.0,301.57,0.03,2001-2003
20,,10,0/18/0/18/0/18/0/18/0,ajedrez,28.41,13.04,1.13,4194.67,296.3,0.08,2001-2003
25,,25,0/28/0/28/0/28/0/28/0,ajedrez,28.8,10.03,0.93,4204.33,308.33,0.06,2001-2003
15,,10,0/0/0/0/0/0/0/0/0,cero,29.01,7.4,1.79,4199.33,315.97,0.05,2001-2003
25,,10,0/22/2/0/22/2/0/22/2,onda_eo,29.45,13.15,1.28,4191.67,300.5,0.06,2001-2003
15,,10,0/22/12/0/22/12/0/22/12,onda_eo,29.89,10.76,1.65,4191.0,309.67,0.3,2001-2003
20,,15,0/22/2/0/22/2/0/22/2,onda_eo,30.75,13.95,1.35,4187.67,303.83,0.11,2001-2003
35,,20,0/30/0/30/0/30/0/30/0,ajedrez,31.42,11.11,1.41,4189.67,313.97,0.08,2001-2003
