verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
30,,10,0/20/0,28.02,12.23,0.77,2502.67,260.3,3.03,2001-2003
25,,15,0/20/0,28.07,11.78,0.79,2509.67,261.13,3.49,2001-2003
25,,15,0/23/0,28.2,11.91,0.79,2510.33,260.77,2.67,2001-2003
25,,15,0/25/4,28.45,11.89,0.79,2509.33,262.4,3.91,2001-2003
25,,15,0/25/0,28.57,12.12,0.79,2510.67,261.97,3.57,2001-2003
25,,10,0/20/0,28.71,12.37,0.84,2505.0,261.73,3.09,2001-2003
30,,10,0/23/0,28.79,12.8,0.79,2502.67,260.93,2.71,2001-2003
25,,10,0/20/40,28.84,12.5,0.84,2505.0,262.07,3.36,2001-2003
25,,15,0/20/40,28.92,11.97,0.8,2510.33,264.53,2.79,2001-2003
20,,10,0/15/0,29.02,12.25,0.93,2505.67,263.83,2.81,2001-2003
20,,10,0/20/4,29.07,12.25,0.95,2503.0,263.67,2.9,2001-2003
30,,15,0/25/50,29.09,12.22,0.76,2505.33,265.0,2.59,2001-2003
20,,10,0/15/30,29.14,12.18,0.96,2507.33,264.5,2.99,2001-2003
35,,10,0/25/50,29.25,12.95,0.75,2506.67,264.43,2.5,2001-2003
25,,10,0/25/0,29.33,12.84,0.86,2506.0,263.47,1.54,2001-2003
35,,10,0/23/46,29.36,12.54,0.76,2507.0,265.2,1.75,2001-2003
30,,10,0/25/4,29.44,13.07,0.8,2504.0,262.77,2.93,2001-2003
25,,10,0/23/0,29.45,12.85,0.88,2505.33,263.1,3.09,2001-2003
20,,20,0/25/0,29.5,12.36,0.82,2509.67,264.7,2.9,2001-2003
25,,20,0/25/50,29.52,12.03,0.77,2504.33,266.7,3.11,2001-2003
20,,15,0/20/0,29.62,12.45,0.88,2506.33,264.33,2.85,2001-2003
25,,10,0/23/5,29.76,13.14,0.89,2506.0,263.33,3.17,2001-2003
20,,15,0/23/0,29.78,12.57,0.9,2504.0,265.03,1.51,2001-2003
30,,10,0/15/0,29.79,12.69,0.9,2502.67,266.4,3.23,2001-2003
25,,20,0/25/0,29.8,12.3,0.79,2505.33,267.1,2.47,2001-2003
20,,20,0/23/0,29.81,12.57,0.82,2510.0,264.73,3.94,2001-2003
30,,10,0/20/40,29.85,13.21,0.81,2507.67,264.77,3.84,2001-2003
20,,10,0/25/0,29.88,12.64,0.98,2505.33,266.17,2.4,2001-2003
20,,10,0/20/0,29.89,12.89,0.97,2505.67,265.13,1.84,2001-2003
20,,15,0/15/0,30.06,13.05,0.88,2505.33,265.67,3.4,2001-2003
20,,10,0/23/10,30.08,12.83,1.0,2506.0,266.57,2.11,2001-2003
30,,10,0/25/0,30.1,13.73,0.82,2503.67,263.27,1.65,2001-2003
15,,10,0/15/15,30.11,11.49,1.07,2507.33,271.57,2.23,2001-2003
20,,10,0/15/15,30.21,11.7,1.08,2507.67,270.93,2.13,2001-2003
20,,15,0/23/5,30.3,13.08,0.91,2503.0,265.53,3.59,2001-2003
20,,15,0/25/0,30.31,13.04,0.9,2505.67,266.1,3.6,2001-2003
25,,10,0/10/0,30.35,12.64,1.01,2507.0,268.13,2.65,2001-2003
25,,10,0/15/30,30.36,13.06,0.92,2508.67,267.17,3.29,2001-2003
