brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
fijo,fijo,,1001,21.05,6.97,3.82,14,0.782,1769,219.7,75.6,-1.862,410,0,105.09,22.16,23.4,0.749,0.928,0.0,0,0,8,13,-35944.4,-14945.0,-35944.4,1810,-2751.8,1478
fijo,fijo,,1002,21.5,7.23,3.91,16,0.821,1767,220.5,75.9,-1.933,411,0,106.69,23.72,25.13,0.862,0.895,0.0,0,0,9,16,-36659.0,-15326.3,-36659.0,1810,-2864.8,1482
fijo,fijo,,1003,20.69,6.76,3.71,17,0.776,1771,218.9,75.3,-1.801,410,0,104.93,22.12,23.63,0.789,0.911,0.0,0,0,8,14,-35137.3,-14485.6,-35137.3,1810,-2661.7,1478
fijo,fijo,,1004,21.2,6.97,3.81,18,0.802,1770,220.1,75.7,-1.874,410,0,105.93,23.03,24.79,0.821,0.911,0.0,0,0,8,16,-35949.6,-14880.4,-35949.6,1810,-2770.2,1478
fijo,fijo,,1005,21.74,7.28,3.96,17,0.819,1769,221.0,76.0,-1.947,410,0,106.77,23.78,25.42,0.851,0.894,0.0,0,0,8,14,-36979.7,-15507.4,-36979.7,1810,-2877.3,1478
fijo,fijo,,1006,20.23,6.53,3.61,13,0.751,1772,217.7,74.9,-1.764,410,0,104.56,21.64,22.74,0.751,0.941,0.0,0,0,6,12,-34525.2,-14098.9,-34525.2,1810,-2603.6,1476
fijo,fijo,,1007,20.88,6.92,3.78,16,0.783,1772,219.3,75.4,-1.849,411,0,105.16,22.09,23.06,0.78,0.919,0.0,0,0,7,14,-35653.5,-14825.3,-35653.5,1810,-2736.8,1480
fijo,fijo,,1008,21.73,7.05,3.86,18,0.84,1768,220.9,75.9,-1.894,411,0,107.39,24.38,27.24,0.912,0.88,0.0,0,0,10,18,-37176.7,-15088.9,-37176.7,1810,-2803.7,1480
fijo,fijo,,1009,21.94,7.27,3.94,19,0.828,1767,221.0,76.0,-1.932,411,0,107.35,24.23,26.24,0.869,0.889,0.0,0,0,9,17,-37318.7,-15435.3,-37318.7,1810,-2863.9,1482
fijo,fijo,,1010,20.55,6.76,3.71,13,0.766,1772,218.5,75.2,-1.821,410,0,104.36,21.68,22.3,0.762,0.929,0.0,0,0,6,12,-34744.2,-14468.8,-34744.2,1810,-2684.3,1474
fijo,fijo,,1011,20.98,6.87,3.75,16,0.79,1770,219.5,75.5,-1.853,411,0,105.57,22.56,24.21,0.798,0.92,0.0,0,0,8,15,-35780.7,-14712.0,-35780.7,1810,-2743.0,1480
