brazo,modelo,base,metrica,n,media,sd,ic95,n_par,delta_pct,delta_ic95,p_wilcoxon,n_par_act,delta_pct_act,delta_ic95_act,p_wilcoxon_act
fijo,fijo,,timeloss_prom,30,154.7013,2.8273,1.0557,,,,,,,,
fijo,fijo,,espera_prom,30,63.0823,1.6855,0.6294,,,,,,,,
fijo,fijo,,cola_prom,30,44.856,1.0302,0.3847,,,,,,,,
fijo,fijo,,cola_max,30,104.2333,6.5951,2.4627,,,,,,,,
fijo,fijo,,paradas_prom,30,6.3437,0.1229,0.0459,,,,,,,,
fijo,fijo,,throughput,30,2921.5333,11.9069,4.4461,,,,,,,,
fijo,fijo,,co2_prom,30,433.7867,4.1239,1.5399,,,,,,,,
fijo,fijo,,nox_prom,30,151.9133,1.613,0.6023,,,,,,,,
fijo,fijo,,recompensa_decision,30,-24.0692,0.5793,0.2163,,,,,,,,
fijo,fijo,,cambios_fase,30,446.9667,2.1891,0.8174,,,,,,,,
fijo,fijo,,no_terminados,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,viaje_corredor_prom,30,266.4517,3.9076,1.4591,,,,,,,,
fijo,fijo,,retraso_corredor_prom,30,183.5567,3.8839,1.4503,,,,,,,,
fijo,fijo,,retraso_corredor_punta,30,192.5563,5.4554,2.0371,,,,,,,,
fijo,fijo,,paradas_corredor,30,8.1552,0.1805,0.0674,,,,,,,,
fijo,fijo,,paradas_corredor_le1,30,0.1592,0.003,0.0011,,,,,,,,
fijo,fijo,,spillback_tasa,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_seg,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_eventos,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,cola_max_enlace,30,23.7667,0.7279,0.2718,,,,,,,,
fijo,fijo,,veh_max_enlace,30,37.0,0.0,0.0,,,,,,,,
fijo,fijo,,ret_retraso,30,-569846.8333,10793.405,4030.3236,,,,,,,,
fijo,fijo,,ret_colas,30,-249454.0767,6719.5643,2509.1266,,,,,,,,
fijo,fijo,,ret_spill,30,-570187.2333,10889.8919,4066.3525,,,,,,,,
fijo,fijo,,vehiculos,30,3620.0,0.0,0.0,,,,,,,,
fijo,fijo,,recompensa,30,-49561.6033,1356.0973,506.3751,,,,,,,,
fijo,fijo,,decisiones,30,2059.0,10.5406,3.9359,,,,,,,,
actuado,actuado,,timeloss_prom,30,124.137,6.6387,2.4789,30,-19.76,"[-21.29, -18.18]",1.86e-09,,,,
actuado,actuado,,espera_prom,30,75.9063,5.9497,2.2217,30,20.33,"[16.94, 23.80]",1.86e-09,,,,
actuado,actuado,,cola_prom,30,50.189,3.7672,1.4067,30,11.89,"[8.92, 14.94]",2.61e-08,,,,
actuado,actuado,,cola_max,30,149.3,12.9964,4.8529,30,43.24,"[38.13, 48.78]",1.72e-06,,,,
actuado,actuado,,paradas_prom,30,2.8849,0.0878,0.0328,30,-54.52,"[-55.12, -53.95]",1.73e-06,,,,
actuado,actuado,,throughput,30,2850.4333,20.3668,7.6051,30,-2.43,"[-2.71, -2.15]",1.73e-06,,,,
actuado,actuado,,co2_prom,30,389.1233,10.128,3.7819,30,-10.3,"[-11.13, -9.44]",1.73e-06,,,,
actuado,actuado,,nox_prom,30,138.2367,4.0203,1.5012,30,-9.0,"[-9.96, -8.02]",1.73e-06,,,,
actuado,actuado,,recompensa_decision,30,-31.4694,3.5234,1.3157,30,30.75,"[25.89, 35.95]",1.86e-09,,,,
actuado,actuado,,cambios_fase,30,261.9,3.8894,1.4523,30,-41.41,"[-41.74, -41.08]",1.69e-06,,,,
actuado,actuado,,no_terminados,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,viaje_corredor_prom,30,258.3823,3.3156,1.2381,30,-3.03,"[-3.63, -2.43]",2.6e-06,,,,
actuado,actuado,,retraso_corredor_prom,30,175.4873,3.3075,1.2351,30,-4.4,"[-5.25, -3.53]",1.3e-08,,,,
actuado,actuado,,retraso_corredor_punta,30,191.8317,4.5095,1.6839,30,-0.38,"[-1.56, 0.80]",0.465,,,,
actuado,actuado,,paradas_corredor,30,4.1277,0.1286,0.048,30,-49.39,"[-50.02, -48.76]",1.73e-06,,,,
actuado,actuado,,paradas_corredor_le1,30,0.2947,0.0331,0.0124,30,85.17,"[78.19, 92.62]",1.73e-06,,,,
actuado,actuado,,spillback_tasa,30,0.0235,0.0121,0.0045,30,,,,,,,
actuado,actuado,,spillback_seg,30,87.0,45.3256,16.9249,30,,,,,,,
actuado,actuado,,spillback_eventos,30,7.4333,2.861,1.0683,30,,,,,,,
actuado,actuado,,cola_max_enlace,30,37.9,0.4026,0.1503,30,59.47,"[57.56, 61.33]",1.11e-06,,,,
actuado,actuado,,veh_max_enlace,30,38.0,0.0,0.0,30,2.7,"[2.70, 2.70]",4.32e-08,,,,
