brazo,modelo,base,metrica,n,media,sd,ic95,n_par,delta_pct,delta_ic95,p_wilcoxon,n_par_act,delta_pct_act,delta_ic95_act,p_wilcoxon_act
fijo,fijo,,timeloss_prom,30,21.2967,0.706,0.2636,,,,,,,,
fijo,fijo,,espera_prom,30,7.0607,0.3133,0.117,,,,,,,,
fijo,fijo,,cola_prom,30,3.8537,0.1504,0.0561,,,,,,,,
fijo,fijo,,cola_max,30,16.1333,1.9954,0.7451,,,,,,,,
fijo,fijo,,paradas_prom,30,0.8062,0.0429,0.016,,,,,,,,
fijo,fijo,,throughput,30,1768.7333,2.3625,0.8822,,,,,,,,
fijo,fijo,,co2_prom,30,220.1033,1.4421,0.5385,,,,,,,,
fijo,fijo,,nox_prom,30,75.71,0.4873,0.182,,,,,,,,
fijo,fijo,,recompensa_decision,30,-1.8932,0.0789,0.0295,,,,,,,,
fijo,fijo,,cambios_fase,30,410.5,0.6297,0.2351,,,,,,,,
fijo,fijo,,no_terminados,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,viaje_corredor_prom,30,105.908,1.2857,0.4801,,,,,,,,
fijo,fijo,,retraso_corredor_prom,30,23.0247,1.2774,0.477,,,,,,,,
fijo,fijo,,retraso_corredor_punta,30,24.677,1.9208,0.7172,,,,,,,,
fijo,fijo,,paradas_corredor,30,0.8298,0.0791,0.0295,,,,,,,,
fijo,fijo,,paradas_corredor_le1,30,0.9032,0.0334,0.0125,,,,,,,,
fijo,fijo,,spillback_tasa,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_seg,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_eventos,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,cola_max_enlace,30,7.8667,1.2521,0.4676,,,,,,,,
fijo,fijo,,veh_max_enlace,30,14.7,2.1995,0.8213,,,,,,,,
fijo,fijo,,ret_retraso,30,-36286.5933,1267.1219,473.1511,,,,,,,,
fijo,fijo,,ret_colas,30,-15079.4333,591.7814,220.9748,,,,,,,,
fijo,fijo,,ret_spill,30,-36286.5933,1267.1219,473.1511,,,,,,,,
fijo,fijo,,vehiculos,30,1810.0,0.0,0.0,,,,,,,,
fijo,fijo,,recompensa,30,-2799.6333,117.8902,44.0209,,,,,,,,
fijo,fijo,,decisiones,30,1478.6667,2.6436,0.9871,,,,,,,,
actuado,actuado,,timeloss_prom,30,21.074,0.4152,0.155,30,-1.05,"[-2.15, 0.07]",0.0571,,,,
actuado,actuado,,espera_prom,30,6.032,0.2704,0.101,30,-14.57,"[-16.04, -13.02]",1.73e-06,,,,
actuado,actuado,,cola_prom,30,3.3763,0.1277,0.0477,30,-12.39,"[-13.69, -11.01]",1.73e-06,,,,
actuado,actuado,,cola_max,30,16.8333,1.3667,0.5103,30,4.34,"[-1.20, 10.28]",0.118,,,,
actuado,actuado,,paradas_prom,30,0.8358,0.0267,0.01,30,3.67,"[1.67, 5.59]",0.00148,,,,
actuado,actuado,,throughput,30,1766.2,1.808,0.6751,30,-0.14,"[-0.20, -0.09]",0.000252,,,,
actuado,actuado,,co2_prom,30,221.9067,0.8894,0.3321,30,0.82,"[0.59, 1.06]",1.51e-05,,,,
actuado,actuado,,nox_prom,30,76.05,0.3026,0.113,30,0.45,"[0.23, 0.68]",0.000899,,,,
actuado,actuado,,recompensa_decision,30,-1.6172,0.068,0.0254,30,-14.58,"[-15.97, -13.15]",1.73e-06,,,,
actuado,actuado,,cambios_fase,30,457.7,6.4709,2.4163,30,11.5,"[10.97, 12.01]",1.71e-06,,,,
actuado,actuado,,no_terminados,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,viaje_corredor_prom,30,108.2523,0.6995,0.2612,30,2.21,"[1.77, 2.64]",1.86e-08,,,,
actuado,actuado,,retraso_corredor_prom,30,25.3627,0.689,0.2573,30,10.15,"[8.02, 12.27]",1.86e-08,,,,
actuado,actuado,,retraso_corredor_punta,30,26.64,0.8658,0.3233,30,7.95,"[5.01, 10.88]",0.000125,,,,
actuado,actuado,,paradas_corredor,30,1.0069,0.0482,0.018,30,21.34,"[17.20, 25.40]",9.31e-09,,,,
actuado,actuado,,paradas_corredor_le1,30,0.727,0.0269,0.0101,30,-19.51,"[-20.88, -18.07]",1.73e-06,,,,
actuado,actuado,,spillback_tasa,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,spillback_seg,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,spillback_eventos,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,cola_max_enlace,30,7.2,0.7611,0.2842,30,-8.47,"[-13.39, -3.15]",0.00803,,,,
actuado,actuado,,veh_max_enlace,30,12.6333,0.9279,0.3465,30,-14.06,"[-18.18, -9.72]",6.02e-05,,,,
actuado,actuado,,ret_retraso,30,-35570.1467,709.5417,264.9472,30,1.97,"[0.80, 3.16]",0.00466,,,,
actuado,actuado,,ret_colas,30,-13124.7267,515.3488,192.4344,30,12.96,"[11.58, 14.28]",1.86e-09,,,,
actuado,actuado,,ret_spill,30,-35570.1467,709.5417,264.9472,30,1.97,"[0.80, 3.16]",0.00466,,,,
actuado,actuado,,vehiculos,30,1810.0,0.0,0.0,30,0.0,"[0.00, 0.00]",1,,,,
actuado,actuado,,recompensa,30,-2394.13,99.9104,37.3072,30,-14.48,"[-15.88, -13.04]",1.86e-09,,,,
actuado,actuado,,decisiones,30,1480.5333,3.3604,1.2548,30,0.13,"[0.05, 0.20]",0.00265,,,,
dqn_s2042,dqn,2042,timeloss_prom,30,20.299,0.335,0.1251,30,-4.68,"[-5.70, -3.71]",1.92e-06,30,-3.68,"[-4.33, -3.01]",1.73e-06
dqn_s2042,dqn,2042,espera_prom,30,6.6077,0.2256,0.0842,30,-6.42,"[-8.03, -4.86]",3.9e-06,30,9.54,"[7.79, 11.40]",2.55e-06
dqn_s2042,dqn,2042,cola_prom,30,3.6413,0.1031,0.0385,30,-5.51,"[-6.91, -4.15]",3.18e-06,30,7.85,"[6.36, 9.39]",1.73e-06
dqn_s2042,dqn,2042,cola_max,30,13.9667,1.2994,0.4852,30,-13.43,"[-18.24, -8.32]",0.000249,30,-17.03,"[-20.19, -13.32]",9.13e-06
dqn_s2042,dqn,2042,paradas_prom,30,0.7135,0.0188,0.007,30,-11.5,"[-13.11, -9.94]",1.73e-06,30,-14.63,"[-15.68, -13.56]",1.73e-06
dqn_s2042,dqn,2042,throughput,30,1767.3667,2.8945,1.0808,30,-0.08,"[-0.14, -0.01]",0.0359,30,0.07,"[0.01, 0.12]",0.0231
dqn_s2042,dqn,2042,co2_prom,30,218.0433,0.7459,0.2785,30,-0.94,"[-1.14, -0.74]",2.59e-06,30,-1.74,"[-1.89, -1.59]",1.73e-06
dqn_s2042,dqn,2042,nox_prom,30,75.0067,0.2586,0.0965,30,-0.93,"[-1.14, -0.73]",2.54e-06,30,-1.37,"[-1.52, -1.22]",1.69e-06
dqn_s2042,dqn,2042,recompensa_decision,30,-1.7896,0.0581,0.0217,30,-5.48,"[-7.01, -3.98]",5.47e-06,30,10.66,"[8.88, 12.54]",1.86e-09
dqn_s2042,dqn,2042,cambios_fase,30,387.1333,3.8839,1.4503,30,-5.69,"[-6.00, -5.35]",1.66e-06,30,-15.42,"[-15.92, -14.90]",1.71e-06
dqn_s2042,dqn,2042,no_terminados,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s2042,dqn,2042,viaje_corredor_prom,30,102.7717,0.4508,0.1683,30,-2.96,"[-3.34, -2.60]",1.86e-09,30,-5.06,"[-5.29, -4.84]",1.86e-09
dqn_s2042,dqn,2042,retraso_corredor_prom,30,19.882,0.4265,0.1593,30,-13.65,"[-15.19, -12.14]",1.73e-06,30,-21.61,"[-22.48, -20.78]",1.86e-09
dqn_s2042,dqn,2042,retraso_corredor_punta,30,20.2093,0.504,0.1882,30,-18.1,"[-20.10, -16.12]",1.86e-09,30,-24.14,"[-25.12, -23.17]",1.86e-09
dqn_s2042,dqn,2042,paradas_corredor,30,0.6309,0.027,0.0101,30,-23.97,"[-26.39, -21.55]",1.73e-06,30,-37.34,"[-38.67, -36.04]",1.73e-06
dqn_s2042,dqn,2042,paradas_corredor_le1,30,0.9315,0.0133,0.005,30,3.13,"[1.93, 4.45]",3.89e-05,30,28.14,"[26.52, 29.79]",1.73e-06
dqn_s2042,dqn,2042,spillback_tasa,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s2042,dqn,2042,spillback_seg,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s2042,dqn,2042,spillback_eventos,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s2042,dqn,2042,cola_max_enlace,30,5.1333,1.1059,0.4129,30,-34.75,"[-40.33, -28.44]",3.9e-06,30,-28.7,"[-33.95, -22.79]",4.67e-06
dqn_s2042,dqn,2042,veh_max_enlace,30,10.5333,0.7761,0.2898,30,-28.34,"[-32.54, -23.72]",2.54e-06,30,-16.62,"[-19.84, -13.17]",4.8e-06
dqn_s2042,dqn,2042,ret_retraso,30,-34647.2013,588.3723,219.7018,30,4.52,"[3.46, 5.62]",1.86e-09,30,2.59,"[1.85, 3.33]",8.33e-07
dqn_s2042,dqn,2042,ret_colas,30,-14391.6917,425.6029,158.9227,30,4.56,"[3.16, 6.01]",1.99e-06,30,-9.65,"[-11.29, -8.08]",1.86e-09
dqn_s2042,dqn,2042,ret_spill,30,-34647.2013,588.3723,219.7018,30,4.52,"[3.46, 5.62]",1.86e-09,30,2.59,"[1.85, 3.33]",8.33e-07
dqn_s2042,dqn,2042,vehiculos,30,1810.0,0.0,0.0,30,0.0,"[0.00, 0.00]",1,30,0.0,"[0.00, 0.00]",1
dqn_s2042,dqn,2042,recompensa,30,-2650.7867,86.033,32.1253,30,-5.32,"[-6.88, -3.81]",2.55e-07,30,10.72,"[8.95, 12.61]",1.86e-09
dqn_s2042,dqn,2042,decisiones,30,1251.5667,4.7466,1.7724,30,-15.36,"[-15.47, -15.24]",1.71e-06,30,-15.47,"[-15.57, -15.35]",1.68e-06
dqn_s4042,dqn,4042,timeloss_prom,30,20.5603,0.4282,0.1599,30,-3.46,"[-4.85, -2.21]",2.35e-06,30,-2.44,"[-3.30, -1.56]",1.22e-05
dqn_s4042,dqn,4042,espera_prom,30,6.917,0.255,0.0952,30,-2.03,"[-4.37, 0.08]",0.147,30,14.67,"[12.37, 17.04]",1.73e-06
dqn_s4042,dqn,4042,cola_prom,30,3.791,0.1201,0.0448,30,-1.63,"[-3.65, 0.20]",0.191,30,12.28,"[10.33, 14.26]",1.73e-06
dqn_s4042,dqn,4042,cola_max,30,14.3667,1.4735,0.5502,30,-10.95,"[-14.75, -7.05]",0.000108,30,-14.65,"[-18.45, -10.34]",2.55e-05
dqn_s4042,dqn,4042,paradas_prom,30,0.7086,0.0199,0.0074,30,-12.1,"[-14.13, -10.22]",1.73e-06,30,-15.21,"[-16.43, -13.93]",1.73e-06
dqn_s4042,dqn,4042,throughput,30,1766.5,2.1616,0.8071,30,-0.13,"[-0.18, -0.07]",0.000635,30,0.02,"[-0.03, 0.06]",0.471
dqn_s4042,dqn,4042,co2_prom,30,218.3267,0.9613,0.359,30,-0.81,"[-1.09, -0.55]",1.19e-05,30,-1.61,"[-1.81, -1.42]",1.72e-06
dqn_s4042,dqn,4042,nox_prom,30,75.1433,0.3245,0.1212,30,-0.75,"[-1.04, -0.49]",1.65e-05,30,-1.19,"[-1.39, -1.00]",1.7e-06
dqn_s4042,dqn,4042,recompensa_decision,30,-1.8723,0.0669,0.025,30,-1.11,"[-3.35, 0.92]",0.491,30,15.77,"[13.48, 18.20]",1.73e-06
dqn_s4042,dqn,4042,cambios_fase,30,374.6333,3.2535,1.2149,30,-8.74,"[-9.02, -8.47]",1.66e-06,30,-18.15,"[-18.61, -17.69]",1.7e-06
dqn_s4042,dqn,4042,no_terminados,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s4042,dqn,4042,viaje_corredor_prom,30,102.6727,0.5585,0.2085,30,-3.05,"[-3.50, -2.63]",1.86e-09,30,-5.15,"[-5.39, -4.91]",1.73e-06
dqn_s4042,dqn,4042,retraso_corredor_prom,30,19.7873,0.5207,0.1944,30,-14.06,"[-15.87, -12.29]",1.73e-06,30,-21.98,"[-22.84, -21.06]",1.73e-06
dqn_s4042,dqn,4042,retraso_corredor_punta,30,20.3033,0.6122,0.2286,30,-17.72,"[-19.97, -15.53]",1.73e-06,30,-23.79,"[-24.83, -22.68]",1.86e-09
dqn_s4042,dqn,4042,paradas_corredor,30,0.6131,0.0348,0.013,30,-26.12,"[-29.05, -23.17]",1.73e-06,30,-39.11,"[-40.55, -37.58]",1.86e-09
dqn_s4042,dqn,4042,paradas_corredor_le1,30,0.933,0.0176,0.0066,30,3.3,"[1.87, 4.87]",0.000205,30,28.35,"[26.61, 30.14]",1.73e-06
dqn_s4042,dqn,4042,spillback_tasa,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s4042,dqn,4042,spillback_seg,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s4042,dqn,4042,spillback_eventos,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s4042,dqn,4042,cola_max_enlace,30,5.3,1.4179,0.5294,30,-32.63,"[-39.59, -24.89]",8.71e-06,30,-26.39,"[-33.33, -18.89]",1.79e-05
dqn_s4042,dqn,4042,veh_max_enlace,30,10.7,0.7022,0.2622,30,-27.21,"[-31.25, -23.04]",1.57e-06,30,-15.3,"[-18.18, -12.23]",4.88e-06
dqn_s4042,dqn,4042,ret_retraso,30,-35197.55,739.2843,276.0533,30,3.0,"[1.67, 4.50]",4.41e-05,30,1.05,"[0.05, 2.01]",0.0523
dqn_s4042,dqn,4042,ret_colas,30,-15024.821,499.1227,186.3755,30,0.36,"[-1.53, 2.47]",0.935,30,-14.48,"[-16.60, -12.39]",1.86e-09
dqn_s4042,dqn,4042,ret_spill,30,-35197.55,739.2843,276.0533,30,3.0,"[1.67, 4.50]",4.41e-05,30,1.05,"[0.05, 2.01]",0.0523
dqn_s4042,dqn,4042,vehiculos,30,1810.0,0.0,0.0,30,0.0,"[0.00, 0.00]",1,30,0.0,"[0.00, 0.00]",1
dqn_s4042,dqn,4042,recompensa,30,-2769.86,99.0631,36.9908,30,-1.06,"[-3.32, 0.98]",0.503,30,15.69,"[13.40, 18.11]",1.86e-09
dqn_s4042,dqn,4042,decisiones,30,1257.3333,3.8267,1.4289,30,-14.97,"[-15.06, -14.87]",1.69e-06,30,-15.08,"[-15.18, -14.98]",1.69e-06
dqn_s42,dqn,42,timeloss_prom,30,20.786,0.3156,0.1179,30,-2.4,"[-3.62, -1.21]",0.00138,30,-1.37,"[-2.06, -0.68]",0.00214
dqn_s42,dqn,42,espera_prom,30,6.668,0.2203,0.0823,30,-5.56,"[-7.39, -3.80]",1.8e-05,30,10.54,"[8.90, 12.27]",1.73e-06
dqn_s42,dqn,42,cola_prom,30,3.6627,0.1003,0.0374,30,-4.96,"[-6.50, -3.46]",1.13e-05,30,8.48,"[7.13, 9.89]",1.73e-06
dqn_s42,dqn,42,cola_max,30,14.1333,0.8996,0.3359,30,-12.4,"[-16.87, -7.44]",0.000514,30,-16.04,"[-18.74, -13.28]",2.25e-06
dqn_s42,dqn,42,paradas_prom,30,0.7788,0.0149,0.0056,30,-3.39,"[-5.27, -1.60]",0.00372,30,-6.82,"[-7.95, -5.65]",1.73e-06
dqn_s42,dqn,42,throughput,30,1766.4,2.0778,0.7759,30,-0.13,"[-0.19, -0.07]",0.000719,30,0.01,"[-0.04, 0.06]",0.549
dqn_s42,dqn,42,co2_prom,30,219.9167,0.5814,0.2171,30,-0.08,"[-0.32, 0.15]",0.539,30,-0.9,"[-1.05, -0.75]",1.72e-06
dqn_s42,dqn,42,nox_prom,30,75.5633,0.1956,0.073,30,-0.19,"[-0.43, 0.04]",0.149,30,-0.64,"[-0.79, -0.50]",3.66e-06
dqn_s42,dqn,42,recompensa_decision,30,-1.7881,0.058,0.0216,30,-5.55,"[-7.25, -3.88]",1.64e-05,30,10.57,"[8.97, 12.25]",1.73e-06
dqn_s42,dqn,42,cambios_fase,30,428.5333,5.1175,1.9109,30,4.39,"[3.97, 4.82]",1.71e-06,30,-6.37,"[-6.86, -5.88]",1.72e-06
dqn_s42,dqn,42,no_terminados,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s42,dqn,42,viaje_corredor_prom,30,105.254,0.3859,0.1441,30,-0.62,"[-1.05, -0.21]",0.0243,30,-2.77,"[-2.98, -2.58]",1.73e-06
dqn_s42,dqn,42,retraso_corredor_prom,30,22.3663,0.336,0.1255,30,-2.86,"[-4.75, -0.99]",0.0252,30,-11.81,"[-12.66, -11.07]",1.86e-09
dqn_s42,dqn,42,retraso_corredor_punta,30,22.673,0.449,0.1677,30,-8.12,"[-10.66, -5.58]",1.68e-06,30,-14.89,"[-15.90, -13.95]",1.86e-09
dqn_s42,dqn,42,paradas_corredor,30,0.8065,0.024,0.009,30,-2.8,"[-6.10, 0.38]",0.249,30,-19.9,"[-21.35, -18.52]",1.73e-06
dqn_s42,dqn,42,paradas_corredor_le1,30,0.8831,0.0143,0.0053,30,-2.22,"[-3.52, -0.77]",0.00726,30,21.48,"[20.13, 23.03]",1.73e-06
dqn_s42,dqn,42,spillback_tasa,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s42,dqn,42,spillback_seg,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s42,dqn,42,spillback_eventos,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s42,dqn,42,cola_max_enlace,30,5.2667,0.7849,0.2931,30,-33.05,"[-38.25, -27.51]",2.41e-06,30,-26.85,"[-31.98, -21.63]",4.54e-06
dqn_s42,dqn,42,veh_max_enlace,30,10.8,0.5509,0.2057,30,-26.53,"[-30.65, -22.27]",2.32e-06,30,-14.51,"[-17.53, -11.50]",6.5e-06
dqn_s42,dqn,42,ret_retraso,30,-35319.4013,569.2086,212.546,30,2.67,"[1.45, 3.94]",0.000232,30,0.7,"[-0.01, 1.43]",0.146
dqn_s42,dqn,42,ret_colas,30,-14397.3707,419.1135,156.4996,30,4.52,"[2.98, 6.13]",3.79e-06,30,-9.7,"[-11.18, -8.28]",1.86e-09
dqn_s42,dqn,42,ret_spill,30,-35319.4013,569.2086,212.546,30,2.67,"[1.45, 3.94]",0.000232,30,0.7,"[-0.01, 1.43]",0.146
dqn_s42,dqn,42,vehiculos,30,1810.0,0.0,0.0,30,0.0,"[0.00, 0.00]",1,30,0.0,"[0.00, 0.00]",1
dqn_s42,dqn,42,recompensa,30,-2648.6933,85.093,31.7742,30,-5.39,"[-7.12, -3.71]",1.68e-06,30,10.63,"[9.04, 12.30]",1.86e-09
dqn_s42,dqn,42,decisiones,30,1226.8333,5.8137,2.1709,30,-17.03,"[-17.17, -16.88]",1.71e-06,30,-17.14,"[-17.26, -17.01]",1.68e-06
ippo_local_s2042,ippo_local,2042,timeloss_prom,30,21.1857,0.3651,0.1363,30,-0.52,"[-1.66, 0.51]",0.711,30,0.53,"[-0.36, 1.38]",0.106
ippo_local_s2042,ippo_local,2042,espera_prom,30,7.274,0.1895,0.0708,30,3.02,"[1.36, 4.51]",0.000637,30,20.59,"[18.48, 22.64]",1.73e-06
ippo_local_s2042,ippo_local,2042,cola_prom,30,3.9603,0.0948,0.0354,30,2.77,"[1.29, 4.09]",0.000518,30,17.3,"[15.55, 19.03]",1.73e-06
ippo_local_s2042,ippo_local,2042,cola_max,30,15.3667,1.2726,0.4752,30,-4.75,"[-8.66, -0.66]",0.0401,30,-8.71,"[-12.88, -4.40]",0.0017
ippo_local_s2042,ippo_local,2042,paradas_prom,30,0.7762,0.0156,0.0058,30,-3.72,"[-5.55, -2.02]",0.00124,30,-7.13,"[-8.46, -5.77]",2.56e-06
ippo_local_s2042,ippo_local,2042,throughput,30,1766.4333,2.4591,0.9182,30,-0.13,"[-0.20, -0.06]",0.0023,30,0.01,"[-0.05, 0.07]",0.681
ippo_local_s2042,ippo_local,2042,co2_prom,30,219.1233,0.8165,0.3049,30,-0.45,"[-0.68, -0.23]",0.000738,30,-1.25,"[-1.45, -1.07]",1.72e-06
ippo_local_s2042,ippo_local,2042,nox_prom,30,75.4533,0.2675,0.0999,30,-0.34,"[-0.57, -0.13]",0.004,30,-0.78,"[-0.98, -0.61]",2.5e-06
ippo_local_s2042,ippo_local,2042,recompensa_decision,30,-1.9627,0.0522,0.0195,30,3.67,"[2.11, 5.04]",0.000136,30,21.37,"[19.54, 23.22]",1.73e-06
ippo_local_s2042,ippo_local,2042,cambios_fase,30,368.1667,2.9721,1.1098,30,-10.31,"[-10.58, -10.04]",1.65e-06,30,-19.56,"[-19.97, -19.15]",1.71e-06
ippo_local_s2042,ippo_local,2042,no_terminados,30,0.0,0.0,0.0,30,,,,30,,,
ippo_local_s2042,ippo_local,2042,viaje_corredor_prom,30,104.542,0.6021,0.2248,30,-1.29,"[-1.70, -0.91]",5.47e-06,30,-3.43,"[-3.71, -3.16]",1.86e-09
ippo_local_s2042,ippo_local,2042,retraso_corredor_prom,30,21.6537,0.5168,0.193,30,-5.95,"[-7.73, -4.26]",5.75e-06,30,-14.62,"[-15.74, -13.58]",1.86e-09
ippo_local_s2042,ippo_local,2042,retraso_corredor_punta,30,22.9993,0.735,0.2744,30,-6.8,"[-9.23, -4.48]",1.56e-05,30,-13.67,"[-15.04, -12.33]",1.86e-09
ippo_local_s2042,ippo_local,2042,paradas_corredor,30,0.77,0.0311,0.0116,30,-7.2,"[-10.31, -4.18]",0.000688,30,-23.53,"[-25.45, -21.62]",1.73e-06
ippo_local_s2042,ippo_local,2042,paradas_corredor_le1,30,0.8933,0.0167,0.0062,30,-1.1,"[-2.36, 0.27]",0.102,30,22.88,"[20.90, 25.03]",1.73e-06
ippo_local_s2042,ippo_local,2042,spillback_tasa,30,0.0,0.0,0.0,30,,,,30,,,
ippo_local_s2042,ippo_local,2042,spillback_seg,30,0.0,0.0,0.0,30,,,,30,,,
ippo_local_s2042,ippo_local,2042,spillback_eventos,30,0.0,0.0,0.0,30,,,,30,,,
ippo_local_s2042,ippo_local,2042,cola_max_enlace,30,7.0667,0.9444,0.3527,30,-10.17,"[-16.05, -3.88]",0.00635,30,-1.85,"[-7.24, 4.33]",0.513
ippo_local_s2042,ippo_local,2042,veh_max_enlace,30,12.6,1.4527,0.5424,30,-14.29,"[-19.35, -9.03]",0.00016,30,-0.26,"[-4.96, 4.84]",0.806
ippo_local_s2042,ippo_local,2042,ret_retraso,30,-36391.954,673.1013,251.3402,30,-0.29,"[-1.41, 0.94]",0.309,30,-2.31,"[-3.21, -1.36]",9.9e-05
ippo_local_s2042,ippo_local,2042,ret_colas,30,-15684.4667,383.2407,143.1044,30,-4.01,"[-5.34, -2.52]",1.6e-05,30,-19.5,"[-21.31, -17.67]",1.86e-09
ippo_local_s2042,ippo_local,2042,ret_spill,30,-36391.954,673.1013,251.3402,30,-0.29,"[-1.41, 0.94]",0.309,30,-2.31,"[-3.21, -1.36]",9.9e-05
ippo_local_s2042,ippo_local,2042,vehiculos,30,1810.0,0.0,0.0,30,0.0,"[0.00, 0.00]",1,30,0.0,"[0.00, 0.00]",1
ippo_local_s2042,ippo_local,2042,recompensa,30,-2911.63,76.2203,28.4611,30,4.0,"[2.44, 5.38]",2.08e-05,30,21.62,"[19.79, 23.47]",1.86e-09
ippo_local_s2042,ippo_local,2042,decisiones,30,1265.0333,4.5142,1.6856,30,-14.45,"[-14.58, -14.33]",1.71e-06,30,-14.56,"[-14.66, -14.45]",1.7e-06
ippo_local_s4042,ippo_local,4042,timeloss_prom,30,21.2143,0.3934,0.1469,30,-0.39,"[-1.72, 0.90]",0.773,30,0.67,"[-0.24, 1.55]",0.162
ippo_local_s4042,ippo_local,4042,espera_prom,30,7.3673,0.2444,0.0912,30,4.34,"[2.21, 6.47]",0.000927,30,22.14,"[19.94, 24.35]",1.73e-06
