brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
fijo,fijo,,1001,20.76,7.41,9.34,30,0.689,4211,278.9,97.4,-1.053,1476,0,121.8,16.31,16.95,0.447,0.996,0.0,0,0,3,8,-83666.7,-37811.7,-83666.7,4350,-7148.1,6786
fijo,fijo,,1002,20.83,7.45,9.46,30,0.684,4209,278.8,97.3,-1.063,1462,0,121.76,16.21,16.81,0.44,0.994,0.0,0,0,3,8,-84505.4,-37995.3,-84505.4,4350,-7154.9,6732
fijo,fijo,,1003,20.63,7.3,9.2,29,0.678,4211,278.6,97.3,-1.034,1476,0,121.87,16.24,16.49,0.444,0.996,0.0,0,0,3,8,-83062.9,-37220.3,-83062.9,4350,-7016.1,6786
fijo,fijo,,1004,20.75,7.38,9.31,31,0.687,4211,278.7,97.3,-1.051,1476,0,122.17,16.78,17.56,0.462,0.996,0.0,0,0,2,8,-83520.6,-37715.6,-83520.6,4350,-7144.5,6795
fijo,fijo,,1005,20.9,7.45,9.32,28,0.689,4212,279.2,97.5,-1.053,1480,0,122.85,16.88,17.53,0.464,0.994,0.0,0,0,2,8,-84926.0,-37879.3,-84926.0,4350,-7172.9,6813
fijo,fijo,,1006,20.68,7.35,9.27,28,0.68,4211,278.7,97.3,-1.044,1471,0,122.63,16.77,17.41,0.449,0.994,0.0,0,0,2,8,-83390.6,-37451.7,-83390.6,4350,-7074.9,6777
fijo,fijo,,1007,20.76,7.42,9.42,28,0.69,4210,278.9,97.4,-1.063,1462,0,122.03,16.47,17.05,0.449,0.996,0.0,0,0,2,8,-83684.1,-37814.6,-83684.1,4350,-7154.2,6732
fijo,fijo,,1008,20.9,7.45,9.44,31,0.694,4212,279.2,97.5,-1.066,1462,0,122.14,16.68,17.24,0.462,0.995,0.0,0,0,3,8,-84512.6,-37920.6,-84512.6,4350,-7187.8,6741
fijo,fijo,,1009,20.68,7.35,9.28,28,0.68,4211,278.6,97.3,-1.045,1471,0,122.19,16.41,16.84,0.448,0.994,0.0,0,0,2,8,-83799.3,-37503.4,-83799.3,4350,-7082.3,6777
fijo,fijo,,1010,20.68,7.36,9.35,28,0.683,4212,278.6,97.3,-1.054,1462,0,121.43,16.21,16.76,0.431,0.995,0.0,0,0,2,7,-82987.6,-37514.0,-82987.6,4350,-7098.2,6732
fijo,fijo,,1011,20.8,7.4,9.31,30,0.703,4207,278.9,97.4,-1.05,1471,0,123.32,16.8,17.32,0.459,0.994,0.0,0,0,3,8,-84256.7,-37574.9,-84256.7,4350,-7112.8,6777
fijo,fijo,,1012,20.68,7.38,9.27,31,0.68,4208,278.6,97.3,-1.043,1480,0,121.33,16.28,16.65,0.448,0.998,0.0,0,0,3,8,-83288.0,-37644.9,-83288.0,4350,-7105.1,6813
fijo,fijo,,1013,20.97,7.49,9.51,32,0.699,4209,279.2,97.4,-1.078,1462,0,121.98,16.4,17.0,0.451,0.995,0.0,0,0,2,8,-85340.6,-38203.4,-85340.6,4350,-7254.1,6732
fijo,fijo,,1014,21.17,7.68,9.67,29,0.698,4206,279.7,97.6,-1.095,1471,0,121.82,16.48,17.0,0.449,0.992,0.0,0,0,3,9,-85772.4,-39003.3,-85772.4,4350,-7390.4,6750
fijo,fijo,,1015,20.88,7.45,9.41,29,0.693,4213,279.1,97.4,-1.065,1466,0,122.6,16.72,17.4,0.466,0.995,0.0,0,0,2,7,-84390.7,-37871.2,-84390.7,4350,-7189.7,6750
fijo,fijo,,1016,20.94,7.5,9.44,28,0.694,4212,279.3,97.5,-1.068,1471,0,121.3,16.17,16.66,0.444,0.991,0.0,0,0,2,8,-84111.6,-38073.9,-84111.6,4350,-7226.7,6768
fijo,fijo,,1017,20.94,7.51,9.45,31,0.693,4209,279.4,97.5,-1.067,1471,0,121.84,16.46,17.07,0.451,0.995,0.0,0,0,3,8,-84784.6,-38246.1,-84784.6,4350,-7238.7,6786
fijo,fijo,,1018,20.84,7.49,9.41,28,0.69,4207,278.7,97.3,-1.066,1471,0,121.96,16.6,16.94,0.469,0.987,0.0,0,0,3,8,-83933.6,-38034.8,-83933.6,4350,-7227.4,6777
fijo,fijo,,1019,20.85,7.41,9.38,30,0.689,4211,279.3,97.5,-1.055,1466,0,121.35,16.1,16.52,0.445,0.991,0.0,0,0,3,9,-84610.0,-37739.6,-84610.0,4350,-7123.1,6750
fijo,fijo,,1020,20.89,7.51,9.53,28,0.698,4205,278.9,97.4,-1.076,1462,0,121.61,16.26,16.61,0.452,0.994,0.0,0,0,2,9,-84179.6,-38263.2,-84179.6,4350,-7246.2,6732
fijo,fijo,,1021,20.75,7.43,9.39,29,0.693,4209,278.8,97.4,-1.062,1471,0,121.48,16.37,16.9,0.464,0.993,0.0,0,0,2,8,-83542.8,-37833.2,-83542.8,4350,-7167.8,6750
fijo,fijo,,1022,20.62,7.34,9.33,29,0.684,4207,278.3,97.2,-1.054,1466,0,122.33,16.33,16.99,0.445,0.995,0.0,0,0,2,8,-83623.8,-37512.0,-83623.8,4350,-7106.4,6741
fijo,fijo,,1023,20.95,7.44,9.39,32,0.699,4204,279.4,97.5,-1.058,1471,0,121.83,16.28,17.08,0.44,0.995,0.0,0,0,2,8,-84636.6,-37837.2,-84636.6,4350,-7159.6,6768
fijo,fijo,,1024,20.97,7.52,9.52,29,0.7,4210,279.0,97.4,-1.079,1466,0,122.12,16.39,16.79,0.445,0.993,0.0,0,0,2,8,-84691.8,-38329.7,-84691.8,4350,-7281.0,6750
fijo,fijo,,1025,20.83,7.49,9.44,29,0.694,4202,278.8,97.3,-1.065,1462,0,122.48,16.74,17.32,0.459,0.996,0.0,0,0,2,8,-83929.8,-37876.4,-83929.8,4350,-7171.2,6732
fijo,fijo,,1026,20.96,7.5,9.49,31,0.701,4206,279.3,97.5,-1.071,1462,0,122.58,16.82,17.32,0.468,0.996,0.0,0,0,2,8,-84296.2,-38074.4,-84296.2,4350,-7209.3,6732
fijo,fijo,,1027,20.78,7.41,9.39,32,0.687,4208,278.9,97.4,-1.054,1462,0,121.6,16.24,16.64,0.444,0.998,0.0,0,0,2,8,-83187.2,-37717.3,-83187.2,4350,-7094.6,6732
fijo,fijo,,1028,20.91,7.48,9.5,29,0.701,4205,279.4,97.5,-1.071,1462,0,122.07,16.49,16.76,0.453,0.993,0.0,0,0,2,8,-84578.9,-38161.5,-84578.9,4350,-7221.2,6741
fijo,fijo,,1029,20.89,7.51,9.5,30,0.694,4210,279.0,97.4,-1.07,1462,0,121.81,16.42,17.04,0.448,0.994,0.0,0,0,2,8,-84063.9,-38132.2,-84063.9,4350,-7205.1,6732
fijo,fijo,,1030,20.97,7.56,9.55,28,0.707,4211,279.3,97.5,-1.07,1462,0,122.08,16.54,17.07,0.465,0.993,0.0,0,0,3,8,-84333.7,-38304.2,-84333.7,4350,-7204.5,6732
actuado,actuado,,1001,25.16,7.87,10.04,33,1.233,4203,298.5,103.2,-1.091,2286,0,128.97,23.49,22.64,1.074,0.719,0.0,0,0,4,7,-94391.7,-39270.4,-94391.7,4350,-7343.4,6732
actuado,actuado,,1002,25.17,7.75,9.88,31,1.25,4203,298.9,103.3,-1.075,2292,0,129.23,23.67,23.51,1.1,0.691,0.0,0,0,4,7,-94454.7,-38604.2,-94454.7,4350,-7240.3,6732
actuado,actuado,,1003,24.95,7.59,9.66,30,1.246,4205,298.5,103.2,-1.055,2315,0,127.97,22.37,21.91,1.006,0.748,0.0,0,0,4,7,-93043.0,-37872.0,-93043.0,4350,-7129.8,6759
actuado,actuado,,1004,25.87,8.1,10.25,40,1.311,4201,300.9,104.0,-1.116,2313,0,130.28,24.86,25.32,1.212,0.633,0.0,0,0,4,7,-96580.2,-40206.7,-96580.2,4350,-7552.9,6768
