brazo,modelo,base,metrica,n,media,sd,ic95,n_par,delta_pct,delta_ic95,p_wilcoxon,n_par_act,delta_pct_act,delta_ic95_act,p_wilcoxon_act
fijo,fijo,,timeloss_prom,30,20.8387,0.1251,0.0467,,,,,,,,
fijo,fijo,,espera_prom,30,7.4473,0.0771,0.0288,,,,,,,,
fijo,fijo,,cola_prom,30,9.409,0.1014,0.0379,,,,,,,,
fijo,fijo,,cola_max,30,29.5,1.3582,0.5072,,,,,,,,
fijo,fijo,,paradas_prom,30,0.6917,0.0076,0.0028,,,,,,,,
fijo,fijo,,throughput,30,4208.9667,2.7604,1.0307,,,,,,,,
fijo,fijo,,co2_prom,30,278.9833,0.3228,0.1205,,,,,,,,
fijo,fijo,,nox_prom,30,97.4,0.0947,0.0354,,,,,,,,
fijo,fijo,,recompensa_decision,30,-1.0614,0.0127,0.0047,,,,,,,,
fijo,fijo,,cambios_fase,30,1467.8333,5.8961,2.2017,,,,,,,,
fijo,fijo,,no_terminados,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,viaje_corredor_prom,30,122.012,0.4739,0.177,,,,,,,,
fijo,fijo,,retraso_corredor_prom,30,16.4617,0.223,0.0833,,,,,,,,
fijo,fijo,,retraso_corredor_punta,30,16.9907,0.2967,0.1108,,,,,,,,
fijo,fijo,,paradas_corredor,30,0.452,0.0096,0.0036,,,,,,,,
fijo,fijo,,paradas_corredor_le1,30,0.9943,0.0022,0.0008,,,,,,,,
fijo,fijo,,spillback_tasa,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_seg,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_eventos,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,cola_max_enlace,30,2.3667,0.4901,0.183,,,,,,,,
fijo,fijo,,veh_max_enlace,30,8.0333,0.4138,0.1545,,,,,,,,
fijo,fijo,,ret_retraso,30,-84120.2767,665.3058,248.4293,,,,,,,,
