brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
fijo,fijo,,1001,21.63,7.24,4.04,15,0.61,2095,250.2,86.4,-1.44,490,0,155.41,23.36,24.38,0.497,0.98,0.0,0,0,2,9,-34868.9,-16409.5,-34868.9,2152,-3253.0,2259
fijo,fijo,,1002,21.53,7.23,3.93,15,0.598,2096,249.7,86.2,-1.391,490,0,155.31,23.16,24.18,0.456,0.991,0.0,0,0,2,10,-34206.6,-15893.8,-34206.6,2152,-3138.0,2256
fijo,fijo,,1003,22.39,7.89,4.15,15,0.63,2094,251.7,86.9,-1.486,492,0,155.78,23.65,24.68,0.487,0.984,0.0,0,0,2,9,-35414.4,-16892.8,-35414.4,2152,-3361.6,2262
fijo,fijo,,1004,21.91,7.67,3.94,16,0.618,2093,250.4,86.5,-1.411,490,0,154.78,23.1,24.2,0.477,0.988,0.0,0,0,2,9,-33963.7,-15935.0,-33963.7,2152,-3179.7,2253
fijo,fijo,,1005,21.61,7.35,4.0,15,0.609,2093,250.1,86.4,-1.425,488,0,154.75,23.24,24.37,0.482,0.99,0.0,0,0,1,10,-34251.6,-16142.1,-34251.6,2152,-3205.4,2250
fijo,fijo,,1006,21.76,7.39,4.03,13,0.615,2097,250.5,86.5,-1.434,490,0,155.33,23.52,24.45,0.492,0.983,0.0,0,0,2,9,-34569.3,-16339.9,-34569.3,2152,-3238.5,2259
fijo,fijo,,1007,21.77,7.38,4.01,14,0.61,2094,250.2,86.4,-1.436,488,0,155.29,23.34,24.3,0.473,0.984,0.0,0,0,2,10,-34598.4,-16201.6,-34598.4,2152,-3231.7,2250
fijo,fijo,,1008,21.76,7.37,4.02,16,0.61,2097,250.4,86.4,-1.435,488,0,155.74,23.79,24.89,0.494,0.986,0.0,0,0,2,9,-34535.4,-16239.8,-34535.4,2152,-3229.1,2250
fijo,fijo,,1009,22.15,7.45,4.09,15,0.611,2097,251.2,86.7,-1.451,490,0,156.76,24.43,25.76,0.496,0.986,0.0,0,0,2,10,-35338.0,-16569.4,-35338.0,2152,-3276.7,2259
fijo,fijo,,1010,21.31,7.16,3.92,15,0.595,2095,249.5,86.2,-1.396,490,0,154.54,22.88,24.15,0.463,0.993,0.0,0,0,2,10,-33948.6,-15872.5,-33948.6,2152,-3148.8,2256
