brazo,modelo,base,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,ret_retraso,ret_colas,ret_spill,vehiculos,recompensa,decisiones
fijo,fijo,,1001,26.72,11.19,5.35,17,0.74,2502,258.3,89.4,-1.873,490,0,153.7,21.82,22.8,0.414,0.984,0.0,0,0,2,10,-44633.4,-21981.7,-44633.4,2582,-4224.7,2256
fijo,fijo,,1002,31.48,15.04,5.35,16,0.838,2504,265.3,92.2,-1.875,490,0,153.14,21.28,22.12,0.4,0.985,0.0,0,0,2,10,-44476.9,-21978.9,-44476.9,2582,-4229.3,2256
fijo,fijo,,1003,34.93,17.12,5.36,18,0.937,2503,270.3,94.1,-1.878,490,0,153.69,21.74,22.93,0.403,0.991,0.0,0,0,2,10,-44805.1,-22051.4,-44805.1,2582,-4241.6,2259
fijo,fijo,,1004,31.0,14.62,5.26,17,0.851,2503,264.8,92.0,-1.84,490,0,152.58,21.16,22.19,0.4,0.992,0.0,0,0,2,10,-43735.0,-21624.2,-43735.0,2582,-4157.3,2259
fijo,fijo,,1005,29.89,13.64,5.35,16,0.801,2504,263.2,91.3,-1.868,490,0,153.25,21.5,22.49,0.39,0.99,0.0,0,0,2,10,-44461.3,-21980.9,-44461.3,2582,-4215.2,2256
fijo,fijo,,1006,29.88,13.64,5.34,16,0.826,2504,263.0,91.3,-1.875,488,0,153.23,21.35,22.21,0.405,0.991,0.0,0,0,2,10,-44147.3,-21881.5,-44147.3,2582,-4219.7,2250
fijo,fijo,,1007,32.67,15.52,5.37,17,0.899,2503,267.3,92.9,-1.879,490,0,154.34,22.33,23.26,0.441,0.987,0.0,0,0,2,9,-44771.4,-22036.2,-44771.4,2582,-4239.6,2256
fijo,fijo,,1008,28.26,12.55,5.4,17,0.756,2504,260.7,90.3,-1.89,488,0,153.75,21.65,22.51,0.41,0.991,0.0,0,0,2,10,-44884.2,-22163.9,-44884.2,2582,-4257.3,2253
fijo,fijo,,1009,25.77,10.36,5.35,16,0.697,2504,256.9,88.8,-1.873,488,0,154.25,22.01,23.03,0.399,0.986,0.0,0,0,3,10,-44826.7,-21908.2,-44826.7,2582,-4215.0,2250
fijo,fijo,,1010,28.07,12.28,5.4,17,0.765,2503,260.4,90.2,-1.89,488,0,153.59,21.77,22.72,0.413,0.988,0.0,0,0,3,10,-44706.4,-22117.5,-44706.4,2582,-4258.5,2253
fijo,fijo,,1011,33.79,16.37,5.34,16,0.912,2504,268.7,93.5,-1.864,488,0,153.76,21.52,22.45,0.403,0.991,0.0,0,0,2,10,-44327.1,-21855.5,-44327.1,2582,-4194.9,2250
fijo,fijo,,1012,33.73,16.51,5.4,17,0.904,2506,268.9,93.5,-1.886,490,0,153.08,21.72,22.65,0.409,0.988,0.0,0,0,3,11,-44517.7,-22190.3,-44517.7,2582,-4260.6,2259
fijo,fijo,,1013,27.89,11.91,5.25,17,0.746,2504,260.4,90.1,-1.832,490,0,154.47,22.25,23.73,0.408,0.992,0.0,0,0,3,10,-44709.2,-21521.1,-44709.2,2582,-4134.0,2256
fijo,fijo,,1014,27.24,11.68,5.36,16,0.742,2502,259.2,89.8,-1.879,490,0,153.39,21.62,22.54,0.397,0.985,0.0,0,0,2,9,-44336.3,-22015.6,-44336.3,2582,-4239.3,2256
fijo,fijo,,1015,33.35,16.45,5.42,16,0.841,2505,268.2,93.3,-1.892,490,0,153.37,21.76,22.84,0.409,0.987,0.0,0,0,2,10,-44612.4,-22252.4,-44612.4,2582,-4274.5,2259
fijo,fijo,,1016,33.45,16.31,5.35,17,0.906,2502,268.0,93.2,-1.871,490,0,152.76,21.17,22.27,0.391,0.993,0.0,0,0,2,10,-44380.9,-21994.7,-44380.9,2582,-4222.1,2256
fijo,fijo,,1017,27.18,11.73,5.27,16,0.748,2505,258.9,89.6,-1.839,494,0,154.17,21.7,22.44,0.396,0.988,0.0,0,0,2,10,-44386.7,-21810.2,-44386.7,2582,-4188.1,2277
fijo,fijo,,1018,31.61,14.84,5.29,17,0.847,2502,266.1,92.4,-1.844,494,0,154.15,22.18,23.2,0.405,0.989,0.0,0,0,2,10,-44659.1,-21946.4,-44659.1,2582,-4204.1,2280
fijo,fijo,,1019,30.04,13.65,5.39,16,0.803,2501,263.8,91.5,-1.886,488,0,154.38,22.55,23.62,0.44,0.984,0.0,0,0,2,11,-44976.7,-22096.0,-44976.7,2582,-4250.1,2253
fijo,fijo,,1020,27.2,11.5,5.26,17,0.745,2501,259.2,89.8,-1.835,490,0,153.73,21.78,23.02,0.405,0.993,0.0,0,0,2,10,-44180.8,-21584.1,-44180.8,2582,-4134.4,2253
fijo,fijo,,1021,32.23,15.36,5.42,18,0.869,2506,266.7,92.7,-1.895,488,0,152.92,21.49,22.48,0.399,0.991,0.0,0,0,2,10,-44507.7,-22216.1,-44507.7,2582,-4269.1,2253
fijo,fijo,,1022,32.29,15.26,5.34,16,0.878,2505,266.5,92.6,-1.859,488,0,153.64,21.57,22.76,0.396,0.994,0.0,0,0,2,10,-44635.9,-21872.5,-44635.9,2582,-4187.8,2253
fijo,fijo,,1023,32.41,15.53,5.4,16,0.852,2501,266.9,92.8,-1.886,490,0,153.39,21.63,22.45,0.404,0.987,0.0,0,0,3,10,-44673.1,-22147.2,-44673.1,2582,-4249.7,2253
fijo,fijo,,1024,31.47,14.75,5.34,16,0.86,2507,265.3,92.2,-1.857,488,0,153.51,21.45,22.51,0.39,0.99,0.0,0,0,2,10,-44347.0,-21898.6,-44347.0,2582,-4179.1,2250
fijo,fijo,,1025,28.65,12.61,5.36,18,0.798,2504,261.4,90.6,-1.872,488,0,153.49,21.79,22.94,0.406,0.993,0.0,0,0,2,10,-44272.8,-21973.0,-44272.8,2582,-4218.4,2253
fijo,fijo,,1026,29.72,13.61,5.23,16,0.79,2504,262.7,91.1,-1.826,488,0,153.14,21.61,22.5,0.395,0.989,0.0,0,0,2,9,-43711.9,-21416.4,-43711.9,2582,-4114.5,2253
fijo,fijo,,1027,28.51,12.64,5.32,16,0.77,2502,261.0,90.5,-1.856,488,0,153.51,21.85,23.09,0.41,0.989,0.0,0,0,2,10,-44167.3,-21784.7,-44167.3,2582,-4176.3,2250
fijo,fijo,,1028,25.98,10.5,5.32,15,0.719,2505,257.3,89.0,-1.856,490,0,154.21,22.2,23.37,0.422,0.983,0.0,0,0,2,10,-44724.1,-21828.7,-44724.1,2582,-4186.1,2256
fijo,fijo,,1029,27.94,12.28,5.36,18,0.75,2502,259.7,90.0,-1.86,488,0,153.73,21.84,22.89,0.421,0.991,0.0,0,0,2,10,-44532.3,-21959.8,-44532.3,2582,-4191.5,2253
fijo,fijo,,1030,28.2,12.5,5.34,16,0.761,2505,260.8,90.4,-1.86,488,0,153.27,21.68,22.78,0.415,0.985,0.0,0,0,2,9,-44182.7,-21858.7,-44182.7,2582,-4190.5,2253
actuado,actuado,,1001,26.36,8.65,4.01,22,0.952,2506,265.4,91.1,-1.322,747,0,163.75,31.86,33.21,1.151,0.674,0.0,0,0,5,11,-42849.0,-15749.8,-42849.0,2582,-2979.3,2253
actuado,actuado,,1002,31.92,12.89,3.67,19,1.06,2510,273.0,94.1,-1.201,749,0,161.85,30.02,30.11,1.029,0.719,0.0,0,0,5,10,-40884.7,-14431.5,-40884.7,2582,-2708.4,2256
actuado,actuado,,1003,33.05,13.64,3.82,19,1.106,2505,274.8,94.8,-1.256,743,0,162.35,30.39,30.8,1.062,0.704,0.0,0,0,5,10,-41737.7,-15095.0,-41737.7,2582,-2844.8,2265
actuado,actuado,,1004,30.75,12.13,3.8,18,1.088,2505,272.0,93.7,-1.245,761,0,162.42,31.01,31.92,1.152,0.656,0.0,0,0,6,11,-41505.3,-14979.8,-41505.3,2582,-2815.8,2262
actuado,actuado,,1005,30.74,11.79,4.09,20,1.104,2504,272.6,93.8,-1.344,756,0,164.83,33.07,34.72,1.264,0.605,0.0,0,0,5,9,-44105.0,-16068.5,-44105.0,2582,-3031.4,2256
actuado,actuado,,1006,31.27,12.57,3.74,19,1.029,2511,271.6,93.7,-1.24,741,0,161.7,29.82,29.1,1.008,0.735,0.0,0,0,5,10,-40723.8,-14694.0,-40723.8,2582,-2790.2,2250
actuado,actuado,,1007,30.72,12.03,3.93,18,1.065,2508,271.8,93.6,-1.284,744,0,163.72,31.7,32.36,1.148,0.672,0.0,0,0,5,9,-42600.4,-15463.6,-42600.4,2582,-2895.7,2256
actuado,actuado,,1008,27.54,9.91,3.73,21,0.93,2510,266.0,91.5,-1.234,739,0,162.04,29.94,29.35,0.996,0.743,0.0,0,0,6,11,-40938.1,-14673.0,-40938.1,2582,-2783.2,2256
actuado,actuado,,1009,25.99,8.36,3.77,19,0.915,2511,265.2,91.0,-1.244,755,0,163.33,31.1,31.47,1.074,0.699,0.0,0,0,5,10,-42007.8,-14829.3,-42007.8,2582,-2811.1,2259
actuado,actuado,,1010,30.73,11.8,3.78,21,1.072,2510,272.3,93.7,-1.243,762,0,163.26,31.42,31.88,1.142,0.651,0.0,0,0,6,9,-41815.6,-14883.3,-41815.6,2582,-2811.5,2262
actuado,actuado,,1011,33.57,14.12,3.95,28,1.128,2511,274.9,94.9,-1.314,735,0,162.63,30.43,30.54,1.073,0.695,0.0,0,0,5,10,-42098.2,-15498.0,-42098.2,2582,-2951.9,2247
actuado,actuado,,1012,32.39,13.58,3.84,18,1.043,2506,273.3,94.3,-1.257,738,0,161.89,30.52,30.6,1.041,0.716,0.0,0,0,5,9,-41098.2,-15124.9,-41098.2,2582,-2835.2,2256
actuado,actuado,,1013,28.96,10.59,3.97,19,0.999,2502,268.5,92.3,-1.3,739,0,164.28,32.05,32.97,1.116,0.693,0.0,0,0,6,11,-42922.0,-15637.2,-42922.0,2582,-2935.8,2259
actuado,actuado,,1014,28.32,10.29,4.01,19,1.007,2505,267.9,92.1,-1.317,752,0,163.86,32.13,33.4,1.194,0.648,0.0,0,0,5,10,-42868.0,-15766.8,-42868.0,2582,-2975.5,2259
actuado,actuado,,1015,30.91,12.72,3.79,18,0.982,2506,270.7,93.4,-1.257,742,0,161.3,29.68,29.25,0.981,0.743,0.0,0,0,5,10,-40544.9,-14941.0,-40544.9,2582,-2842.7,2262
