brazo,modelo,base,metrica,n,media,sd,ic95,n_par,delta_pct,delta_ic95,p_wilcoxon,n_par_act,delta_pct_act,delta_ic95_act,p_wilcoxon_act
fijo,fijo,,timeloss_prom,30,30.0517,2.6115,0.9752,,,,,,,,
fijo,fijo,,espera_prom,30,13.7317,1.9545,0.7298,,,,,,,,
fijo,fijo,,cola_prom,30,5.343,0.0504,0.0188,,,,,,,,
fijo,fijo,,cola_max,30,16.5667,0.7739,0.289,,,,,,,,
fijo,fijo,,paradas_prom,30,0.8117,0.0659,0.0246,,,,,,,,
fijo,fijo,,throughput,30,2503.5667,1.5687,0.5858,,,,,,,,
fijo,fijo,,co2_prom,30,263.33,3.8586,1.4408,,,,,,,,
fijo,fijo,,nox_prom,30,91.37,1.5162,0.5661,,,,,,,,
fijo,fijo,,recompensa_decision,30,-1.8665,0.0192,0.0072,,,,,,,,
fijo,fijo,,cambios_fase,30,489.3333,1.6046,0.5992,,,,,,,,
fijo,fijo,,no_terminados,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,viaje_corredor_prom,30,153.5863,0.4867,0.1818,,,,,,,,
fijo,fijo,,retraso_corredor_prom,30,21.7323,0.329,0.1228,,,,,,,,
fijo,fijo,,retraso_corredor_punta,30,22.7597,0.4073,0.1521,,,,,,,,
fijo,fijo,,paradas_corredor,30,0.4065,0.0124,0.0046,,,,,,,,
fijo,fijo,,paradas_corredor_le1,30,0.9889,0.0031,0.0011,,,,,,,,
fijo,fijo,,spillback_tasa,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_seg,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_eventos,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,cola_max_enlace,30,2.1667,0.379,0.1415,,,,,,,,
fijo,fijo,,veh_max_enlace,30,9.9333,0.4498,0.1679,,,,,,,,
fijo,fijo,,ret_retraso,30,-44476.3133,303.9073,113.4808,,,,,,,,
fijo,fijo,,ret_colas,30,-21931.5467,201.194,75.1271,,,,,,,,
fijo,fijo,,ret_spill,30,-44476.3133,303.9073,113.4808,,,,,,,,
fijo,fijo,,vehiculos,30,2582.0,0.0,0.0,,,,,,,,
fijo,fijo,,recompensa,30,-4210.7767,41.3823,15.4524,,,,,,,,
fijo,fijo,,decisiones,30,2255.8,6.7742,2.5295,,,,,,,,
actuado,actuado,,timeloss_prom,30,30.038,2.4108,0.9002,30,-0.05,"[-1.45, 1.42]",0.869,,,,
actuado,actuado,,espera_prom,30,11.5333,1.7746,0.6626,30,-16.01,"[-17.85, -14.04]",1.73e-06,,,,
actuado,actuado,,cola_prom,30,3.8617,0.1241,0.0463,30,-27.72,"[-28.57, -26.86]",1.73e-06,,,,
actuado,actuado,,cola_max,30,19.7,2.3364,0.8724,30,18.91,"[14.00, 24.65]",2.31e-06,,,,
actuado,actuado,,paradas_prom,30,1.0298,0.0695,0.026,30,26.87,"[24.60, 29.20]",1.73e-06,,,,
actuado,actuado,,throughput,30,2507.9333,2.7029,1.0093,30,0.17,"[0.13, 0.21]",7.71e-06,,,,
actuado,actuado,,co2_prom,30,270.43,3.6617,1.3673,30,2.7,"[2.41, 2.99]",1.73e-06,,,,
actuado,actuado,,nox_prom,30,93.1,1.4012,0.5232,30,1.89,"[1.59, 2.20]",1.73e-06,,,,
actuado,actuado,,recompensa_decision,30,-1.2709,0.0421,0.0157,30,-31.91,"[-32.73, -31.06]",1.73e-06,,,,
actuado,actuado,,cambios_fase,30,747.0667,8.004,2.9888,30,52.67,"[52.08, 53.27]",1.72e-06,,,,
actuado,actuado,,no_terminados,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,viaje_corredor_prom,30,162.9407,0.9422,0.3518,30,6.09,"[5.89, 6.31]",1.73e-06,,,,
actuado,actuado,,retraso_corredor_prom,30,31.09,0.9004,0.3362,30,43.06,"[41.56, 44.68]",1.73e-06,,,,
actuado,actuado,,retraso_corredor_punta,30,31.6163,1.4927,0.5574,30,38.91,"[36.72, 41.26]",1.73e-06,,,,
actuado,actuado,,paradas_corredor,30,1.0978,0.0703,0.0263,30,170.03,"[163.01, 177.57]",1.73e-06,,,,
actuado,actuado,,paradas_corredor_le1,30,0.6867,0.0356,0.0133,30,-30.56,"[-31.88, -29.31]",1.73e-06,,,,
actuado,actuado,,spillback_tasa,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,spillback_seg,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,spillback_eventos,30,0.0,0.0,0.0,30,,,,,,,
actuado,actuado,,cola_max_enlace,30,5.3333,0.5467,0.2041,30,146.15,"[130.43, 161.90]",7.6e-07,,,,
actuado,actuado,,veh_max_enlace,30,10.0667,0.8277,0.3091,30,1.34,"[-2.01, 4.67]",0.462,,,,
actuado,actuado,,ret_retraso,30,-41952.5733,946.1293,353.2905,30,5.67,"[4.91, 6.43]",1.86e-09,,,,
actuado,actuado,,ret_colas,30,-15199.93,494.0448,184.4794,30,30.69,"[29.86, 31.51]",1.86e-09,,,,
actuado,actuado,,ret_spill,30,-41952.5733,946.1293,353.2905,30,5.67,"[4.91, 6.43]",1.86e-09,,,,
actuado,actuado,,vehiculos,30,2582.0,0.0,0.0,30,0.0,"[0.00, 0.00]",1,,,,
actuado,actuado,,recompensa,30,-2869.4033,94.5575,35.3083,30,-31.86,"[-32.67, -31.02]",1.86e-09,,,,
actuado,actuado,,decisiones,30,2257.9,6.7074,2.5046,30,0.09,"[0.03, 0.16]",0.0105,,,,
dqn_s2042,dqn,2042,timeloss_prom,30,28.9563,2.8322,1.0576,30,-3.64,"[-4.64, -2.64]",1.02e-05,30,-3.6,"[-5.26, -1.89]",0.000663
dqn_s2042,dqn,2042,espera_prom,30,12.255,2.0759,0.7751,30,-10.75,"[-12.53, -9.01]",1.73e-06,30,6.26,"[3.34, 9.23]",0.00107
dqn_s2042,dqn,2042,cola_prom,30,4.3267,0.0845,0.0315,30,-19.02,"[-19.68, -18.36]",1.72e-06,30,12.04,"[10.61, 13.46]",1.72e-06
dqn_s2042,dqn,2042,cola_max,30,16.1333,0.9371,0.3499,30,-2.62,"[-5.32, 0.20]",0.0541,30,-18.1,"[-21.81, -14.71]",2.31e-06
dqn_s2042,dqn,2042,paradas_prom,30,0.8536,0.076,0.0284,30,5.17,"[4.28, 6.09]",1.92e-06,30,-17.1,"[-18.76, -15.43]",1.73e-06
dqn_s2042,dqn,2042,throughput,30,2509.6667,2.1227,0.7926,30,0.24,"[0.22, 0.27]",1.63e-06,30,0.07,"[0.02, 0.12]",0.00682
dqn_s2042,dqn,2042,co2_prom,30,263.1333,4.2809,1.5985,30,-0.07,"[-0.25, 0.11]",0.285,30,-2.7,"[-3.00, -2.39]",1.73e-06
dqn_s2042,dqn,2042,nox_prom,30,91.0767,1.6502,0.6162,30,-0.32,"[-0.51, -0.12]",0.00658,30,-2.17,"[-2.49, -1.84]",1.9e-06
dqn_s2042,dqn,2042,recompensa_decision,30,-1.4493,0.0309,0.0115,30,-22.35,"[-23.04, -21.65]",1.73e-06,30,14.04,"[12.53, 15.53]",1.73e-06
dqn_s2042,dqn,2042,cambios_fase,30,595.2667,9.9652,3.7211,30,21.65,"[20.96, 22.35]",1.72e-06,30,-20.32,"[-20.86, -19.79]",1.72e-06
dqn_s2042,dqn,2042,no_terminados,30,0.0,0.0,0.0,30,,,,30,,,
dqn_s2042,dqn,2042,viaje_corredor_prom,30,157.0037,0.5676,0.2119,30,2.23,"[2.14, 2.31]",1.73e-06,30,-3.64,"[-3.85, -3.44]",1.73e-06
dqn_s2042,dqn,2042,retraso_corredor_prom,30,25.148,0.398,0.1486,30,15.72,"[15.10, 16.35]",1.73e-06,30,-19.11,"[-20.02, -18.20]",1.86e-09
