brazo,modelo,base,metrica,n,media,sd,ic95,n_par,delta_pct,delta_ic95,p_wilcoxon,n_par_act,delta_pct_act,delta_ic95_act,p_wilcoxon_act
fijo,fijo,,timeloss_prom,30,21.7187,0.2633,0.0983,,,,,,,,
fijo,fijo,,espera_prom,30,7.3963,0.1968,0.0735,,,,,,,,
fijo,fijo,,cola_prom,30,4.003,0.0534,0.0199,,,,,,,,
fijo,fijo,,cola_max,30,15.0,0.7428,0.2774,,,,,,,,
fijo,fijo,,paradas_prom,30,0.6078,0.0093,0.0035,,,,,,,,
fijo,fijo,,throughput,30,2094.6333,1.8843,0.7036,,,,,,,,
fijo,fijo,,co2_prom,30,250.1833,0.5615,0.2097,,,,,,,,
fijo,fijo,,nox_prom,30,86.39,0.1971,0.0736,,,,,,,,
fijo,fijo,,recompensa_decision,30,-1.4246,0.0215,0.008,,,,,,,,
fijo,fijo,,cambios_fase,30,489.6,1.3544,0.5058,,,,,,,,
fijo,fijo,,no_terminados,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,viaje_corredor_prom,30,155.1833,0.6084,0.2272,,,,,,,,
fijo,fijo,,retraso_corredor_prom,30,23.2977,0.3762,0.1405,,,,,,,,
fijo,fijo,,retraso_corredor_punta,30,24.4243,0.4603,0.1719,,,,,,,,
fijo,fijo,,paradas_corredor,30,0.4758,0.0139,0.0052,,,,,,,,
fijo,fijo,,paradas_corredor_le1,30,0.9864,0.0044,0.0016,,,,,,,,
fijo,fijo,,spillback_tasa,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_seg,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,spillback_eventos,30,0.0,0.0,0.0,,,,,,,,
fijo,fijo,,cola_max_enlace,30,2.0667,0.4498,0.1679,,,,,,,,
fijo,fijo,,veh_max_enlace,30,9.2667,0.4498,0.1679,,,,,,,,
fijo,fijo,,ret_retraso,30,-34463.9933,417.0917,155.7446,,,,,,,,
fijo,fijo,,ret_colas,30,-16204.0633,231.3265,86.3787,,,,,,,,
fijo,fijo,,ret_spill,30,-34463.9933,417.0917,155.7446,,,,,,,,
fijo,fijo,,vehiculos,30,2152.0,0.0,0.0,,,,,,,,
fijo,fijo,,recompensa,30,-3212.53,48.9107,18.2636,,,,,,,,
