t,semaforo_C1,semaforo_C2
1,0,2
2,0,2
3,0,2
4,0,2
5,0,2
6,0,2
7,0,2
8,0,2
9,0,2
10,0,2
11,0,2
12,0,2
13,0,2
14,0,2
15,0,2
16,1,2
17,1,2
18,1,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,3
24,2,3
25,2,3
26,2,0
27,2,0
28,2,0
29,2,0
30,2,0
31,2,0
32,2,0
33,2,0
34,2,0
35,2,0
36,2,0
37,2,0
38,2,0
39,2,0
40,2,0
41,2,1
42,2,1
43,2,1
44,3,2
45,3,2
46,3,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
58,0,2
59,0,2
60,0,2
61,0,2
62,1,2
63,1,2
64,1,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,3
70,2,3
71,2,3
72,2,0
73,2,0
74,2,0
75,2,0
76,2,0
77,2,0
78,2,0
79,2,0
80,2,0
81,2,0
82,2,0
83,2,0
84,2,0
85,2,0
86,2,0
87,2,1
88,2,1
89,2,1
90,3,2
91,3,2
92,3,2
93,0,2
94,0,2
95,0,2
96,0,2
97,0,2
98,0,2
99,0,2
100,0,2
101,0,2
102,0,2
103,0,2
104,0,2
105,0,2
106,0,2
107,0,2
108,1,2
109,1,2
110,1,2
111,2,2
112,2,2
113,2,2
114,2,2
115,2,3
116,2,3
117,2,3
118,2,0
119,2,0
120,2,0
121,2,0
122,2,0
123,2,0
124,2,0
125,2,0
126,2,0
127,2,0
128,2,0
129,2,0
130,2,0
131,2,0
132,2,0
133,2,1
134,2,1
135,2,1
136,3,2
137,3,2
138,3,2
139,0,2
140,0,2
141,0,2
142,0,2
143,0,2
144,0,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
150,0,2
151,0,2
152,0,2
153,0,2
154,1,2
155,1,2
156,1,2
157,2,2
158,2,2
159,2,2
160,2,2
161,2,3
162,2,3
163,2,3
164,2,0
165,2,0
166,2,0
167,2,0
168,2,0
169,2,0
170,2,0
171,2,0
172,2,0
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,0
179,2,1
180,2,1
181,2,1
182,3,2
183,3,2
184,3,2
185,0,2
186,0,2
187,0,2
188,0,2
189,0,2
190,0,2
191,0,2
192,0,2
193,0,2
194,0,2
195,0,2
196,0,2
197,0,2
198,0,2
199,0,2
200,1,2
201,1,2
202,1,2
203,2,2
204,2,2
205,2,2
206,2,2
207,2,3
208,2,3
209,2,3
210,2,0
211,2,0
212,2,0
213,2,0
214,2,0
215,2,0
216,2,0
217,2,0
218,2,0
219,2,0
220,2,0
221,2,0
222,2,0
223,2,0
224,2,0
225,2,1
226,2,1
227,2,1
228,3,2
229,3,2
230,3,2
231,0,2
232,0,2
