t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,3
55,2,3
56,2,3
57,2,0
58,2,0
59,2,0
60,2,0
61,2,0
62,2,0
63,2,0
64,2,0
65,2,0
66,2,0
67,2,0
68,2,0
69,3,0
70,3,0
71,3,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,1
83,0,1
84,0,1
85,0,2
86,0,2
87,1,2
88,1,2
89,1,2
90,2,2
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,2,2
108,2,2
109,2,2
110,2,2
111,2,2
112,2,2
113,2,2
114,2,2
115,2,2
116,2,2
117,2,2
118,2,2
119,2,2
120,2,2
121,2,2
122,2,2
123,2,2
124,2,2
125,2,2
126,2,2
127,2,2
128,2,2
129,2,2
130,3,2
131,3,2
132,3,2
133,0,2
134,0,2
135,0,2
136,0,2
137,0,2
138,0,2
139,0,2
140,0,3
141,0,3
142,0,3
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,1,0
154,1,0
155,1,0
156,2,0
157,2,0
158,2,0
159,2,0
160,2,0
161,2,0
162,2,0
163,2,0
164,2,0
165,2,0
166,2,0
167,2,0
168,2,1
169,2,1
170,2,1
171,2,2
172,2,2
173,2,2
174,2,2
175,2,2
176,2,2
177,2,2
178,2,2
179,2,2
180,2,2
181,2,2
182,2,2
183,2,2
184,2,2
185,2,2
186,2,2
187,2,2
188,2,2
189,2,2
190,2,2
191,2,2
192,2,2
193,2,2
194,2,2
195,2,2
196,3,2
197,3,2
198,3,2
199,0,2
200,0,2
201,0,2
202,0,2
203,0,2
204,0,2
205,0,2
206,0,2
207,0,2
208,0,2
209,0,2
210,0,2
211,0,2
212,0,2
213,0,2
214,1,2
215,1,2
216,1,2
217,2,2
218,2,2
219,2,2
220,2,2
221,2,3
222,2,3
223,2,3
224,2,0
225,2,0
226,2,0
227,2,0
228,2,0
229,2,0
230,2,0
231,2,0
232,2,0
233,2,0
234,2,0
235,2,0
236,2,0
237,2,0
238,2,0
239,2,0
240,2,0
241,2,0
242,2,0
243,2,0
244,2,0
245,2,0
