t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,2
58,2,2
59,3,2
60,3,2
61,3,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,0,2
69,0,3
70,0,3
71,0,3
72,1,0
73,1,0
74,1,0
75,2,0
76,2,0
77,2,0
78,2,0
79,2,0
80,2,0
81,2,0
82,2,1
83,2,1
84,2,1
85,2,2
86,2,2
87,2,2
88,2,2
89,2,2
90,2,2
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,2,2
108,2,2
109,2,2
110,3,2
111,3,2
112,3,2
113,0,2
114,0,2
115,0,2
116,0,2
117,0,2
118,0,2
119,0,2
120,0,2
121,0,2
122,0,2
123,0,2
124,0,2
125,0,3
126,0,3
127,0,3
128,1,0
129,1,0
130,1,0
131,2,0
132,2,0
133,2,0
134,2,0
135,2,0
136,2,0
137,2,0
138,2,0
139,2,0
140,2,0
141,2,0
142,2,0
143,2,1
144,2,1
145,2,1
146,2,2
147,2,2
148,2,2
149,2,2
150,2,2
151,2,2
152,2,2
153,2,2
154,2,2
155,2,2
156,2,2
157,2,2
158,2,2
159,2,2
160,2,2
161,2,2
162,2,2
163,2,2
164,2,2
165,2,2
166,3,2
167,3,2
168,3,2
169,0,2
170,0,2
171,0,2
172,0,2
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,0,3
182,0,3
183,0,3
184,1,0
185,1,0
186,1,0
187,2,0
188,2,0
189,2,0
190,2,0
191,2,0
192,2,0
193,2,0
194,2,0
195,2,0
196,2,0
197,2,0
198,2,0
199,2,1
200,2,1
201,2,1
202,2,2
203,2,2
204,2,2
205,2,2
206,2,2
207,2,2
208,2,2
209,2,2
210,2,2
211,2,2
212,2,2
213,2,2
214,2,2
215,2,2
216,2,2
217,3,2
218,3,2
219,3,2
220,0,2
221,0,2
222,0,2
223,0,2
224,0,2
225,0,2
226,0,2
227,0,2
228,0,2
229,0,2
230,0,2
231,0,2
232,0,2
233,0,2
234,0,2
235,1,2
236,1,2
237,1,3
238,2,3
239,2,3
240,2,0
241,2,0
242,2,0
243,2,0
244,2,0
245,2,0
