t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,2
58,2,2
59,2,3
60,2,3
61,2,3
62,2,0
63,2,0
64,2,0
65,2,0
66,2,0
67,2,0
68,2,0
69,3,0
70,3,0
71,3,0
72,0,1
73,0,1
74,0,1
75,0,2
76,0,2
77,0,2
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,0,2
84,0,2
85,0,2
86,0,2
87,1,2
88,1,2
89,1,2
90,2,2
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,3
106,2,3
107,2,3
108,2,0
109,2,0
110,2,0
111,2,0
112,2,0
113,2,0
114,2,0
115,2,0
116,2,0
117,2,0
118,2,0
119,2,0
120,2,0
121,2,0
122,2,0
123,2,0
124,2,0
125,2,0
126,2,0
127,2,0
128,2,1
129,2,1
130,2,1
131,2,2
132,2,2
133,2,2
134,2,2
135,3,2
136,3,2
137,3,2
138,0,2
139,0,2
140,0,2
141,0,2
142,0,2
143,0,2
144,0,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
150,0,2
151,0,2
152,0,2
153,0,2
154,0,2
155,0,2
156,0,2
157,0,2
158,1,2
159,1,2
160,1,2
161,2,2
162,2,2
163,2,2
164,2,2
165,2,2
166,2,3
167,2,3
168,2,3
169,2,0
170,2,0
171,2,0
172,2,0
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,0
179,2,0
180,2,0
181,2,0
182,2,0
183,2,0
184,2,1
185,2,1
186,2,1
187,2,2
188,2,2
189,2,2
190,2,2
191,2,2
192,2,2
193,2,2
194,2,2
195,2,2
196,3,2
197,3,2
198,3,2
199,0,2
200,0,2
201,0,2
202,0,2
203,0,2
204,0,2
205,0,2
206,0,2
207,0,2
208,0,2
209,0,2
210,0,2
211,0,2
212,0,2
213,0,2
214,0,2
215,0,2
216,0,2
217,0,2
218,0,2
219,1,2
220,1,2
221,1,2
222,2,3
223,2,3
224,2,3
225,2,0
226,2,0
227,2,0
228,2,0
229,2,0
230,2,0
231,2,0
232,2,0
233,2,0
234,2,0
235,2,0
236,2,0
237,2,0
238,2,0
239,2,0
240,2,1
241,2,1
242,2,1
243,2,2
244,2,2
245,2,2
