t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,1,0
17,1,0
18,1,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,0
24,2,0
25,2,0
26,2,0
27,2,0
28,2,0
29,2,0
30,2,0
31,2,1
32,2,1
33,2,1
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,3,2
40,3,2
41,3,2
42,0,2
43,0,2
44,0,3
45,0,3
46,0,3
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,1,0
53,1,0
54,1,0
55,2,0
56,2,0
57,2,1
58,2,1
59,2,1
60,2,2
61,2,2
62,2,2
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,2
70,3,3
71,3,3
72,3,3
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,1,1
84,1,1
85,1,1
86,2,2
87,2,2
88,2,2
89,2,2
90,2,2
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,2,2
97,2,2
98,2,2
99,2,2
100,2,2
101,2,3
102,2,3
103,2,3
104,2,0
105,2,0
106,3,0
107,3,0
108,3,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,1
115,0,1
116,0,1
117,0,2
118,0,2
119,1,2
120,1,2
121,1,2
122,2,2
123,2,2
124,2,2
125,2,2
126,2,2
127,2,3
128,2,3
129,2,3
130,2,0
131,2,0
132,2,0
133,2,0
134,2,0
135,2,0
136,2,0
137,2,0
138,2,0
139,2,0
140,2,1
141,2,1
142,3,1
143,3,2
144,3,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
150,0,2
151,0,2
152,0,2
153,0,2
154,0,2
155,0,2
156,0,2
157,0,2
158,0,3
159,0,3
160,1,3
161,1,0
162,1,0
163,2,0
164,2,0
165,2,0
166,2,0
167,2,0
168,2,0
169,2,0
170,2,0
171,2,1
172,2,1
173,2,1
174,2,2
175,2,2
176,2,2
177,2,2
178,2,2
179,2,2
180,2,2
181,2,2
182,2,2
183,2,2
184,2,2
185,2,2
186,2,2
187,2,2
188,2,2
189,2,2
190,2,2
191,2,2
192,2,2
193,3,2
194,3,2
195,3,2
196,0,2
197,0,2
198,0,2
199,0,3
200,0,3
201,0,3
202,0,0
203,0,0
204,0,0
205,0,0
206,1,0
207,1,0
208,1,0
209,2,0
210,2,0
211,2,0
212,2,0
213,2,0
214,2,0
215,2,0
216,2,0
217,2,1
218,2,1
219,3,1
220,3,2
221,3,2
222,0,2
223,0,2
224,0,2
225,0,2
226,0,2
227,0,2
228,0,2
229,0,2
230,0,2
231,0,2
232,1,2
233,1,2
234,1,2
235,2,2
236,2,2
237,2,2
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,2
245,3,3
