t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,1,0
17,1,0
18,1,0
19,2,0
20,2,0
21,2,0
22,2,0
23,2,0
24,2,0
25,2,0
26,2,0
27,2,0
28,2,0
29,2,0
30,2,0
31,2,1
32,2,1
33,2,1
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,3,2
40,3,2
41,3,2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
58,0,2
59,0,3
60,0,3
61,0,3
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,1,0
68,1,0
69,1,0
70,2,0
71,2,0
72,2,0
73,2,0
74,2,0
75,2,0
76,2,0
77,2,1
78,2,1
79,2,1
80,2,2
81,2,2
82,2,2
83,2,2
84,2,2
85,2,2
86,2,2
87,2,2
88,2,2
89,2,2
90,2,2
91,2,2
92,2,2
93,2,2
94,2,2
95,3,3
96,3,3
97,3,3
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,1
109,0,1
110,0,1
111,0,2
112,0,2
113,1,2
114,1,2
115,1,2
116,2,2
117,2,2
118,2,2
119,2,2
120,2,2
121,2,2
122,2,2
123,2,2
124,2,2
125,2,2
126,2,3
127,2,3
128,2,3
129,2,0
130,2,0
131,2,0
132,2,0
133,2,0
134,2,0
135,2,0
136,2,0
137,2,0
138,2,0
139,2,1
140,2,1
141,3,1
142,3,2
143,3,2
144,0,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
150,0,2
151,0,2
152,0,2
153,0,2
154,1,2
155,1,2
156,1,2
157,2,2
158,2,2
159,2,2
160,2,2
161,2,2
162,2,3
163,2,3
164,2,3
165,2,0
166,2,0
167,3,0
168,3,0
169,3,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,1
176,0,1
177,0,1
178,0,2
179,0,2
180,1,2
181,1,2
182,1,2
183,2,2
184,2,2
185,2,2
186,2,2
187,2,2
188,2,2
189,2,2
190,2,2
191,2,2
192,2,2
193,2,3
194,2,3
195,2,3
196,2,0
197,2,0
198,3,0
199,3,0
200,3,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,1
207,0,1
208,0,1
209,0,2
210,0,2
211,1,2
212,1,2
213,1,2
214,2,2
215,2,2
216,2,2
217,2,2
218,2,2
219,2,2
220,2,2
221,2,2
222,2,2
223,2,2
224,2,2
225,2,2
226,2,2
227,2,2
228,2,2
229,3,3
230,3,3
231,3,3
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,1,0
243,1,0
244,1,0
245,2,0
