t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,1,0
27,1,0
28,1,0
29,2,0
30,2,0
31,2,1
32,2,1
33,2,1
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,3,2
40,3,2
41,3,2
42,0,2
43,0,2
44,0,3
45,0,3
46,0,3
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,1,0
53,1,0
54,1,0
55,2,0
56,2,0
57,2,1
58,2,1
59,2,1
60,2,2
61,2,2
62,2,2
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,2
70,3,2
71,3,2
72,3,2
73,0,2
74,0,2
75,0,2
76,0,2
77,0,2
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,1,2
84,1,2
85,1,2
86,2,2
87,2,2
88,2,2
89,2,2
90,2,3
91,2,3
92,2,3
93,2,0
94,2,0
95,2,0
96,2,0
97,2,0
98,2,0
99,2,0
100,2,0
101,3,0
102,3,0
103,3,1
104,0,1
105,0,1
106,0,2
107,0,2
108,0,2
109,0,2
110,0,2
111,0,2
112,0,2
113,0,2
114,1,2
115,1,2
116,1,2
117,2,2
118,2,2
119,2,2
120,2,2
121,2,3
122,2,3
123,2,3
124,2,0
125,2,0
126,2,0
127,2,0
128,2,0
129,2,0
130,2,0
131,2,0
132,2,0
133,2,0
134,2,1
135,2,1
136,2,1
137,3,2
138,3,2
139,3,2
140,0,2
141,0,2
142,0,2
143,0,2
144,0,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
150,1,2
151,1,2
152,1,2
153,2,2
154,2,2
155,2,2
156,2,2
157,2,3
158,2,3
159,2,3
160,2,0
161,2,0
162,2,0
163,2,0
164,2,0
165,2,0
166,2,0
167,2,0
168,3,0
169,3,0
170,3,1
171,0,1
172,0,1
173,0,2
174,0,2
175,0,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,1,2
182,1,2
183,1,2
184,2,2
185,2,2
186,2,2
187,2,2
188,2,2
189,2,2
190,2,2
191,2,2
192,2,2
193,2,3
194,2,3
195,2,3
196,2,0
197,2,0
198,2,0
199,3,0
200,3,0
201,3,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,1
207,0,1
208,0,1
209,0,2
210,0,2
211,0,2
212,1,2
213,1,2
214,1,2
215,2,2
216,2,2
217,2,2
218,2,2
219,2,2
220,2,2
221,2,2
222,2,2
223,2,2
224,2,3
225,3,3
226,3,3
227,3,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,1
238,1,1
239,1,1
240,1,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
