t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,3,3
25,3,3
26,3,3
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,1,1
38,1,1
39,1,1
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,3,2
56,3,2
57,3,2
58,0,2
59,0,2
60,0,2
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,1,2
69,1,2
70,1,2
71,2,2
72,2,2
73,2,2
74,2,2
75,2,3
76,2,3
77,2,3
78,2,0
79,2,0
80,2,0
81,2,0
82,2,0
83,2,0
84,2,0
85,2,0
86,2,0
87,2,0
88,2,1
89,2,1
90,2,1
91,3,2
92,3,2
93,3,2
94,0,2
95,0,2
96,0,2
97,0,2
98,0,2
99,0,2
100,0,2
101,0,2
102,0,2
103,0,2
104,1,2
105,1,2
106,1,2
107,2,2
108,2,2
109,2,2
110,2,2
111,2,3
112,2,3
113,2,3
114,2,0
115,2,0
116,2,0
117,2,0
118,2,0
119,2,0
120,2,0
121,2,0
122,2,0
123,2,0
124,2,1
125,2,1
126,2,1
127,2,2
128,2,2
129,2,2
130,2,2
131,2,2
132,3,2
133,3,2
134,3,2
135,0,2
136,0,2
137,0,2
138,0,2
139,0,2
140,0,2
141,0,2
142,0,2
143,0,2
144,0,2
145,1,2
146,1,2
147,1,2
148,2,2
149,2,2
150,2,2
151,2,2
152,2,3
153,2,3
154,2,3
155,2,0
156,2,0
157,2,0
158,2,0
159,2,0
160,2,0
161,2,0
162,2,0
163,2,0
164,2,0
165,2,1
166,2,1
167,2,1
168,2,2
169,2,2
170,2,2
171,2,2
172,2,2
173,3,2
174,3,2
175,3,2
176,0,2
177,0,2
178,0,2
179,0,2
180,0,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,1,2
187,1,2
188,1,2
189,2,2
190,2,2
191,2,2
192,2,2
193,2,3
194,2,3
195,2,3
196,2,0
197,2,0
198,2,0
199,2,0
200,2,0
201,2,0
202,2,0
203,2,0
204,2,0
205,2,0
206,2,1
207,2,1
208,2,1
209,2,2
210,2,2
211,2,2
212,2,2
213,2,2
214,3,2
215,3,2
216,3,2
217,0,2
218,0,2
219,0,2
220,0,2
221,0,2
222,0,2
223,0,2
224,0,2
225,0,2
226,0,2
227,1,2
228,1,2
229,1,2
230,2,2
231,2,2
232,2,2
233,2,2
234,2,3
235,2,3
236,2,3
237,2,0
238,2,0
239,2,0
240,2,0
241,2,0
242,2,0
243,2,0
244,2,0
245,2,0
