t,semaforo_C1,semaforo_C2
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,1,1
12,1,1
13,1,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
23,2,2
24,3,3
25,3,3
26,3,3
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,1,1
38,1,1
39,1,1
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,2,2
55,3,2
56,3,2
57,3,2
58,0,2
59,0,2
60,0,2
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,1,2
69,1,2
70,1,2
71,2,2
72,2,2
73,2,2
74,2,2
75,2,3
76,2,3
77,2,3
78,2,0
79,2,0
80,2,0
81,2,0
82,2,0
83,2,0
84,2,0
85,2,0
86,2,0
87,2,0
88,2,1
89,2,1
90,2,1
91,3,2
92,3,2
93,3,2
94,0,2
95,0,2
96,0,2
97,0,2
98,0,2
99,0,2
100,0,2
101,0,2
102,0,2
103,0,2
104,1,2
105,1,2
106,1,2
107,2,2
108,2,2
109,2,2
110,2,2
111,2,2
112,2,2
113,2,2
114,2,2
115,2,2
116,2,3
117,2,3
118,2,3
119,2,0
120,2,0
121,2,0
122,2,0
123,2,0
124,2,0
125,2,0
126,2,0
127,2,0
128,2,0
129,2,1
130,2,1
131,2,1
132,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,3,2
138,3,2
139,3,2
140,0,2
141,0,2
142,0,2
143,0,2
144,0,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
150,1,2
151,1,2
152,1,2
153,2,2
154,2,2
155,2,2
156,2,2
157,2,3
158,2,3
159,2,3
160,2,0
161,2,0
162,2,0
163,2,0
164,2,0
165,2,0
166,2,0
167,2,0
168,2,0
169,2,0
170,2,1
171,2,1
172,2,1
173,2,2
174,2,2
175,2,2
176,2,2
177,2,2
178,3,2
179,3,2
180,3,2
181,0,2
182,0,2
183,0,2
184,0,2
185,0,2
186,0,2
187,0,2
188,0,2
189,0,2
190,0,2
191,1,2
192,1,2
193,1,2
194,2,2
195,2,2
196,2,2
197,2,2
198,2,3
199,2,3
200,2,3
201,2,0
202,2,0
203,2,0
204,2,0
205,2,0
206,2,0
207,2,0
208,2,0
209,2,0
210,2,0
211,2,1
212,2,1
213,2,1
214,2,2
215,2,2
216,2,2
217,2,2
218,2,2
219,3,2
220,3,2
221,3,2
222,0,2
223,0,2
224,0,2
225,0,2
226,0,2
227,0,2
228,0,2
229,0,2
230,0,2
231,0,2
232,1,2
233,1,2
234,1,2
235,2,2
236,2,2
237,2,2
238,2,2
239,2,3
240,2,3
241,2,3
242,2,0
243,2,0
244,2,0
245,2,0
