t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,2,0
15,0,0,0,0,0,0,0,2,0
16,0,0,0,0,0,0,0,2,0
17,0,0,0,0,0,0,0,2,0
18,0,0,0,0,0,0,0,2,0
19,0,0,0,0,0,0,0,2,0
20,0,0,0,0,0,0,0,2,0
21,0,1,0,0,0,0,0,2,0
22,0,1,0,0,0,0,0,2,0
23,0,1,0,0,0,0,0,2,0
24,0,2,0,0,0,0,0,2,0
25,0,2,0,0,0,0,0,2,0
26,0,2,0,0,0,0,0,2,0
27,0,2,0,0,0,0,0,2,0
28,0,2,0,0,0,0,0,2,0
29,0,2,0,0,0,0,0,2,0
30,0,2,0,0,0,0,0,2,0
31,0,2,0,0,0,0,0,2,0
32,0,2,0,0,0,0,0,2,0
33,0,2,0,0,0,0,0,2,0
34,0,2,0,0,0,0,0,2,0
35,0,2,0,0,0,0,0,2,0
36,0,2,1,0,0,0,0,2,1
37,0,2,1,0,0,0,0,2,1
38,0,2,1,0,0,0,0,2,1
39,0,2,2,0,0,0,0,3,2
40,0,2,2,0,0,0,0,3,2
41,0,2,2,0,0,0,1,3,2
42,0,2,2,0,0,0,1,0,2
43,0,2,2,0,0,0,1,0,2
44,0,2,2,0,0,0,2,0,2
45,0,2,2,0,0,0,2,0,2
46,0,2,2,0,0,0,2,0,2
47,0,2,2,0,0,0,2,0,2
48,0,2,2,0,0,0,2,0,2
49,0,2,3,0,0,0,2,0,2
50,0,2,3,0,0,0,2,0,2
51,0,2,3,0,0,0,2,0,2
52,0,2,0,0,0,0,2,0,2
53,0,2,0,0,0,0,2,0,2
54,0,3,0,0,0,0,3,0,2
55,0,3,0,0,0,0,3,0,2
56,0,3,0,0,0,1,3,0,2
