t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,1,0,1,0,0,0,1,0,1
17,1,0,1,0,0,0,1,0,1
18,1,0,1,0,0,0,1,0,1
19,2,0,2,0,0,0,2,0,2
20,2,0,2,0,0,0,2,0,2
21,2,1,2,1,1,0,2,1,2
22,2,1,2,1,1,0,2,1,2
23,2,1,2,1,1,0,2,1,2
24,2,2,2,2,2,0,2,2,2
25,2,2,2,2,2,0,2,2,2
26,2,2,2,2,2,0,2,2,2
27,2,2,2,2,2,0,2,2,2
28,2,2,2,2,2,0,2,2,2
29,3,2,3,2,2,0,3,2,3
30,3,2,3,2,2,0,3,2,3
31,3,2,3,2,2,1,3,2,3
32,0,2,0,2,2,1,0,2,0
33,0,2,0,2,2,1,0,2,0
34,0,3,0,3,3,2,0,3,0
35,0,3,0,3,3,2,0,3,0
36,0,3,0,3,3,2,0,3,0
37,0,0,0,0,0,2,0,0,0
38,0,0,0,0,0,2,0,0,0
39,0,0,0,0,0,2,0,0,0
40,0,0,0,0,0,2,0,0,0
41,0,0,0,0,0,2,0,0,0
42,1,0,1,0,0,2,1,0,1
43,1,0,1,0,0,2,1,0,1
44,1,0,1,0,0,3,1,0,1
45,2,0,2,0,0,3,2,0,2
46,2,0,2,0,0,3,2,0,2
47,2,1,2,0,0,0,2,1,2
48,2,1,2,0,0,0,2,1,2
49,2,1,2,0,0,0,2,1,2
50,2,2,2,0,0,0,2,2,2
51,2,2,2,0,0,0,2,2,2
52,2,2,2,0,1,0,2,2,2
53,2,2,2,0,1,0,2,2,2
54,2,2,2,0,1,0,2,2,2
55,3,2,3,0,2,0,3,2,3
56,3,2,3,0,2,0,3,2,3
