t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,1,1
12,1,1,1
13,1,1,1
14,2,2,2
15,2,2,2
16,2,2,2
17,2,2,2
18,2,2,2
19,2,2,2
20,2,2,2
21,2,2,2
22,2,2,2
23,2,2,2
24,3,3,3
25,3,3,3
26,3,3,3
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1,1,1
38,1,1,1
39,1,1,1
40,2,2,2
41,2,2,2
42,2,2,2
43,2,2,2
44,2,2,2
45,2,2,2
46,2,2,2
47,2,2,2
48,2,2,2
49,2,2,2
50,2,2,2
51,2,2,2
52,3,2,3
53,3,3,3
54,3,3,3
55,0,3,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,1,0,1
66,1,0,1
67,1,0,1
68,2,0,2
69,2,0,2
70,2,1,2
71,2,1,2
72,2,1,2
73,2,2,2
74,2,2,2
75,2,2,2
76,2,2,2
77,2,2,2
78,3,2,3
79,3,2,3
80,3,2,3
81,0,2,0
82,0,2,0
83,0,3,0
84,0,3,0
85,0,3,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,1
93,0,0,1
94,1,0,1
95,1,0,2
96,1,1,2
97,2,1,2
98,2,1,2
99,2,2,2
100,2,2,2
101,2,2,2
102,2,2,2
103,2,2,2
104,2,2,2
105,2,2,3
106,2,2,3
107,3,2,3
108,3,2,0
109,3,3,0
110,0,3,0
111,0,3,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,1
119,0,0,1
120,1,0,1
121,1,0,2
122,1,0,2
123,2,0,2
124,2,0,2
125,2,0,2
126,2,1,2
127,2,1,2
128,2,1,2
129,2,2,2
130,2,2,2
131,2,2,3
