t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,1
12,0,0,1
13,0,0,1
14,0,0,2
15,0,0,2
16,0,0,2
17,0,0,2
18,0,0,2
19,0,0,2
20,0,0,2
21,0,0,2
22,0,0,2
23,0,0,2
24,0,0,2
25,0,0,2
26,1,1,2
27,1,1,2
28,1,1,2
29,2,2,2
30,2,2,2
31,2,2,2
32,2,2,2
33,2,2,2
34,2,2,2
35,2,2,2
36,2,2,2
37,2,2,2
38,2,2,2
39,2,3,2
40,2,3,2
41,2,3,2
42,2,0,2
43,2,0,2
44,2,0,2
45,2,0,2
46,2,0,2
47,2,0,2
48,2,0,2
49,2,0,2
50,2,0,2
51,2,0,2
52,2,0,2
53,2,0,2
54,2,0,2
55,2,0,2
56,2,0,2
57,2,1,2
58,2,1,2
59,2,1,2
60,2,2,2
61,2,2,2
62,2,2,2
63,2,2,2
64,3,2,2
65,3,2,2
66,3,2,2
67,0,2,2
68,0,2,2
69,0,2,3
70,0,3,3
71,0,3,3
72,0,3,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,2,0,0
81,2,0,0
82,2,0,1
83,2,0,1
84,2,0,1
85,2,0,2
86,2,0,2
87,2,0,2
88,2,0,2
89,2,0,2
90,3,0,2
91,3,0,2
92,3,0,2
93,0,0,2
94,0,0,2
95,0,0,3
96,0,0,3
97,0,0,3
98,0,1,0
99,0,1,0
100,0,1,0
101,0,2,0
102,0,2,0
103,1,2,0
104,1,2,0
105,1,2,0
106,2,2,0
107,2,2,0
108,2,2,0
109,2,2,0
110,2,2,0
111,2,3,0
112,2,3,0
113,2,3,0
114,2,0,0
115,2,0,0
116,3,0,0
117,3,0,0
118,3,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,1
124,0,1,1
125,0,1,1
126,0,1,2
127,0,2,2
128,0,2,2
129,0,2,2
130,0,2,2
131,0,2,2
