t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,1,0
6,0,1,0
7,0,1,0
8,0,2,0
9,0,2,0
10,0,2,0
11,0,2,0
12,0,2,0
13,0,2,0
14,0,2,0
15,0,2,0
16,0,2,0
17,0,2,0
18,0,3,0
19,0,3,0
20,0,3,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,0,1
32,1,0,1
33,1,0,1
34,2,0,2
35,2,0,2
36,2,0,2
37,2,0,2
38,2,0,2
39,2,0,2
40,2,0,2
41,2,0,2
42,2,0,2
43,2,0,2
44,3,0,3
45,3,0,3
46,3,0,3
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,1,0
52,0,1,0
53,0,1,0
54,0,2,0
55,0,2,0
56,0,2,0
57,0,2,0
58,0,2,0
59,0,2,0
60,0,2,0
61,0,2,0
62,0,2,0
63,0,2,0
64,0,3,0
65,0,3,0
66,0,3,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,1,0,1
78,1,0,1
79,1,0,1
80,2,0,2
81,2,0,2
82,2,0,2
83,2,0,2
84,2,0,2
85,2,0,2
86,2,0,2
87,2,0,2
88,2,0,2
89,2,0,2
90,3,0,3
91,3,0,3
92,3,0,3
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,1,0
98,0,1,0
99,0,1,0
100,0,2,0
101,0,2,0
102,0,2,0
103,0,2,0
104,0,2,0
105,0,2,0
106,0,2,0
107,0,2,0
108,0,2,0
109,0,2,0
110,0,3,0
111,0,3,0
112,0,3,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,1,0,1
124,1,0,1
125,1,0,1
126,2,0,2
127,2,0,2
128,2,0,2
129,2,0,2
130,2,0,2
131,2,0,2
