t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,1,0
17,0,1,0
18,0,1,0
19,0,2,0
20,0,2,0
21,0,2,0
22,0,2,0
23,0,2,0
24,0,2,0
25,0,2,0
26,0,2,0
27,0,2,0
28,0,2,0
29,0,3,0
30,0,3,0
31,0,3,1
32,0,0,1
33,0,0,1
34,0,0,2
35,0,0,2
36,1,0,2
37,1,0,2
38,1,0,2
39,2,0,2
40,2,0,2
41,2,0,2
42,2,0,2
43,2,0,2
44,2,0,3
45,2,0,3
46,2,0,3
47,2,0,0
48,2,0,0
49,3,0,0
50,3,0,0
51,3,0,0
52,0,1,0
53,0,1,0
54,0,1,0
55,0,2,0
56,0,2,0
57,0,2,0
58,0,2,0
59,0,2,0
60,0,2,0
61,0,2,0
62,0,2,1
63,0,2,1
64,0,2,1
65,0,3,2
66,0,3,2
67,0,3,2
68,0,0,2
69,0,0,2
70,0,0,2
71,0,0,2
72,1,0,2
73,1,0,2
74,1,0,2
75,2,0,3
76,2,0,3
77,2,0,3
78,2,0,0
79,2,0,0
80,2,0,0
81,2,0,0
82,2,0,0
83,2,0,0
84,2,0,0
85,3,0,0
86,3,0,0
87,3,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,1,1
94,0,1,1
95,0,1,1
96,0,2,2
97,0,2,2
98,0,2,2
99,0,2,2
100,0,2,2
101,0,2,2
102,0,2,2
103,0,2,2
104,0,2,2
105,0,2,2
106,0,3,3
107,0,3,3
108,0,3,3
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,1,0,0
114,1,0,0
115,1,0,0
116,2,0,0
117,2,0,0
118,2,0,0
119,2,0,0
120,2,0,0
121,2,0,0
122,2,0,0
123,2,0,0
124,2,0,0
125,2,0,0
126,3,0,0
127,3,0,0
128,3,0,0
129,0,0,0
130,0,0,0
131,0,0,0
