t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,1,0
17,0,1,0
18,0,1,0
19,0,2,0
20,0,2,0
21,0,2,0
22,0,2,0
23,0,2,0
24,0,2,0
25,0,2,0
26,0,2,0
27,0,2,0
28,0,2,0
29,0,3,0
30,0,3,0
31,1,3,1
32,1,0,1
33,1,0,1
34,2,0,2
35,2,0,2
36,2,0,2
37,2,0,2
38,2,0,2
39,2,0,2
40,2,0,2
41,2,0,2
42,2,0,2
43,2,0,2
44,2,0,2
45,2,0,2
46,2,0,2
47,2,0,2
48,2,0,2
49,3,0,3
50,3,0,3
51,3,0,3
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,2,0
61,0,2,0
62,0,2,0
63,0,2,0
64,0,2,0
65,0,2,0
66,0,2,0
67,0,2,0
68,0,2,0
69,0,2,0
70,0,3,0
71,0,3,0
72,0,3,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,1,0,1
78,1,0,1
79,1,0,1
80,2,0,2
81,2,0,2
82,2,0,2
83,2,0,2
84,2,0,2
85,2,0,2
86,2,0,2
87,2,0,2
88,2,0,2
89,2,0,2
90,3,0,3
91,3,0,3
92,3,0,3
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,1,0
99,0,1,0
100,0,1,0
101,0,2,0
102,0,2,0
103,0,2,0
104,0,2,0
105,0,2,0
106,0,2,0
107,0,2,0
108,0,2,0
109,0,2,0
110,0,2,0
111,0,3,0
112,0,3,0
113,0,3,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,1,0,1
119,1,0,1
120,1,0,1
121,2,0,2
122,2,0,2
123,2,0,2
124,2,0,2
125,2,0,2
126,2,0,2
127,2,0,2
128,2,0,2
129,2,0,2
130,2,0,2
131,3,0,2
