t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,1,0,1
32,1,0,1
33,1,0,1
34,2,0,2
35,2,0,2
36,2,1,2
37,2,1,2
38,2,1,2
39,2,2,2
40,2,2,2
41,2,2,2
42,2,2,2
43,2,2,2
44,3,2,3
45,3,2,3
46,3,2,3
47,0,2,0
48,0,2,0
49,0,3,0
50,0,3,0
51,0,3,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,1,0,1
58,1,0,1
59,1,0,1
60,2,0,2
61,2,0,2
62,2,1,2
63,2,1,2
64,2,1,2
65,2,2,2
66,2,2,2
67,2,2,2
68,2,2,2
69,2,2,2
70,3,2,3
71,3,2,3
72,3,2,3
73,0,2,0
74,0,2,0
75,0,3,0
76,0,3,0
77,0,3,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,1,0,1
84,1,0,1
85,1,0,1
86,2,0,2
87,2,0,2
88,2,0,2
89,2,0,2
90,2,0,2
91,2,0,2
92,2,0,2
93,2,1,2
94,2,1,2
95,2,1,2
96,3,2,3
97,3,2,3
98,3,2,3
99,0,2,0
100,0,2,0
101,0,2,0
102,0,2,0
103,0,2,0
104,0,2,0
105,0,2,0
106,0,3,0
107,0,3,0
108,0,3,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,1,0,1
115,1,0,1
116,1,0,1
117,2,0,2
118,2,0,2
119,2,0,2
120,2,0,2
121,2,0,2
122,2,0,2
123,2,0,2
124,2,0,2
125,2,0,2
126,2,0,2
127,3,0,3
128,3,0,3
129,3,1,3
130,0,1,0
131,0,1,0
