t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,0,1
12,1,0,1
13,1,0,1
14,2,0,2
15,2,0,2
16,2,1,2
17,2,1,2
18,2,1,2
19,2,2,2
20,2,2,2
21,2,2,2
22,2,2,2
23,2,2,2
24,2,2,2
25,2,2,2
26,2,2,2
27,2,2,2
28,2,2,2
29,2,2,2
30,2,2,2
31,2,2,2
32,2,2,2
33,2,2,2
34,2,2,2
35,2,2,2
36,2,2,2
37,2,2,2
38,2,2,2
39,2,2,2
40,2,2,2
41,2,2,2
42,2,2,2
43,2,2,2
44,2,2,2
45,2,2,2
46,2,2,2
47,2,2,2
48,2,2,2
49,2,2,2
50,2,2,2
51,2,2,2
52,2,2,2
53,2,2,2
54,2,2,3
55,2,2,3
56,2,2,3
57,2,2,0
58,2,2,0
59,3,3,0
60,3,3,0
61,3,3,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,2
71,0,0,2
72,0,0,2
73,0,0,2
74,0,0,2
75,0,0,2
76,0,0,2
77,0,1,2
78,0,1,2
79,0,1,2
80,0,2,2
81,0,2,2
82,0,2,2
83,0,2,2
84,0,2,2
85,0,2,2
86,0,2,2
87,0,2,2
88,0,2,2
89,0,2,2
90,0,3,3
91,0,3,3
92,1,3,3
93,1,0,0
94,1,0,0
95,2,0,0
96,2,0,0
97,2,0,0
98,2,0,0
99,2,0,0
100,2,0,0
101,2,0,0
102,2,0,0
103,2,0,1
104,2,0,1
105,3,0,1
106,3,0,2
107,3,0,2
108,0,0,2
109,0,0,2
110,0,0,2
111,0,0,2
112,0,0,2
113,0,0,2
114,0,0,2
115,0,0,2
116,0,0,3
117,0,0,3
118,0,1,3
119,0,1,0
120,0,1,0
121,0,2,0
122,0,2,0
123,1,2,0
124,1,2,0
125,1,2,0
126,2,2,0
127,2,2,0
128,2,2,0
129,2,2,0
130,2,2,0
131,2,3,0
