t,semaforo_C1,semaforo_C2,semaforo_C3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,1,1,0
12,1,1,0
13,1,1,0
14,2,2,0
15,2,2,0
16,2,2,0
17,2,2,0
18,2,2,0
19,2,2,0
20,2,2,0
21,2,2,1
22,2,2,1
23,2,2,1
24,3,3,2
25,3,3,2
26,3,3,2
27,0,0,2
28,0,0,2
29,0,0,2
30,0,0,2
31,0,0,2
32,0,0,2
33,0,0,2
34,0,0,3
35,0,0,3
36,0,0,3
37,1,1,0
38,1,1,0
39,1,1,0
40,2,2,0
41,2,2,0
42,2,2,0
43,2,2,0
44,2,2,0
45,2,2,0
46,2,2,0
47,2,2,0
48,2,2,0
49,2,2,0
50,3,3,0
51,3,3,0
52,3,3,1
53,0,0,1
54,0,0,1
55,0,0,2
56,0,0,2
57,0,0,2
58,0,0,2
59,0,0,2
60,0,0,2
61,0,0,2
62,0,0,2
63,0,0,2
64,0,0,2
65,0,0,3
66,0,0,3
67,0,0,3
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,1,0
74,0,1,0
75,0,1,0
76,0,2,0
77,0,2,0
78,0,2,0
79,0,2,0
80,0,2,0
81,0,2,0
82,0,2,0
83,1,2,1
84,1,2,1
85,1,2,1
86,2,3,2
87,2,3,2
88,2,3,2
89,2,0,2
90,2,0,2
91,2,0,2
92,2,0,2
93,2,0,2
94,2,0,2
95,2,0,2
96,3,0,3
97,3,0,3
98,3,0,3
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,1
120,0,0,1
121,0,0,1
122,0,0,2
123,0,0,2
124,1,1,2
125,1,1,2
126,1,1,2
127,2,2,2
128,2,2,2
129,2,2,2
130,2,2,2
131,2,2,2
