variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,1,2043,5.00e-04,19.0,3579,77.61,194.4,46.77,122,-61105.7,-25.482,-71.527,2000,1328,669,7.818,2645,479.1,168.4,129,0.0031,23,2,37,38,394.46,315.22,338.87,12.6,0.009,0,0.0,1.0,0.05187,-1.8166,1001,2000,,,-715271.96,-307369.22,-719151.96,,,,dqn,retraso
vecinos,2042,2,2044,5.00e-04,21.6,3536,79.88,196.55,47.52,108,-62258.7,-25.963,-71.391,2005,1339,660,7.665,2658,483.2,170.1,96,0.0,0,0,32,37,397.29,317.02,359.5,12.246,0.02,0,0.0,0.9905,0.01317,-3.5083,3006,4005,,,-715698.13,-313179.26,-718698.13,,,,dqn,retraso
vecinos,2042,3,2045,5.00e-04,21.5,3548,80.87,195.75,48.3,106,-63444.7,-26.457,-71.659,2001,1332,667,7.646,2654,479.6,168.9,133,0.0028,10,1,37,38,401.89,323.01,374.04,12.53,0.037,0,0.0,0.981,0.01935,-5.5591,5007,6006,,,-716948.73,-319448.4,-722070.73,,,,dqn,retraso
vecinos,2042,4,2046,5.00e-04,21.7,3544,73.98,194.74,44.14,108,-57234.3,-23.868,-70.759,1994,1310,679,7.829,2654,477.4,168.0,112,0.0,0,0,32,37,394.9,315.35,359.48,12.671,0.02,0,0.0,0.9715,0.02616,-7.1657,7001,8000,,,-705471.86,-288054.92,-708255.86,,,,dqn,retraso
vecinos,2042,5,2047,5.00e-04,21.4,3620,71.73,191.84,43.76,108,-56557.6,-23.585,-71.132,1993,1310,680,7.699,2704,474.4,166.6,121,0.0,0,0,25,37,377.94,298.36,343.91,11.908,0.018,0,0.0,0.962,0.03519,-8.6103,8994,9993,,,-708831.98,-284799.94,-709515.98,,,,dqn,retraso
vecinos,2042,6,2048,5.00e-04,22.3,3568,81.92,205.47,49.17,129,-64224.1,-26.782,-75.386,1999,1326,670,8.271,2662,494.5,174.2,131,0.0028,16,3,37,38,396.06,316.85,364.84,12.599,0.028,0,0.0,0.9525,0.04352,-10.0608,10993,11992,,,-753483.92,-322958.72,-758065.92,,,,dqn,retraso
vecinos,2042,7,2049,5.00e-04,22.3,3540,82.53,210.9,49.14,107,-63769.8,-26.593,-76.608,1996,1319,675,8.574,2645,502.0,176.8,127,0.0,0,0,31,37,412.95,333.78,361.81,13.514,0.018,0,0.0,0.943,0.05266,-11.3895,12989,13988,,,-764551.1,-320926.01,-767633.1,,,,dqn,retraso
vecinos,2042,8,2050,5.00e-04,21.6,3584,78.07,195.29,47.09,113,-61386.9,-25.599,-71.575,2008,1350,656,7.75,2655,481.3,169.3,113,0.0025,9,1,36,37,396.53,316.98,354.78,12.574,0.008,0,0.0,0.9335,0.06225,-12.5991,14997,15996,,,-718617.86,-308864.79,-722083.86,,,,dqn,retraso
vecinos,2042,9,2051,5.00e-04,21.3,3620,69.92,182.14,42.66,121,-55288.0,-23.056,-67.184,2008,1349,655,7.267,2681,460.9,161.6,101,0.0014,5,1,36,37,374.88,294.58,349.77,11.686,0.029,0,0.0,0.924,0.07081,-13.6174,17005,18004,,,-674524.67,-278816.28,-677192.67,,,,dqn,retraso
vecinos,2042,10,2052,5.00e-04,21.7,3599,69.23,184.9,41.98,96,-54139.0,-22.577,-68.017,1995,1316,677,7.528,2707,466.1,163.5,80,0.0,0,0,33,38,376.3,295.86,343.2,11.938,0.024,0,0.0,0.9145,0.07951,-14.5612,19000,19999,189.71,97.06,-678474.31,-273090.35,-681012.31,189.71,197.23,193.47,dqn,retraso
